Unit Id,Institution Name,Name of chief administrator,Title of chief administrator,General information telephone,Office of Postsecondary Education (OPE) ID,Address,Website address
100654,Alabama A & M University,"Dr. Andrew Hugine, Jr.",President,"2,563,725,000",100200,"4900 Meridian Street, Normal, AL 35762",www.aamu.edu/
100663,University of Alabama at Birmingham,Ray L. Watts,President,2059344011,105200,"Administration Bldg Suite 1070, Birmingham, AL 35294-0110",https://www.uab.edu
100690,Amridge University,Michael C.Turner,President,"33,438,738,777,550",2503400,"1200 Taylor Rd, Montgomery, AL 36117-3553",www.amridgeuniversity.edu
100706,University of Alabama in Huntsville,Darren Dawson,President,"2,568,246,120",105500,"301 Sparkman Dr, Huntsville, AL 35899",www.uah.edu
100724,Alabama State University,Quinton T. Ross,President,"3,342,294,100",100500,"915 S Jackson Street, Montgomery, AL 36104-0271",www.alasu.edu
100751,The University of Alabama,Dr. Stuart R. Bell,President,2053486010,105100,"739 University Blvd, Tuscaloosa, AL 35487-0100",www.ua.edu/
100760,Central Alabama Community College,Dr. Susan Burrow,President,"2,562,346,346",100700,"1675 Cherokee Rd, Alexander City, AL 35010",www.cacc.edu
100812,Athens State University,Dr. Philip Way,President,"2,562,338,100",100800,"300 N Beaty St, Athens, AL 35611",www.athens.edu
100830,Auburn University at Montgomery,Carl A. Stockton,Chancellor,"3,342,443,000",831000,"7440 East Drive, Montgomery, AL 36117-3596",www.aum.edu
100858,Auburn University,Jay Gogue,Interim President,"3,348,444,000",100900,"Auburn, AL 36849",www.auburn.edu
100937,Birmingham-Southern College,Mr. Daniel Coleman,President,2052264600,101200,"900 Arkadelphia Road, Birmingham, AL 35254",www.bsc.edu/
101028,Chattahoochee Valley Community College,Jacqueline Screws,President,"3,342,914,900",1218200,"2602 College Drive, Phenix City, AL 36869",www.cv.edu
101116,South University-Montgomery,Kandis R. Steele,Campus Director,"3,343,958,800",1303906,"5355 Vaughn Rd, Montgomery, AL 36116","www.southuniversity.edu/montgomery#location=Montgomery,%20AL"
101143,Enterprise State Community College,Matthew Rodgers,President,"3,343,472,623",101500,"600 Plaza Drive, Enterprise, AL 36330-1300",www.escc.edu
101161,Coastal Alabama Community College,Craig Pouncey,President,"2,515,802,100",106000,"1900 U S Highway 31 South, Bay Minette, AL 36507-2698",www.coastalalabama.edu
101189,Faulkner University,Michael D. Williams,President,"3,342,725,820",100300,"5345 Atlanta Hwy, Montgomery, AL 36109-3390",www.faulkner.edu
101240,Gadsden State Community College,Dr. Martha G. Lavender,President,"2,565,498,200",101700,"1001 George Wallace Dr, Gadsden, AL 35903",www.gadsdenstate.edu
101277,New Beginning College of Cosmetology,Amanda Baugh,DIRECTOR,"2,568,786,430",4187200,"421 Martling Road, Albertville, AL 35951",www.nbccosmetology.com
101286,George C Wallace Community College-Dothan,Linda C Young,President,"3,349,833,521",101800,"1141 Wallace Drive, Dothan, AL 36303-9234",www.wallace.edu
101295,George C Wallace State Community College-Hanceville,Vicki P. Karolewics,President,"2,563,528,000",787100,"801 Main St NW, Hanceville, AL 35077-2000",www.wallacestate.edu
101301,George C Wallace State Community College-Selma,Dr. James M. Mitchell,President,"3,348,769,227",569900,"3000 Earl Goodwin Parkway, Selma, AL 36703-2808",www.wccs.edu
101365,Herzing University-Birmingham,Tommy Dennis,President,2059162800,962107,"280 West Valley Ave, Birmingham, AL 35209",https://www.herzing.edu/
101435,Huntingdon College,J. Cameron West,President,"3,348,334,497",101900,"1500 East Fairview Avenue, Montgomery, AL 36106-2148",www.huntingdon.edu
101453,Heritage Christian University,W. Kirk Brothers,President,"2,567,666,610",2199700,"3625 Helton Dr, Florence, AL 35630-9977",www.hcu.edu
