academic_terms,original_string,new_string,domains,country,as_of,
afghan university,afghan university,afghan university,afghanuniversity.edu.af,Afghanistan,2021-08-24,
al birony|albirony|al birony university,al birony|albirony|al birony university,al-birony university,au.edu.af,Afghanistan,2021-08-24,
american university of afghanistan,american university of afghanistan,american university of afghanistan,auaf.edu.af,Afghanistan,2021-08-24,
aria institute of higher education,aria institute of higher education,aria institute of higher education,aria.edu.af,Afghanistan,2021-08-24,
badakhshan university,badakhshan university,badakhshan university,badakhshan.edu.af,Afghanistan,2021-08-24,
baghlan university,baghlan university,baghlan university,baghlan.edu.af,Afghanistan,2021-08-24,
bakhtar university,bakhtar university,bakhtar university,bakhtar.edu.af,Afghanistan,2021-08-24,
balkh university,balkh university,balkh university,ba.edu.af,Afghanistan,2021-08-24,
bamiyan university,bamiyan university,bamiyan university,bu.edu.af,Afghanistan,2021-08-24,
bost university,bost university,bost university,bost.edu.af,Afghanistan,2021-08-24,
dawat university,dawat university,dawat university,dawat.edu.af,Afghanistan,2021-08-24,
dunya institute of higher education,dunya institute of higher education,dunya institute of higher education,dunya.edu.af,Afghanistan,2021-08-24,
faryab higher education institute,faryab higher education institute,faryab higher education institute,faryab.edu.af,Afghanistan,2021-08-24,
ghazni university,ghazni university,ghazni university,gu.edu.af,Afghanistan,2021-08-24,
herat university,herat university,herat university,hu.edu.af,Afghanistan,2021-08-24,
ibn sina university,ibn sina university,ibn sina university,ibnesina.edu.af,Afghanistan,2021-08-24,
jawzjan university,jawzjan university,jawzjan university,ju.edu.af,Afghanistan,2021-08-24,
kaboora institute of higher education,kaboora institute of higher education,kaboora institute of higher education,kaboora.edu.af,Afghanistan,2021-08-24,
kabul education university,kabul education university,kabul education university,keu.edu.af,Afghanistan,2021-08-24,
kabul health sciences institute,kabul health sciences institute,kabul health sciences institute,kabuli.edu.af,Afghanistan,2021-08-24,
kabul medical university,kabul medical university,kabul medical university,kmu.edu.af,Afghanistan,2021-08-24,
kabul university,kabul university,kabul university,ku.edu.af,Afghanistan,2021-08-24,
kandahar university,kandahar university,kandahar university,kan.edu.af,Afghanistan,2021-08-24,
kardan university,kardan university,kardan university,kardan.edu.af,Afghanistan,2021-08-24,
karwan institute of higher education,karwan institute of higher education,karwan institute of higher education,karwan.edu.af,Afghanistan,2021-08-24,
kateb institute of higher education,kateb institute of higher education,kateb institute of higher education,kateb.edu.af,Afghanistan,2021-08-24,
khana e noor institute of higher education|khanaenoor,khana e noor institute of higher education|khanaenoor,khana-e-noor institute of higher education,ken.edu.af,Afghanistan,2021-08-24,
khurasan university,khurasan university,khurasan university,kumsa.net,Afghanistan,2021-08-24,
maryam institute of higher education,maryam institute of higher education,maryam institute of higher education,maryam.edu.af,Afghanistan,2021-08-24,
nangarhar university,nangarhar university,nangarhar university,nu.edu.af,Afghanistan,2021-08-24,
national military academy of afghanistan,national military academy of afghanistan,national military academy of afghanistan,nmaa.edu.af,Afghanistan,2021-08-24,
paktia university,paktia university,paktia university,pu.edu.af,Afghanistan,2021-08-24,
pamir university,pamir university,pamir university,pamir.edu.af,Afghanistan,2021-08-24,
parwan university,parwan university,parwan university,parwan.edu.af,Afghanistan,2021-08-24,
polytechnical university of kabul,polytechnical university of kabul,polytechnical university of kabul,polytechnic-kabul.org,Afghanistan,2021-08-24,
rana institute of higher education,rana institute of higher education,rana institute of higher education,rihs.edu.af,Afghanistan,2021-08-24,
sadat institute of higher education,sadat institute of higher education,sadat institute of higher education,sadat.edu.af,Afghanistan,2021-08-24,
salam university,salam university,salam university,salam.edu.af,Afghanistan,2021-08-24,
shaikh zayed university,shaikh zayed university,shaikh zayed university,szu.edu.af,Afghanistan,2021-08-24,
takhar university,takhar university,takhar university,tu.edu.af,Afghanistan,2021-08-24,
albanian academy of arts,albanian academy of arts,albanian academy of arts,akademiaearteve.edu.al,Albania,2021-08-24,
academy of sports and physical training,academy of sports and physical training,academy of sports and physical training,aefs.edu.al,Albania,2021-08-24,
agricultural university of tirana,agricultural university of tirana,agricultural university of tirana,ubt.edu.al,Albania,2021-08-24,
american university of tirana,american university of tirana,american university of tirana,uat.edu.al,Albania,2021-08-24,
beder university,beder university,beder university,beder.edu.al,Albania,2021-08-24,
ecole pour l'informatique et les nouvelles technologies albania,ecole pour l'informatique et les nouvelles technologies albania,ecole pour l'informatique et les nouvelles technologies - albania,epitech.al,Albania,2021-08-24,
epoka university,epoka university,epoka university,epoka.edu.al,Albania,2021-08-24,
polytechnic university of tirana,polytechnic university of tirana,polytechnic university of tirana,upt.al,Albania,2021-08-24,
university pavaresia vlore,university pavaresia vlore,university pavaresia vlore,unipavaresia.edu.al,Albania,2021-08-24,
university of elbasan aleksander xhuvani,university of elbasan aleksander xhuvani,university of elbasan aleksander xhuvani,uniel.edu.al,Albania,2021-08-24,
university of gjirokstra eqerem cabej,university of gjirokstra eqerem cabej,university of gjirokstra eqerem cabej,uogj.edu.al,Albania,2021-08-24,
university of korca fan noli,university of korca fan noli,university of korca fan noli,unkorce.edu.al,Albania,2021-08-24,
university of new york tirana,university of new york tirana,university of new york tirana,unyt.edu.al,Albania,2021-08-24,
university of shkodra luigj gurakuqi,university of shkodra luigj gurakuqi,university of shkodra luigj gurakuqi,unishk.edu.al,Albania,2021-08-24,
university of tirana,university of tirana,university of tirana,unitir.edu.al,Albania,2021-08-24,
university of vlora ismail qemali,university of vlora ismail qemali,university of vlora ismail qemali,univlora.edu.al,Albania,2021-08-24,
centre universitaire d'oum el bouaghi,centre universitaire d'oum el bouaghi,centre universitaire d'oum el bouaghi,univ-oeb.dz,Algeria,2021-08-24,
centre universitaire de jijel,centre universitaire de jijel,centre universitaire de jijel,univ-jijel.dz,Algeria,2021-08-24,
centre universitaire de tebessa,centre universitaire de tebessa,centre universitaire de tebessa,univ-tebessa.dz,Algeria,2021-08-24,
