business,ownedbyLabel,parentorgLabel,partofLabel,memberofLabel,ownerofLabel
http://www.wikidata.org/entity/Q127074,,,S&P 500,,
http://www.wikidata.org/entity/Q127962,,,,,Levi's
http://www.wikidata.org/entity/Q128356,Leonardo,Leonardo,,,Cannes Mandelieu Space Center
http://www.wikidata.org/entity/Q128356,Thales Group,Leonardo,,,Cannes Mandelieu Space Center
http://www.wikidata.org/entity/Q128356,Leonardo,Thales Group,,,Cannes Mandelieu Space Center
http://www.wikidata.org/entity/Q128356,Thales Group,Thales Group,,,Cannes Mandelieu Space Center
http://www.wikidata.org/entity/Q128896,,,S&P 500,Linux Foundation,ATI Technologies
http://www.wikidata.org/entity/Q128896,,,S&P 500,Wi-Fi Alliance,ATI Technologies
http://www.wikidata.org/entity/Q128896,,,S&P 500,SD Association,ATI Technologies
http://www.wikidata.org/entity/Q128896,,,S&P 500,Alliance for Open Media,ATI Technologies
http://www.wikidata.org/entity/Q128896,,,S&P 500,Linux Foundation,Athlon
http://www.wikidata.org/entity/Q128896,,,S&P 500,Wi-Fi Alliance,Athlon
http://www.wikidata.org/entity/Q128896,,,S&P 500,SD Association,Athlon
http://www.wikidata.org/entity/Q128896,,,S&P 500,Alliance for Open Media,Athlon
http://www.wikidata.org/entity/Q128896,,,S&P 500,Linux Foundation,Spansion
http://www.wikidata.org/entity/Q128896,,,S&P 500,Wi-Fi Alliance,Spansion
http://www.wikidata.org/entity/Q128896,,,S&P 500,SD Association,Spansion
http://www.wikidata.org/entity/Q128896,,,S&P 500,Alliance for Open Media,Spansion
http://www.wikidata.org/entity/Q128896,,,S&P 500,Linux Foundation,Ryzen
http://www.wikidata.org/entity/Q128896,,,S&P 500,Wi-Fi Alliance,Ryzen
http://www.wikidata.org/entity/Q128896,,,S&P 500,SD Association,Ryzen
http://www.wikidata.org/entity/Q128896,,,S&P 500,Alliance for Open Media,Ryzen
http://www.wikidata.org/entity/Q128896,,,S&P 500,Linux Foundation,AMD EPYC
http://www.wikidata.org/entity/Q128896,,,S&P 500,Wi-Fi Alliance,AMD EPYC
http://www.wikidata.org/entity/Q128896,,,S&P 500,SD Association,AMD EPYC
http://www.wikidata.org/entity/Q128896,,,S&P 500,Alliance for Open Media,AMD EPYC
http://www.wikidata.org/entity/Q128929,,,DAX,Bauhaus aviation,
http://www.wikidata.org/entity/Q128929,,,MDAX,Bauhaus aviation,
http://www.wikidata.org/entity/Q128929,,,CDAX,Bauhaus aviation,
http://www.wikidata.org/entity/Q128929,,,DAX,Stiftung Bildungspakt Bayern,
http://www.wikidata.org/entity/Q128929,,,MDAX,Stiftung Bildungspakt Bayern,
http://www.wikidata.org/entity/Q128929,,,CDAX,Stiftung Bildungspakt Bayern,
http://www.wikidata.org/entity/Q128929,,,DAX,Verband der Bayerischen Metall- und Elektro-Industrie,
http://www.wikidata.org/entity/Q128929,,,MDAX,Verband der Bayerischen Metall- und Elektro-Industrie,
http://www.wikidata.org/entity/Q128929,,,CDAX,Verband der Bayerischen Metall- und Elektro-Industrie,
http://www.wikidata.org/entity/Q129110,,,,European Broadcasting Union,Belsat TV
http://www.wikidata.org/entity/Q129110,,,,European Broadcasting Union,TVP2
http://www.wikidata.org/entity/Q129110,,,,European Broadcasting Union,TVP3
http://www.wikidata.org/entity/Q129110,,,,European Broadcasting Union,TVP Historia
http://www.wikidata.org/entity/Q129110,,,,European Broadcasting Union,TVP Kultura
http://www.wikidata.org/entity/Q129110,,,,European Broadcasting Union,TVP Sport
http://www.wikidata.org/entity/Q129110,,,,European Broadcasting Union,TVP Polonia
http://www.wikidata.org/entity/Q129110,,,,European Broadcasting Union,TVP Info
http://www.wikidata.org/entity/Q129110,,,,European Broadcasting Union,TVP1
http://www.wikidata.org/entity/Q129110,,,,European Broadcasting Union,TVP Białystok
http://www.wikidata.org/entity/Q129110,,,,European Broadcasting Union,TVP Kielce
http://www.wikidata.org/entity/Q129110,,,,European Broadcasting Union,TVP ABC
http://www.wikidata.org/entity/Q129110,,,,European Broadcasting Union,TVP Dokument
http://www.wikidata.org/entity/Q129911,Volkswagen Group,Audi,,Linux Foundation,
http://www.wikidata.org/entity/Q129911,Volkswagen Group,BMW,,Linux Foundation,
http://www.wikidata.org/entity/Q129911,Volkswagen Group,Mercedes-Benz,,Linux Foundation,
http://www.wikidata.org/entity/Q129911,Volkswagen Group,Pioneer Corporation,,Linux Foundation,
http://www.wikidata.org/entity/Q129911,Volkswagen Group,Continental AG,,Linux Foundation,
http://www.wikidata.org/entity/Q129911,Volkswagen Group,Robert Bosch GmbH,,Linux Foundation,
http://www.wikidata.org/entity/Q129911,Volkswagen Group,Mitsubishi Corporation,,Linux Foundation,
http://www.wikidata.org/entity/Q129911,Volkswagen Group,Nippon Telegraph and Telephone,,Linux Foundation,
http://www.wikidata.org/entity/Q129911,Volkswagen Group,Intel Capital,,Linux Foundation,
http://www.wikidata.org/entity/Q130309,Star Cruises,Norwegian Cruise Line Holdings,,,SuperStar Aquarius
http://www.wikidata.org/entity/Q130309,Star Cruises,Norwegian Cruise Line Holdings,,,SuperStar Gemini
http://www.wikidata.org/entity/Q130309,Star Cruises,Norwegian Cruise Line Holdings,,,Norwegian Sky
http://www.wikidata.org/entity/Q130309,Star Cruises,Norwegian Cruise Line Holdings,,,Norwegian Gem
http://www.wikidata.org/entity/Q130309,Star Cruises,Norwegian Cruise Line Holdings,,,SS France
http://www.wikidata.org/entity/Q130309,Star Cruises,Norwegian Cruise Line Holdings,,,Norwegian Jewel
http://www.wikidata.org/entity/Q130309,Star Cruises,Norwegian Cruise Line Holdings,,,Norwegian Sun
http://www.wikidata.org/entity/Q130309,Star Cruises,Norwegian Cruise Line Holdings,,,Norwegian Pearl
http://www.wikidata.org/entity/Q130309,Star Cruises,Norwegian Cruise Line Holdings,,,Norwegian Epic
http://www.wikidata.org/entity/Q130309,Star Cruises,Norwegian Cruise Line Holdings,,,IMO 8814744
