business,legalformLabel,legalidLabel,dunsLabel,inceptionLabel
http://www.wikidata.org/entity/Q66,U.S. corporation,RVHJWBXLJ1RFUBSY1F30,,1916-07-15T00:00:00Z
http://www.wikidata.org/entity/Q95,limited liability company,7ZW8QJWVPR4P1J1KQY45,,1998-09-04T00:00:00Z
http://www.wikidata.org/entity/Q248,Delaware corporation,KNX4USFCNGPY45LOCE31,,1968-07-18T00:00:00Z
http://www.wikidata.org/entity/Q312,U.S. corporation,HWUPKR0MPOU8FGXBT394,,1976-04-01T00:00:00Z
http://www.wikidata.org/entity/Q380,public company,BQ4BKCS1HXDV9HN80Z93,,2004-02-04T00:00:00Z
http://www.wikidata.org/entity/Q1418,julkinen osakeyhtiö,,,1865-05-12T00:00:00Z
http://www.wikidata.org/entity/Q1422,società per azioni,,,1897-11-01T00:00:00Z
http://www.wikidata.org/entity/Q2283,public company,INR2EJN1ERAN0W5ZP974,,1976-11-26T00:00:00Z
http://www.wikidata.org/entity/Q2283,Washington corporation,INR2EJN1ERAN0W5ZP974,,1976-11-26T00:00:00Z
http://www.wikidata.org/entity/Q2311,Societas Europaea,MINO79WLOO247M1IL051,,1970-12-01T00:00:00Z
http://www.wikidata.org/entity/Q3312,public company,M6AD1Y1KW32H8THQ6F76,,1916-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3884,incorporation,ZXTILKJKG63JELOEG630,,1994-07-05T00:00:00Z
http://www.wikidata.org/entity/Q3895,Aktiengesellschaft,549300JSX0Z4CW0V5023,,1924-07-01T00:00:00Z
http://www.wikidata.org/entity/Q4548,Anonim Şirket,789000EV8M3BL7ZPFB03,,1933-01-01T00:00:00Z
http://www.wikidata.org/entity/Q4995,public limited company,,,1895-01-01T00:00:00Z
http://www.wikidata.org/entity/Q4995,public limited company,,,2002-05-01T00:00:00Z
http://www.wikidata.org/entity/Q5281,Naamloze vennootschap,549300GGZHJ5Q1B18P93,,1997-09-23T00:00:00Z
http://www.wikidata.org/entity/Q5281,ООО,549300GGZHJ5Q1B18P93,,1997-09-23T00:00:00Z
http://www.wikidata.org/entity/Q5281,Naamloze vennootschap,549300GGZHJ5Q1B18P93,,2000-01-01T00:00:00Z
http://www.wikidata.org/entity/Q5281,ООО,549300GGZHJ5Q1B18P93,,2000-01-01T00:00:00Z
http://www.wikidata.org/entity/Q6686,société anonyme,969500F7JLTX36OUI695,,1898-12-24T00:00:00Z
http://www.wikidata.org/entity/Q7240,U.S. corporation,DPRBOZP0K5RM2YE8UU08,834951691,1995-01-01T00:00:00Z
http://www.wikidata.org/entity/Q7414,public company,549300GZKULIZ0WOW665,,1923-10-16T00:00:00Z
http://www.wikidata.org/entity/Q7414,Delaware corporation,549300GZKULIZ0WOW665,,1923-10-16T00:00:00Z
http://www.wikidata.org/entity/Q8061,joint-stock company,,,2000-01-01T00:00:00Z
