business,ownedbyLabel,parentorgLabel,partofLabel,memberofLabel
http://www.wikidata.org/entity/Q66,BlackRock,,Dow Jones Industrial Average,World Wide Web Consortium
http://www.wikidata.org/entity/Q66,The Vanguard Group,,Dow Jones Industrial Average,World Wide Web Consortium
http://www.wikidata.org/entity/Q66,T. Rowe Price,,Dow Jones Industrial Average,World Wide Web Consortium
http://www.wikidata.org/entity/Q66,Newport Trust,,Dow Jones Industrial Average,World Wide Web Consortium
http://www.wikidata.org/entity/Q66,BlackRock,,S&P 500,World Wide Web Consortium
http://www.wikidata.org/entity/Q66,The Vanguard Group,,S&P 500,World Wide Web Consortium
http://www.wikidata.org/entity/Q66,T. Rowe Price,,S&P 500,World Wide Web Consortium
http://www.wikidata.org/entity/Q66,Newport Trust,,S&P 500,World Wide Web Consortium
http://www.wikidata.org/entity/Q66,BlackRock,,competition between Airbus and Boeing,World Wide Web Consortium
http://www.wikidata.org/entity/Q66,The Vanguard Group,,competition between Airbus and Boeing,World Wide Web Consortium
http://www.wikidata.org/entity/Q66,T. Rowe Price,,competition between Airbus and Boeing,World Wide Web Consortium
http://www.wikidata.org/entity/Q66,Newport Trust,,competition between Airbus and Boeing,World Wide Web Consortium
http://www.wikidata.org/entity/Q66,BlackRock,,Dow Jones Industrial Average,Wi-Fi Alliance
http://www.wikidata.org/entity/Q66,The Vanguard Group,,Dow Jones Industrial Average,Wi-Fi Alliance
http://www.wikidata.org/entity/Q66,T. Rowe Price,,Dow Jones Industrial Average,Wi-Fi Alliance
http://www.wikidata.org/entity/Q66,Newport Trust,,Dow Jones Industrial Average,Wi-Fi Alliance
http://www.wikidata.org/entity/Q66,BlackRock,,S&P 500,Wi-Fi Alliance
http://www.wikidata.org/entity/Q66,The Vanguard Group,,S&P 500,Wi-Fi Alliance
http://www.wikidata.org/entity/Q66,T. Rowe Price,,S&P 500,Wi-Fi Alliance
http://www.wikidata.org/entity/Q66,Newport Trust,,S&P 500,Wi-Fi Alliance
http://www.wikidata.org/entity/Q66,BlackRock,,competition between Airbus and Boeing,Wi-Fi Alliance
http://www.wikidata.org/entity/Q66,The Vanguard Group,,competition between Airbus and Boeing,Wi-Fi Alliance
http://www.wikidata.org/entity/Q66,T. Rowe Price,,competition between Airbus and Boeing,Wi-Fi Alliance
http://www.wikidata.org/entity/Q66,Newport Trust,,competition between Airbus and Boeing,Wi-Fi Alliance
http://www.wikidata.org/entity/Q95,XXVI Holdings,Alphabet Inc.,Big Tech (web),World Wide Web Consortium
http://www.wikidata.org/entity/Q95,XXVI Holdings,Alphabet Inc.,Big Tech (web),Linux Foundation
http://www.wikidata.org/entity/Q95,XXVI Holdings,Alphabet Inc.,Big Tech (web),Wi-Fi Alliance
http://www.wikidata.org/entity/Q95,XXVI Holdings,Alphabet Inc.,Big Tech (web),American Legislative Exchange Council
http://www.wikidata.org/entity/Q95,XXVI Holdings,Alphabet Inc.,Big Tech (web),Wireless Power Consortium
http://www.wikidata.org/entity/Q95,XXVI Holdings,Alphabet Inc.,Big Tech (web),FIDO Alliance
http://www.wikidata.org/entity/Q95,XXVI Holdings,Alphabet Inc.,Big Tech (web),OpenPOWER Foundation
http://www.wikidata.org/entity/Q95,XXVI Holdings,Alphabet Inc.,Big Tech (web),Internet Association
http://www.wikidata.org/entity/Q95,XXVI Holdings,Alphabet Inc.,Big Tech (web),Alliance for Open Media
http://www.wikidata.org/entity/Q95,XXVI Holdings,Alphabet Inc.,Big Tech (web),Node.js Foundation
http://www.wikidata.org/entity/Q95,XXVI Holdings,Alphabet Inc.,Big Tech (web),OpenAPI Initiative
http://www.wikidata.org/entity/Q95,XXVI Holdings,Alphabet Inc.,Big Tech (web),CVE Numbering Authorities
http://www.wikidata.org/entity/Q95,XXVI Holdings,Alphabet Inc.,Big Tech (web),Bytecode Alliance
http://www.wikidata.org/entity/Q95,XXVI Holdings,Alphabet Inc.,Big Tech (web),Zigbee Alliance
http://www.wikidata.org/entity/Q95,XXVI Holdings,Alphabet Inc.,Big Tech (web),OpenJS Foundation
http://www.wikidata.org/entity/Q95,XXVI Holdings,Alphabet Inc.,Big Tech (web),OpenID Foundation
http://www.wikidata.org/entity/Q95,XXVI Holdings,Alphabet Inc.,Big Tech (web),Rust Foundation
http://www.wikidata.org/entity/Q248,,,Dow Jones Industrial Average,World Wide Web Consortium
http://www.wikidata.org/entity/Q248,,,S&P 500,World Wide Web Consortium
http://www.wikidata.org/entity/Q248,,,NASDAQ-100,World Wide Web Consortium
http://www.wikidata.org/entity/Q248,,,Dow Jones Industrial Average,Bluetooth Special Interest Group
http://www.wikidata.org/entity/Q248,,,S&P 500,Bluetooth Special Interest Group
http://www.wikidata.org/entity/Q248,,,NASDAQ-100,Bluetooth Special Interest Group
http://www.wikidata.org/entity/Q248,,,Dow Jones Industrial Average,Business Software Alliance
http://www.wikidata.org/entity/Q248,,,S&P 500,Business Software Alliance
http://www.wikidata.org/entity/Q248,,,NASDAQ-100,Business Software Alliance
http://www.wikidata.org/entity/Q248,,,Dow Jones Industrial Average,Linux Foundation
http://www.wikidata.org/entity/Q248,,,S&P 500,Linux Foundation
http://www.wikidata.org/entity/Q248,,,NASDAQ-100,Linux Foundation
http://www.wikidata.org/entity/Q248,,,Dow Jones Industrial Average,Wi-Fi Alliance
http://www.wikidata.org/entity/Q248,,,S&P 500,Wi-Fi Alliance
http://www.wikidata.org/entity/Q248,,,NASDAQ-100,Wi-Fi Alliance
http://www.wikidata.org/entity/Q248,,,Dow Jones Industrial Average,SD Association
http://www.wikidata.org/entity/Q248,,,S&P 500,SD Association
http://www.wikidata.org/entity/Q248,,,NASDAQ-100,SD Association
http://www.wikidata.org/entity/Q248,,,Dow Jones Industrial Average,FIDO Alliance
http://www.wikidata.org/entity/Q248,,,S&P 500,FIDO Alliance
