business,productsLabel,websiteLabel,emailLabel
http://www.wikidata.org/entity/Q66,Boeing 747,http://www.boeing.com/,
http://www.wikidata.org/entity/Q66,Boeing 737,http://www.boeing.com/,
http://www.wikidata.org/entity/Q66,Boeing 707,http://www.boeing.com/,
http://www.wikidata.org/entity/Q66,Boeing 717,http://www.boeing.com/,
http://www.wikidata.org/entity/Q66,Boeing 727,http://www.boeing.com/,
http://www.wikidata.org/entity/Q66,Boeing 757,http://www.boeing.com/,
http://www.wikidata.org/entity/Q66,Boeing 767,http://www.boeing.com/,
http://www.wikidata.org/entity/Q66,Boeing 777,http://www.boeing.com/,
http://www.wikidata.org/entity/Q66,Boeing 787 Dreamliner,http://www.boeing.com/,
http://www.wikidata.org/entity/Q66,McDonnell Douglas F-15 Eagle,http://www.boeing.com/,
http://www.wikidata.org/entity/Q66,F/A-18 Hornet,http://www.boeing.com/,
http://www.wikidata.org/entity/Q66,Boeing AH-64 Apache,http://www.boeing.com/,
http://www.wikidata.org/entity/Q66,Boeing Vertol CH-47 Chinook,http://www.boeing.com/,
http://www.wikidata.org/entity/Q66,C-17 Globemaster III,http://www.boeing.com/,
http://www.wikidata.org/entity/Q66,space technology,http://www.boeing.com/,
http://www.wikidata.org/entity/Q66,P-8 Poseidon,http://www.boeing.com/,
http://www.wikidata.org/entity/Q66,Boeing 720,http://www.boeing.com/,
http://www.wikidata.org/entity/Q95,software,https://about.google/,mailto:opensource@google.com
http://www.wikidata.org/entity/Q95,Google Search,https://about.google/,mailto:opensource@google.com
http://www.wikidata.org/entity/Q95,technology,https://about.google/,mailto:opensource@google.com
http://www.wikidata.org/entity/Q95,computer science,https://about.google/,mailto:opensource@google.com
http://www.wikidata.org/entity/Q95,advertising,https://about.google/,mailto:opensource@google.com
http://www.wikidata.org/entity/Q95,list of Google products,https://about.google/,mailto:opensource@google.com
http://www.wikidata.org/entity/Q95,search engine,https://about.google/,mailto:opensource@google.com
http://www.wikidata.org/entity/Q248,computer hardware,https://www.intel.com,
http://www.wikidata.org/entity/Q248,microprocessor,https://www.intel.com,
http://www.wikidata.org/entity/Q248,central processing unit,https://www.intel.com,
http://www.wikidata.org/entity/Q248,software,https://www.intel.com,
http://www.wikidata.org/entity/Q248,server,https://www.intel.com,
http://www.wikidata.org/entity/Q248,flash memory,https://www.intel.com,
http://www.wikidata.org/entity/Q248,chipset,https://www.intel.com,
http://www.wikidata.org/entity/Q248,solid-state drive,https://www.intel.com,
http://www.wikidata.org/entity/Q312,iPad,https://www.apple.com/,
http://www.wikidata.org/entity/Q312,computer hardware,https://www.apple.com/,
http://www.wikidata.org/entity/Q312,software,https://www.apple.com/,
http://www.wikidata.org/entity/Q312,video game console,https://www.apple.com/,
http://www.wikidata.org/entity/Q312,iPod,https://www.apple.com/,
http://www.wikidata.org/entity/Q312,iMac,https://www.apple.com/,
http://www.wikidata.org/entity/Q312,iPod Touch,https://www.apple.com/,
http://www.wikidata.org/entity/Q312,personal computer,https://www.apple.com/,
http://www.wikidata.org/entity/Q312,iPhone 5,https://www.apple.com/,
http://www.wikidata.org/entity/Q312,tablet computer,https://www.apple.com/,
http://www.wikidata.org/entity/Q312,personal digital assistant,https://www.apple.com/,
http://www.wikidata.org/entity/Q312,MacBook Pro,https://www.apple.com/,
http://www.wikidata.org/entity/Q312,iPhone 4S,https://www.apple.com/,
http://www.wikidata.org/entity/Q312,Apple TV,https://www.apple.com/,
http://www.wikidata.org/entity/Q312,iPhone 3GS,https://www.apple.com/,
http://www.wikidata.org/entity/Q312,iPhone 4,https://www.apple.com/,
http://www.wikidata.org/entity/Q312,iPhone 3G,https://www.apple.com/,
http://www.wikidata.org/entity/Q312,Mac Pro,https://www.apple.com/,
http://www.wikidata.org/entity/Q312,Mac Mini,https://www.apple.com/,
http://www.wikidata.org/entity/Q312,MacBook,https://www.apple.com/,
http://www.wikidata.org/entity/Q312,iPhone,https://www.apple.com/,
http://www.wikidata.org/entity/Q312,wearable computer,https://www.apple.com/,
http://www.wikidata.org/entity/Q312,networking hardware,https://www.apple.com/,
http://www.wikidata.org/entity/Q312,iPhone 5S,https://www.apple.com/,
http://www.wikidata.org/entity/Q312,iPhone 5C,https://www.apple.com/,
http://www.wikidata.org/entity/Q312,iPhone 6,https://www.apple.com/,
http://www.wikidata.org/entity/Q312,iPhone 6 Plus,https://www.apple.com/,
http://www.wikidata.org/entity/Q312,Apple Watch,https://www.apple.com/,
http://www.wikidata.org/entity/Q312,Apple Pay,https://www.apple.com/,
http://www.wikidata.org/entity/Q312,iPad Pro,https://www.apple.com/,
http://www.wikidata.org/entity/Q312,iPhone 6S,https://www.apple.com/,
http://www.wikidata.org/entity/Q312,Apple Pencil,https://www.apple.com/,
http://www.wikidata.org/entity/Q312,iPhone 6S Plus,https://www.apple.com/,
http://www.wikidata.org/entity/Q312,iPhone 7,https://www.apple.com/,
http://www.wikidata.org/entity/Q312,iPhone 7 Plus,https://www.apple.com/,
http://www.wikidata.org/entity/Q312,AirPods,https://www.apple.com/,
http://www.wikidata.org/entity/Q312,HomePod,https://www.apple.com/,
http://www.wikidata.org/entity/Q312,iPhone X,https://www.apple.com/,
http://www.wikidata.org/entity/Q312,iPhone XS,https://www.apple.com/,
http://www.wikidata.org/entity/Q312,iPhone XR,https://www.apple.com/,
http://www.wikidata.org/entity/Q312,iPhone 11,https://www.apple.com/,
http://www.wikidata.org/entity/Q312,iPhone 11 Pro,https://www.apple.com/,
http://www.wikidata.org/entity/Q312,iPhone 11 Pro Max,https://www.apple.com/,
http://www.wikidata.org/entity/Q312,iPhone SE (2nd generation),https://www.apple.com/,
http://www.wikidata.org/entity/Q380,Facebook,https://about.fb.com/,mailto:datarequests@support.facebook.com
http://www.wikidata.org/entity/Q380,software,https://about.fb.com/,mailto:datarequests@support.facebook.com
http://www.wikidata.org/entity/Q380,Facebook Messenger,https://about.fb.com/,mailto:datarequests@support.facebook.com
http://www.wikidata.org/entity/Q380,Instagram,https://about.fb.com/,mailto:datarequests@support.facebook.com
http://www.wikidata.org/entity/Q380,Whasps,https://about.fb.com/,mailto:datarequests@support.facebook.com
http://www.wikidata.org/entity/Q380,Facebook Pixel,https://about.fb.com/,mailto:datarequests@support.facebook.com
http://www.wikidata.org/entity/Q380,Facebook Custom Audience,https://about.fb.com/,mailto:datarequests@support.facebook.com
http://www.wikidata.org/entity/Q1418,software,https://www.nokia.com/,
http://www.wikidata.org/entity/Q1418,smartphone,https://www.nokia.com/,
http://www.wikidata.org/entity/Q1418,Global System for Mobile Communications,https://www.nokia.com/,
http://www.wikidata.org/entity/Q1418,headset,https://www.nokia.com/,
http://www.wikidata.org/entity/Q1422,,https://www.juventus.com/,
http://www.wikidata.org/entity/Q2283,Microsoft Windows,https://www.microsoft.com/,
http://www.wikidata.org/entity/Q2283,computer hardware,https://www.microsoft.com/,
http://www.wikidata.org/entity/Q2283,Microsoft Office,https://www.microsoft.com/,
http://www.wikidata.org/entity/Q2283,Skype,https://www.microsoft.com/,
http://www.wikidata.org/entity/Q2283,Xbox,https://www.microsoft.com/,
http://www.wikidata.org/entity/Q2283,Microsoft Visual Studio,https://www.microsoft.com/,
http://www.wikidata.org/entity/Q2283,Microsoft Bing,https://www.microsoft.com/,
http://www.wikidata.org/entity/Q2283,Microsoft Surface,https://www.microsoft.com/,
http://www.wikidata.org/entity/Q2283,Microsoft Azure,https://www.microsoft.com/,
http://www.wikidata.org/entity/Q2283,Microsoft Dynamics,https://www.microsoft.com/,
http://www.wikidata.org/entity/Q2283,Microsoft Servers,https://www.microsoft.com/,
http://www.wikidata.org/entity/Q2283,list of Microsoft software applications,https://www.microsoft.com/,
http://www.wikidata.org/entity/Q49053,software,https://www.se.com,
http://www.wikidata.org/entity/Q49125,computer hardware,http://www.toshiba.com/,mailto:TAI-privacy@toshiba.com
http://www.wikidata.org/entity/Q49125,software,http://www.toshiba.com/,mailto:TAI-privacy@toshiba.com
http://www.wikidata.org/entity/Q49125,semiconductor,http://www.toshiba.com/,mailto:TAI-privacy@toshiba.com
http://www.wikidata.org/entity/Q49125,escalator,http://www.toshiba.com/,mailto:TAI-privacy@toshiba.com
http://www.wikidata.org/entity/Q49125,movie theater,http://www.toshiba.com/,mailto:TAI-privacy@toshiba.com
http://www.wikidata.org/entity/Q49125,elevator,http://www.toshiba.com/,mailto:TAI-privacy@toshiba.com
http://www.wikidata.org/entity/Q49125,home appliance,http://www.toshiba.com/,mailto:TAI-privacy@toshiba.com
http://www.wikidata.org/entity/Q49125,networking hardware,http://www.toshiba.com/,mailto:TAI-privacy@toshiba.com
http://www.wikidata.org/entity/Q49125,office supply,http://www.toshiba.com/,mailto:TAI-privacy@toshiba.com
http://www.wikidata.org/entity/Q49125,electrical device,http://www.toshiba.com/,mailto:TAI-privacy@toshiba.com
http://www.wikidata.org/entity/Q49125,computer memory,http://www.toshiba.com/,mailto:TAI-privacy@toshiba.com
http://www.wikidata.org/entity/Q49125,medical equipment,http://www.toshiba.com/,mailto:TAI-privacy@toshiba.com
http://www.wikidata.org/entity/Q49125,computer hardware,https://www.toshiba.co.jp,mailto:TAI-privacy@toshiba.com
http://www.wikidata.org/entity/Q49125,software,https://www.toshiba.co.jp,mailto:TAI-privacy@toshiba.com
http://www.wikidata.org/entity/Q49125,semiconductor,https://www.toshiba.co.jp,mailto:TAI-privacy@toshiba.com
http://www.wikidata.org/entity/Q49125,escalator,https://www.toshiba.co.jp,mailto:TAI-privacy@toshiba.com
http://www.wikidata.org/entity/Q49125,movie theater,https://www.toshiba.co.jp,mailto:TAI-privacy@toshiba.com
http://www.wikidata.org/entity/Q49125,elevator,https://www.toshiba.co.jp,mailto:TAI-privacy@toshiba.com
http://www.wikidata.org/entity/Q49125,home appliance,https://www.toshiba.co.jp,mailto:TAI-privacy@toshiba.com
http://www.wikidata.org/entity/Q49125,networking hardware,https://www.toshiba.co.jp,mailto:TAI-privacy@toshiba.com
http://www.wikidata.org/entity/Q49125,office supply,https://www.toshiba.co.jp,mailto:TAI-privacy@toshiba.com
http://www.wikidata.org/entity/Q49125,electrical device,https://www.toshiba.co.jp,mailto:TAI-privacy@toshiba.com
http://www.wikidata.org/entity/Q49125,computer memory,https://www.toshiba.co.jp,mailto:TAI-privacy@toshiba.com
