business,msacademicLabel,grididLabel,opencorporatesLabel
http://www.wikidata.org/entity/Q66,,grid.423121.7,
http://www.wikidata.org/entity/Q95,1291425158,grid.420451.6,us_de/3582691
http://www.wikidata.org/entity/Q248,,grid.419318.6,us_de/2189074
http://www.wikidata.org/entity/Q312,1311269955,grid.455360.1,us_ca/C0806592
http://www.wikidata.org/entity/Q380,2252078561,grid.453567.6,
http://www.wikidata.org/entity/Q1418,,grid.6533.3,fi/0112038-9
http://www.wikidata.org/entity/Q1422,,,
http://www.wikidata.org/entity/Q2283,1290206253,grid.419815.0,us_wa/600413485
http://www.wikidata.org/entity/Q2311,112991645,grid.424413.4,
http://www.wikidata.org/entity/Q3312,2800405606,grid.435260.6,
http://www.wikidata.org/entity/Q3884,1311688040,grid.467171.2,us_de/2620453
http://www.wikidata.org/entity/Q3895,1316630387,,de/D3304V_HRB3868
http://www.wikidata.org/entity/Q4548,1310710659,,
http://www.wikidata.org/entity/Q4995,,grid.421744.0,
http://www.wikidata.org/entity/Q5281,58957048,grid.484753.9,
http://www.wikidata.org/entity/Q6686,1301102746,grid.4929.6,fr/441639465
http://www.wikidata.org/entity/Q7240,,grid.419474.b,us_md/D03964756
http://www.wikidata.org/entity/Q7414,,grid.452365.3,
http://www.wikidata.org/entity/Q8061,,,
http://www.wikidata.org/entity/Q8093,,grid.471191.b,jp/1130001011420
http://www.wikidata.org/entity/Q8766,1319467473,grid.424345.0,gb/01777777
http://www.wikidata.org/entity/Q8774,,,
http://www.wikidata.org/entity/Q9325,1305418528,grid.425362.4,de/R3306_HRB2168
http://www.wikidata.org/entity/Q9396,,grid.28390.30,de/R3201_HRB6794
http://www.wikidata.org/entity/Q9401,,grid.3319.8,de/T3104V_HRB6000
http://www.wikidata.org/entity/Q9584,1283473643,grid.471052.5,
http://www.wikidata.org/entity/Q11407,47910701,,
http://www.wikidata.org/entity/Q11463,1306409833,grid.467212.4,
http://www.wikidata.org/entity/Q13683,,,
http://www.wikidata.org/entity/Q14647,1328046515,,
http://www.wikidata.org/entity/Q14647,507390436,,
http://www.wikidata.org/entity/Q14772,98301712,grid.459383.0,
http://www.wikidata.org/entity/Q14799,,grid.472772.3,
http://www.wikidata.org/entity/Q15805,,,
http://www.wikidata.org/entity/Q18224,184886455,grid.436909.1,dk/22756214
http://www.wikidata.org/entity/Q19593,,,gb/SC003487
http://www.wikidata.org/entity/Q19900,,grid.419799.b,
http://www.wikidata.org/entity/Q20165,,grid.466950.8,
http://www.wikidata.org/entity/Q20718,,,
http://www.wikidata.org/entity/Q21077,,,
http://www.wikidata.org/entity/Q23317,1322300227,grid.423767.3,
http://www.wikidata.org/entity/Q25775,,,
http://www.wikidata.org/entity/Q25796,,,
http://www.wikidata.org/entity/Q25996,,,
http://www.wikidata.org/entity/Q26049,152171566,grid.413341.0,
http://www.wikidata.org/entity/Q26298,187380120,grid.510358.a,
http://www.wikidata.org/entity/Q26299,874390226,grid.510360.1,
http://www.wikidata.org/entity/Q26311,,grid.478362.c,
http://www.wikidata.org/entity/Q26463,898250095,grid.510361.0,
http://www.wikidata.org/entity/Q26678,1283382300,grid.14039.3f,de/D2601V_HRB42243
http://www.wikidata.org/entity/Q26678,1283382300,grid.482868.8,de/D2601V_HRB42243
http://www.wikidata.org/entity/Q26694,34276124,grid.426272.7,
http://www.wikidata.org/entity/Q26989,110675161,grid.425047.0,
http://www.wikidata.org/entity/Q27065,,grid.497157.9,
http://www.wikidata.org/entity/Q27074,,,
http://www.wikidata.org/entity/Q27511,,,
http://www.wikidata.org/entity/Q27530,891521709,grid.5433.1,de/B8534_HRB19360
http://www.wikidata.org/entity/Q27597,125077922,,
http://www.wikidata.org/entity/Q27893,50754188,grid.424155.3,
http://www.wikidata.org/entity/Q28255,,,
http://www.wikidata.org/entity/Q29366,,,
http://www.wikidata.org/entity/Q29739,80771471,grid.480264.c,
http://www.wikidata.org/entity/Q30378,,,
http://www.wikidata.org/entity/Q30850,,,
http://www.wikidata.org/entity/Q30873,2799817953,grid.410541.5,
http://www.wikidata.org/entity/Q32141,,,
http://www.wikidata.org/entity/Q32245,1306682180,,
http://www.wikidata.org/entity/Q32396,1334696734,grid.467594.d,
http://www.wikidata.org/entity/Q32491,1313984678,,
http://www.wikidata.org/entity/Q35339,,,
http://www.wikidata.org/entity/Q35476,1283103587,grid.431860.8,
http://www.wikidata.org/entity/Q35953,920736824,grid.425426.3,
http://www.wikidata.org/entity/Q35996,1282569916,grid.471109.a,
http://www.wikidata.org/entity/Q36033,1310099993,grid.471166.3,
http://www.wikidata.org/entity/Q37156,1341412227,grid.410484.d,
http://www.wikidata.org/entity/Q37158,,grid.467550.5,
http://www.wikidata.org/entity/Q38076,,grid.467505.5,
http://www.wikidata.org/entity/Q38676,,grid.410522.0,
http://www.wikidata.org/entity/Q38928,,grid.467486.f,
http://www.wikidata.org/entity/Q38960,,,
