catch_terms,recode_column,organization_name,domains,country,parent_org,org_type,added
01 communique,01 communique,01 Communique,01com.com,Canada,NA,software,
0verflow,0verflow,0verflow,0verflow.com,Japan,NA,video game industry,
100 worries,100 worries,"100 Worries, LLC",NA,United States of America,NA,video game,
10x genomics,10x genomics,10X Genomics (United States),10xgenomics.com,United States of America,NA,biotechnology industry,
11 bit studios,11 bit studios,11 bit studios,11bitstudios.com,Poland,NA,video game industry,
112db,112db,112dB,NA,NA,NA,music software,
13cm,13cm,13cm,13cm.jp,Japan,NA,video game industry,
1c company,1c company,1C Company,1c.ru,Russia,NA,software industry,
1c rarus,1c rarus,1C-Rarus,rarus.ru,NA,NA,software,
2015 inc,2015 inc,"2015, Inc.",2015games.net,United States of America,NA,video game,
21st century entertainment,21st century entertainment,21st Century Entertainment,NA,NA,NA,video game industry,
23andme,23andme,23andMe,23andme.com,United States of America,NA,biotechnology,
2d boy,2d boy,2D Boy,2dboy.com,United States of America,NA,video game industry,
2g energy,2g energy,2G Energy,2-g.de,Germany,NA,heating technology|power plant technology,
2k czech,2k czech,2K Czech,NA,Czech Republic,2K Games,video game industry,
2xl games,2xl games,2XL Games,2xlgames.com,NA,NA,video game industry,
3 sprockets,3 sprockets,3 Sprockets,3sprockets.com,Australia,NA,video game industry,
360voice,360voice,360voice,360voice.gamerdna.com,United States of America,NA,video game industry,
37games,37games,37Games,37.com,People's Republic of China,NA,video game industry,
3cx,3cx,3CX,3cx.com,NA,NA,software development,
3d realms,3d realms,3D Realms,3drealms.com,United States of America,NA,video game industry,
3dflow,3dflow,3DFLOW,NA,NA,NA,software,
3h biomedical,3h biomedical,3H Biomedical,3hbiomedical.com,Sweden,NA,biotechnology,
3scan,3scan,3Scan,3scan.com,NA,NA,biotechnology,
454 life sciences,454 life sciences,454 Life Sciences,454.com,NA,NA,biotechnology,
4info,4info,4INFO,4info.com,United States of America,NA,information technology|marketing|big data|software industry|mobile advertising|telecommunications industry,
4theplayercom,4theplayercom,4ThePlayer.com,4theplayer.com,United Kingdom,NA,software development,
5pb,5pb,5pb.,5pb.jp,Japan,MAGES.,music industry|video game industry,
7 studios,7 studios,7 Studios,sevenstudios.com,NA,Activision Publishing,video game industry,
7thchord,7thchord,7thChord Inc.,NA,Japan,NA,video game industry,
a && l soft,a && l soft,A && L soft,alsoft.cz,Czech Republic,NA,information technology,
a1 belarus,a1 belarus,A1 Belarus,a1.by,Belarus,A1 Telekom Austria Group,information and communications technology|telecommunications industry|mobile phone industry,
aac stunts,aac stunts,AAC Stunts,aac-stunts.co.jp,Japan,NA,video game industry,
aackosoft,aackosoft,Aackosoft,NA,Netherlands,NA,video game industry,
aam consulting,aam consulting,AAM Consulting,NA,NA,NA,information technology|consultancy,
ab initio,ab initio,Ab Initio,NA,NA,NA,enterprise software,
abacus data systems,abacus data systems,Abacus Data Systems,NA,NA,NA,software,
abbyy,abbyy,ABBYY,abbyy.com,United States of America|Germany,NA,software industry,
abcam,abcam,Abcam,abcam.com,United Kingdom,NA,biotechnology,
abcellera,abcellera,AbCellera,abcellera.com,Canada,NA,biotechnology,
abcodia,abcodia,Abcodia,abcodia.com,United Kingdom,NA,biotechnology,
ability,ability,Ability Inc,NA,Israel,NA,technology industry,
abivax,abivax,Abivax,abivax.com,France,NA,biotechnology,
able corporation,able corporation,Able Corporation,NA,NA,NA,video game industry,
ableton,ableton,Ableton,ableton.com,Germany,NA,computer hardware|music software,
ablynx,ablynx,Ablynx,ablynx.com,Belgium,NA,biotechnology,
abogado powers,abogado powers,Abogado Powers,NA,Japan,NA,video game industry,
abra software,abra software,ABRA Software,abra.eu,Czech Republic,NA,information technology,
absoft fortran compilers,absoft fortran compilers,Absoft Fortran Compilers,absoft.com,NA,NA,software,
absolute entertainment,absolute entertainment,Absolute Entertainment,NA,United States of America,NA,video game industry,
absolute software corporation,absolute software corporation,Absolute Software Corporation,absolute.com,NA,NA,software industry,
accelerated evolution biotechnologies ltd,accelerated evolution biotechnologies ltd,Accelerated Evolution Biotechnologies Ltd.,aebi-bio.com,Israel,NA,technology industry,
accellta ltd,accellta ltd,Accellta Ltd.,accellta.com,Israel,NA,technology industry,
accenture,accenture,Accenture,accenture.com,Ireland,NA,information technology|outsourcing|management consulting industry|professional services industry,
access,access,Access,access-company.com,Japan,NA,smart TV|Automotive software,
access one,access one,Access One,accessoneinc.com,NA,NA,information technology,
access systems americas,access systems americas,Access Systems Americas,palmsource.com,NA,Access,computer hardware|software,
acclaim entertainment,acclaim entertainment,Acclaim Entertainment,web.archive.org,United States of America,NA,video game industry,
acclaim games,acclaim games,Acclaim Games,acclaim.com,United States of America,Playdom,video game industry,
accolade,accolade,Accolade,accolade.com,NA,NA,health technology,
accordent technologies,accordent technologies,Accordent Technologies,accordent.com,United States of America,NA,software,
ace soft ltd,ace soft ltd,Ace Soft Ltd.,NA,Japan,NA,video game industry,
acer,acer,Acer Inc.,acer.com,Taiwan,NA,computer hardware|information technology|International Standard Industrial Classification,
aconex,aconex,Aconex,aconex.com,NA,NA,software industry,
acquia,acquia,Acquia,acquia.com,United States of America,NA,software industry,
acronis,acronis,Acronis,acronis.com,United States of America|Switzerland|Singapore,NA,software,
acsis,acsis,Acsis,acsisinc.com,NA,NA,software,
actiance,actiance,Actiance,actiance.com,NA,NA,software,
actifio,actifio,Actifio,actifio.com,United States of America,NA,information technology,
active gaming media,active gaming media,Active Gaming Media,activegamingmedia.com,Japan,NA,video game industry,
active network,active network,"ACTIVE Network, LLC",activenetwork.com,United States of America,NA,software industry,
active power,active power,Active Power,activepower.com,United States of America,NA,energy technology,
activecampaign,activecampaign,ActiveCampaign,activecampaign.com,United States of America,NA,software industry,
activestate,activestate,ActiveState,activestate.com,NA,NA,software industry,
activision blizzard,activision blizzard,Activision Blizzard,activisionblizzard.com,United States of America,NA,video game industry,
actual entertainment,actual entertainment,Actual Entertainment,actualentertainment.com,United States of America,NA,video game industry,
actuate corporation,actuate corporation,Actuate Corporation,actuate.com,United States of America,NA,software industry,
acumatica,acumatica,Acumatica,acumatica.com,NA,EQT Partners,computer|software industry,
adaptive biotechnologies,adaptive biotechnologies,Adaptive Biotechnologies,adaptivebiotech.com,United States of America,NA,biotechnology industry,
adaptive planning,adaptive planning,Adaptive Planning,adaptiveinsights.com,United States of America,NA,software,
adcash,adcash,Adcash,adcash.com,NA,NA,information technology,
addamax,addamax,Addamax,NA,United States of America,NA,software,
adeline software international,adeline software international,Adeline Software International,adelinesoftware.com,France,NA,video game industry,
adeptia,adeptia,Adeptia,adeptia.com,United States of America,NA,software industry,
adina,adina,ADINA,adina.com,NA,NA,software,
adobe,adobe,Adobe,adobe.com|business.adobe.com,United States of America,NA,information technology|software development|software industry,
adscape,adscape,Adscape,NA,United States of America,NA,video game industry,
adstream,adstream,Adstream,adstream.com,NA,NA,software industry,
advanced biotechnology ltd,advanced biotechnology ltd,Advanced Biotechnology Ltd.,NA,Israel,NA,technology industry,
advanced cell technology,advanced cell technology,Advanced Cell Technology,advancedcell.com,United States of America,NA,biotechnology,
advanced digital information corporation,advanced digital information corporation,Advanced Digital Information Corporation,adic.com,NA,NA,software|magnetic tape data storage,
advanced systems concepts,advanced systems concepts,"Advanced Systems Concepts, Inc.",advsyscon.com,United States of America,NA,software industry,
advanced technologies center,advanced technologies center,Advanced Technologies Center,en.nanoscopy.ru,Russia,NA,nanotechnology,
advania,advania,Advania,NA,NA,NA,information technology,
advano,advano,Advano,advanotech.com,NA,NA,nanotechnology,
advaxis,advaxis,Advaxis,advaxis.com,United States of America,NA,biotechnology,
adventure planning service,adventure planning service,Adventure Planning Service,bouken.jp,Japan,NA,video game industry,
aera laboratory ltd,aera laboratory ltd,AERA Laboratory Ltd.,NA,Japan,NA,video game industry,
aeria games and entertainment,aeria games and entertainment,Aeria Games and Entertainment,aeriagames.com,United States of America,NA,video game industry,
affymetrix,affymetrix,Affymetrix,affymetrix.com,United States of America,Thermo Fisher Scientific,biotechnology,
aforms2web,aforms2web,Aforms2web,aforms2web.com,NA,NA,software,
afriso euro index,afriso euro index,Afriso-Euro-Index,afriso.de,Germany,NA,environmental technology,
afterpay,afterpay,Afterpay,afterpay.com,Australia,NA,financial technology,
agatsuma entertainment,agatsuma entertainment,Agatsuma Entertainment,agatsuma-games.jp,Japan,NA,video game industry,
agenda,agenda,Agenda,agenda.co.jp,Japan,NA,video game industry,
agenus,agenus,Agenus,agenusbio.com,United States of America,NA,biotechnology,
ageod,ageod,AGEod,ageod.com,France,NA,video game industry,
agex therapeutics,agex therapeutics,"AgeX Therapeutics, Inc.",agexinc.com,United States of America,NA,biotechnology,
aghighi web,aghighi web,Aghighi Web,aghighi.ca,Canada,NA,software industry,
agile software corporation,agile software corporation,Agile Software Corporation,oracle.com,NA,NA,software,
agilebits,agilebits,AgileBits,1password.com,Canada,NA,software industry,
agnitum,agnitum,Agnitum,agnitum.ru,Russia,Yandex,software,
ah software,ah software,AH-Software,ah-soft.com,NA,NA,software,
aha!,aha!,Aha!,aha.io,United States of America,NA,software,
ahnlab,ahnlab,AhnLab Inc,jp.ahnlab.com,South Korea,NA,software,
ahrefs,ahrefs,Ahrefs,ahrefs.com,NA,NA,marketing|search engine optimization|software industry,
ailive,ailive,AiLive,ailive.net,United States of America,NA,software,
