business,grididLabel,opencorporatesLabel,crunchbaseLabel,quoraLabel,littlesisLabel
http://www.wikidata.org/entity/Q136542,grid.434959.6,de/R2503_HRB279,,HOCHTIEF,
http://www.wikidata.org/entity/Q136570,,,,Zalando-company,
http://www.wikidata.org/entity/Q137803,grid.459996.e,jp/2010001071327,,,
http://www.wikidata.org/entity/Q138133,grid.426002.2,de/R2503_HRB14525,,,329973
http://www.wikidata.org/entity/Q138799,,,,APERAM,
http://www.wikidata.org/entity/Q138913,,dk/86001519,,,
http://www.wikidata.org/entity/Q140266,,,,Zagato,
http://www.wikidata.org/entity/Q140381,,,,,
http://www.wikidata.org/entity/Q140388,,,,,
http://www.wikidata.org/entity/Q140676,,,,Rediff-com,
http://www.wikidata.org/entity/Q141644,grid.425738.f,fr/393525852,berktek,Nexans,
http://www.wikidata.org/entity/Q142054,,,,Kumon-1,
http://www.wikidata.org/entity/Q142139,,,,,
http://www.wikidata.org/entity/Q142205,,fr/542005376,,,
http://www.wikidata.org/entity/Q142949,,,,,
http://www.wikidata.org/entity/Q143616,grid.471329.a,,,United-Microelectronics-Corporation,119289
http://www.wikidata.org/entity/Q143833,,,,,
http://www.wikidata.org/entity/Q143852,,,,Eurasian-Bank,
http://www.wikidata.org/entity/Q144105,,,,,
http://www.wikidata.org/entity/Q144175,grid.504757.4,gb/02675207,,SDL-PLC,
http://www.wikidata.org/entity/Q144175,grid.504757.4,gb/02675207,,SDL-Plc-company,
http://www.wikidata.org/entity/Q144235,,,,,
http://www.wikidata.org/entity/Q144364,,,,,
http://www.wikidata.org/entity/Q144617,grid.14587.3f,,telecom-italia,Telecom-Italia,
http://www.wikidata.org/entity/Q144886,,,,,
http://www.wikidata.org/entity/Q145156,,,,Zalman,
http://www.wikidata.org/entity/Q145168,,,dollar-general-corporation,Dollar-General-company,
http://www.wikidata.org/entity/Q145456,,,,,
http://www.wikidata.org/entity/Q145486,,,,,
http://www.wikidata.org/entity/Q145498,,,,,
http://www.wikidata.org/entity/Q145510,,,,,
http://www.wikidata.org/entity/Q145520,,,,,
http://www.wikidata.org/entity/Q145524,,,,,
http://www.wikidata.org/entity/Q145614,grid.435128.9,,,Magyar-Posta,
http://www.wikidata.org/entity/Q146784,,,,,
http://www.wikidata.org/entity/Q147421,,,,,
http://www.wikidata.org/entity/Q148220,,,,,
http://www.wikidata.org/entity/Q149947,,us_ca/C1265708,,Midway-Games,
http://www.wikidata.org/entity/Q150437,,je/EXTUID_283642,penta-investments,,
http://www.wikidata.org/entity/Q151107,grid.436394.f,fr/855200507,michelin-tyre,Michelin,
http://www.wikidata.org/entity/Q151310,,,,,
http://www.wikidata.org/entity/Q151392,,,,,
http://www.wikidata.org/entity/Q151670,,,alleghany-corporation,,
http://www.wikidata.org/entity/Q151683,,,,,
http://www.wikidata.org/entity/Q152051,grid.420044.6,de/R3306_HRB48248,bayer-ag-germany,,
http://www.wikidata.org/entity/Q152057,grid.1236.6,gb/00102498,british-petroleum,BP-company,45975
http://www.wikidata.org/entity/Q152057,grid.1236.6,gb/00102498,bp-alternative-energy,BP-company,45975
http://www.wikidata.org/entity/Q152057,grid.1236.6,gb/00102498,bp-corporation,BP-company,45975
http://www.wikidata.org/entity/Q152433,grid.420144.7,,xerox,Xerox-company,
http://www.wikidata.org/entity/Q152433,grid.420144.7,,xerox-research-centre-india,Xerox-company,
http://www.wikidata.org/entity/Q152517,,,,,
http://www.wikidata.org/entity/Q152695,grid.481755.a,fi/0131505-5,,,
http://www.wikidata.org/entity/Q152784,,,,The-North-Face-company,
http://www.wikidata.org/entity/Q152864,grid.471105.6,,,Asus-6,
http://www.wikidata.org/entity/Q152864,grid.471105.6,,,Asus-company,
http://www.wikidata.org/entity/Q153075,,,,,
http://www.wikidata.org/entity/Q153417,,,kroger,The-Kroger-Co,
http://www.wikidata.org/entity/Q153417,,,the-kroger-co,The-Kroger-Co,
http://www.wikidata.org/entity/Q153435,,,,,
http://www.wikidata.org/entity/Q154387,,,iridium,,
http://www.wikidata.org/entity/Q154387,,,iridium-communications-gmbh,,
http://www.wikidata.org/entity/Q154470,,,,,
http://www.wikidata.org/entity/Q154610,grid.473686.8,,rafael-advanced-defense-systems,Rafael-Advanced-Defense-Systems,
http://www.wikidata.org/entity/Q154950,grid.422154.4,,shell,Royal-Dutch-Shell,84758
http://www.wikidata.org/entity/Q154950,grid.422154.4,,royal-dutch-shell,Royal-Dutch-Shell,84758
http://www.wikidata.org/entity/Q154950,grid.422154.4,,shell-technology-ventures,Royal-Dutch-Shell,84758
http://www.wikidata.org/entity/Q154950,grid.422154.4,,shell,Royal-Dutch-Shell-company,84758
http://www.wikidata.org/entity/Q154950,grid.422154.4,,royal-dutch-shell,Royal-Dutch-Shell-company,84758
http://www.wikidata.org/entity/Q154950,grid.422154.4,,shell-technology-ventures,Royal-Dutch-Shell-company,84758
http://www.wikidata.org/entity/Q156034,grid.471267.1,jp/1020001086473,,,
http://www.wikidata.org/entity/Q156077,grid.417821.9,fr/632012100,,LOreal-2,
http://www.wikidata.org/entity/Q156077,grid.417821.9,fr/632012100,,LOréal-company,
http://www.wikidata.org/entity/Q156238,grid.421234.2,,exxonmobil,,2
http://www.wikidata.org/entity/Q156391,,,,Steinway-Sons,
http://www.wikidata.org/entity/Q156644,grid.417480.e,,,,
http://www.wikidata.org/entity/Q156959,grid.39009.33,de/M1103_HRB6164,merck-group,Merck-company,
http://www.wikidata.org/entity/Q156959,grid.39009.33,de/M1103_HRB6164,merck-group,Merck-KGaA,
http://www.wikidata.org/entity/Q157064,,,puma,Puma-company,
http://www.wikidata.org/entity/Q157064,,,puma,Puma-SE,
http://www.wikidata.org/entity/Q157675,grid.227688.1,se/556036-2138,,,
http://www.wikidata.org/entity/Q158205,grid.417924.d,fr/395030844,,Sanofi,119236
http://www.wikidata.org/entity/Q158285,,,,,
http://www.wikidata.org/entity/Q158888,,,,Yamaha-Motor-Company,
http://www.wikidata.org/entity/Q159614,grid.471307.6,jp/4011101010841,epson,Epson-company,
http://www.wikidata.org/entity/Q159614,grid.471307.6,jp/4011101010841,epson,Seiko-Epson,
http://www.wikidata.org/entity/Q159766,,,,The-Dutch-East-India-Company,
http://www.wikidata.org/entity/Q160054,grid.497919.b,,axa-ppp-international,,95868
http://www.wikidata.org/entity/Q160054,grid.497919.b,,axa-ppp-healthcare,,95868
http://www.wikidata.org/entity/Q160120,grid.453400.6,,huawei,Huawei-company,164492
http://www.wikidata.org/entity/Q160126,grid.421658.c,,,Royal-Bank-of-Scotland,
http://www.wikidata.org/entity/Q160126,grid.421658.c,,,The-Royal-Bank-of-Scotland-Group,
http://www.wikidata.org/entity/Q160229,grid.426313.1,,,,73772
http://www.wikidata.org/entity/Q161140,grid.473036.5,gb/00023307,diageo,Diageo-company,69294
http://www.wikidata.org/entity/Q161168,,,,,
http://www.wikidata.org/entity/Q161833,,,,Leica-Camera-2,
http://www.wikidata.org/entity/Q161906,,,oakley-sunglasses,Oakley-company,
http://www.wikidata.org/entity/Q162257,grid.471189.2,jp/1010401010455,,,
http://www.wikidata.org/entity/Q162345,grid.454259.b,,lg,,
http://www.wikidata.org/entity/Q163327,grid.423975.e,,,Mondragon-company,
http://www.wikidata.org/entity/Q163580,,,,,
http://www.wikidata.org/entity/Q207922,,,atari,Atari-company,
http://www.wikidata.org/entity/Q207922,,,atari,Atari-Games,
http://www.wikidata.org/entity/Q208305,,,,Commodore-International,
http://www.wikidata.org/entity/Q209039,grid.454193.e,,,,
http://www.wikidata.org/entity/Q210057,,,,Netscape,
http://www.wikidata.org/entity/Q210075,,,borland,Borland-company,
http://www.wikidata.org/entity/Q210075,,,borland,Borland-Software-Corporation,
http://www.wikidata.org/entity/Q211237,,,,Computacenter,
http://www.wikidata.org/entity/Q211464,,,indusoft,Invensys,
http://www.wikidata.org/entity/Q211464,,,invensys,Invensys,
http://www.wikidata.org/entity/Q211906,,dk/83933410,,Brøndby-IF,
http://www.wikidata.org/entity/Q211951,,gb/04006623,,ASOS-company,
http://www.wikidata.org/entity/Q212076,,,,,
http://www.wikidata.org/entity/Q212116,grid.471089.3,jp/3090001010053,,Fanuc,
http://www.wikidata.org/entity/Q212235,grid.467144.4,,american-international-group,American-International-Group,13
http://www.wikidata.org/entity/Q212405,grid.418758.7,,procter-and-gamble,Proctor-and-Gamble-company,
http://www.wikidata.org/entity/Q212433,grid.467237.3,,avaya,Avaya,
http://www.wikidata.org/entity/Q212433,grid.467237.3,,esna-technologies,Avaya,
http://www.wikidata.org/entity/Q212433,grid.467237.3,,aviva-group,Avaya,
http://www.wikidata.org/entity/Q214036,,,,,
