business,businessLabel,officialnameLabel,shortnameLabel,locationLabel,countryLabel
http://www.wikidata.org/entity/Q49053,Schneider Electric,Schneider & Compagnie,,Le Creusot,France
http://www.wikidata.org/entity/Q49125,Toshiba,,,Tokyo,Japan
http://www.wikidata.org/entity/Q50595,YG Entertainment,YG Entertainment Inc.,,,South Korea
http://www.wikidata.org/entity/Q50595,YG Entertainment,주식회사 와이지엔터테인먼트,,,South Korea
http://www.wikidata.org/entity/Q50912,AkzoNobel,,,,Netherlands
http://www.wikidata.org/entity/Q51744,AutoNavi Holdings Limited,,,,People's Republic of China
http://www.wikidata.org/entity/Q51747,Air China,,,Beijing,People's Republic of China
http://www.wikidata.org/entity/Q52601,SCA (Svenska Cellulosa Aktiebolaget),,,,Sweden
http://www.wikidata.org/entity/Q52618,Ericsson,,,Stockholm,Sweden
http://www.wikidata.org/entity/Q52825,ABB Group,,,,Switzerland
http://www.wikidata.org/entity/Q52846,SKF,,,Gothenburg,Sweden
http://www.wikidata.org/entity/Q53227,Sharp Corporation,,,Tokyo,Japan
http://www.wikidata.org/entity/Q53238,Hitachi,,,Hitachi,Japan
http://www.wikidata.org/entity/Q53247,Panasonic Corporation,,,Osaka,Japan
http://www.wikidata.org/entity/Q53257,Mitsubishi Electric,,,Tokyo,Japan
http://www.wikidata.org/entity/Q53268,Toyota,,,,Japan
http://www.wikidata.org/entity/Q54075,SSAB,,,,Sweden
http://www.wikidata.org/entity/Q54173,General Electric,,GE,Schenectady,United States of America
http://www.wikidata.org/entity/Q55441,Zeltia,,,,Spain
http://www.wikidata.org/entity/Q55931,Hyundai Motor Company,,,Seoul,South Korea
http://www.wikidata.org/entity/Q58024,eBay,eBay Inc.,,California,United States of America
http://www.wikidata.org/entity/Q58707,Aeroflot,,,Moscow,Russia
http://www.wikidata.org/entity/Q59165,ProSiebenSat.1 Media SE,,,,Germany
http://www.wikidata.org/entity/Q59507,Astrotech Corporation,,,,
http://www.wikidata.org/entity/Q59551,Warsaw Stock Exchange,GIEŁDA PAPIERÓW WARTOŚCIOWYCH W WARSZAWIE SPÓŁKA AKCYJNA,,Warsaw,Poland
http://www.wikidata.org/entity/Q60003,Orkla Group,,,,Norway
http://www.wikidata.org/entity/Q60188,National Express Group,,,,
http://www.wikidata.org/entity/Q62621,Canon Inc.,,,Ōta-ku,Japan
http://www.wikidata.org/entity/Q63327,Airbnb,Airbnb,,,
http://www.wikidata.org/entity/Q63335,Foot Locker,"Foot Locker, Inc.",,,United States of America
http://www.wikidata.org/entity/Q66048,Deutsche Bank,Deutsche Bank Aktiengesellschaft,,Berlin,Germany
http://www.wikidata.org/entity/Q71233,ZAZ,,,Zaporizhzhia,Ukraine
http://www.wikidata.org/entity/Q71946,AK Steel Holding,,,,United States of America
