business,googlenewsLabel,bbcnewsLabel,stockexchangeLabel,libofcongressLabel
http://www.wikidata.org/entity/Q27893,,,Euronext,
http://www.wikidata.org/entity/Q28255,,,Frankfurt Stock Exchange,
http://www.wikidata.org/entity/Q29366,,,Shenzhen Stock Exchange,
http://www.wikidata.org/entity/Q29739,,,New York Stock Exchange,n85150410
http://www.wikidata.org/entity/Q30378,,,Moscow Exchange,n80113969
http://www.wikidata.org/entity/Q30850,CAAqIggKIhxDQkFTRHdvSkwyMHZNRFJ4ZW5GdEVnSnFZU2dBUAE,,Tokyo Stock Exchange,
http://www.wikidata.org/entity/Q30850,CAAqIggKIhxDQkFTRHdvSkwyMHZNRFJ4ZW5GdEVnSnFZU2dBUAE,,Nagoya Stock Exchange,
http://www.wikidata.org/entity/Q30873,,,New York Stock Exchange,
http://www.wikidata.org/entity/Q32141,,,Hong Kong Stock Exchange,
http://www.wikidata.org/entity/Q32245,,,Singapore Exchange,
http://www.wikidata.org/entity/Q32396,,,NASDAQ,n50073506
http://www.wikidata.org/entity/Q32491,,,Australian Securities Exchange,n80109350
http://www.wikidata.org/entity/Q35339,,,New York Stock Exchange,n2003031218
http://www.wikidata.org/entity/Q35476,,,New York Stock Exchange,no97054125
http://www.wikidata.org/entity/Q35476,,,Tokyo Stock Exchange,no97054125
http://www.wikidata.org/entity/Q35953,,,Frankfurt Stock Exchange,n83010180
http://www.wikidata.org/entity/Q35996,,,Tokyo Stock Exchange,no90012014
http://www.wikidata.org/entity/Q36033,CAAqIggKIhxDQkFTRHdvSkwyMHZNREZqZVd4NEVnSnFZU2dBUAE,,Tokyo Stock Exchange,n88607042
http://www.wikidata.org/entity/Q37156,,,New York Stock Exchange,n79142877
http://www.wikidata.org/entity/Q37156,,,Tokyo Stock Exchange,n79142877
http://www.wikidata.org/entity/Q37158,,,NASDAQ,no95039213
http://www.wikidata.org/entity/Q37158,,,Hong Kong Stock Exchange,no95039213
http://www.wikidata.org/entity/Q38076,,,New York Stock Exchange,n50000582
http://www.wikidata.org/entity/Q38076,,,Tokyo Stock Exchange,n50000582
http://www.wikidata.org/entity/Q38676,,,New York Stock Exchange,no96043392
http://www.wikidata.org/entity/Q38676,,,Toronto Stock Exchange,no96043392
http://www.wikidata.org/entity/Q38928,,,New York Stock Exchange,no2006014752
http://www.wikidata.org/entity/Q38960,,,Hong Kong Stock Exchange,
http://www.wikidata.org/entity/Q38960,,,Shanghai Stock Exchange,
http://www.wikidata.org/entity/Q39146,,,Shanghai Stock Exchange,n2018027011
http://www.wikidata.org/entity/Q39586,,,London Stock Exchange,
http://www.wikidata.org/entity/Q39586,,,OMX AB,
http://www.wikidata.org/entity/Q40650,,,Toronto Stock Exchange,n85037919
http://www.wikidata.org/entity/Q41187,,,New York Stock Exchange,
http://www.wikidata.org/entity/Q41187,,,Tokyo Stock Exchange,
http://www.wikidata.org/entity/Q44294,,,New York Stock Exchange,n80085248
http://www.wikidata.org/entity/Q44504,,,Bolsa de Madrid,
http://www.wikidata.org/entity/Q44868,,,Shanghai Stock Exchange,
http://www.wikidata.org/entity/Q45557,,,Nasdaq Copenhagen,
http://www.wikidata.org/entity/Q45568,,,Frankfurt Stock Exchange,nb2006004461
http://www.wikidata.org/entity/Q45568,,,Italian Bourse,nb2006004461
http://www.wikidata.org/entity/Q45568,,,Frankfurt Stock Exchange,no2007030082
http://www.wikidata.org/entity/Q45568,,,Italian Bourse,no2007030082
http://www.wikidata.org/entity/Q45576,,,Nasdaq Copenhagen,
http://www.wikidata.org/entity/Q45600,,,NASDAQ,n89115742
http://www.wikidata.org/entity/Q45700,,,New York Stock Exchange,
http://www.wikidata.org/entity/Q45700,,,London Stock Exchange,
http://www.wikidata.org/entity/Q45700,,,Tokyo Stock Exchange,
http://www.wikidata.org/entity/Q46063,,,Hong Kong Stock Exchange,
http://www.wikidata.org/entity/Q46063,,,Shanghai Stock Exchange,
http://www.wikidata.org/entity/Q46065,,,Hong Kong Stock Exchange,
http://www.wikidata.org/entity/Q46065,,,Shanghai Stock Exchange,
http://www.wikidata.org/entity/Q46730,,,OTC Markets Group,no96036325
http://www.wikidata.org/entity/Q46974,CAAqKAgKIiJDQkFTRXdvS0wyMHZNRE53TVhFNGFoSUZaVzR0UjBJb0FBUAE,,New York Stock Exchange,n84037887
http://www.wikidata.org/entity/Q46974,CAAqKAgKIiJDQkFTRXdvS0wyMHZNRE53TVhFNGFoSUZaVzR0UjBJb0FBUAE,,Toronto Stock Exchange,n84037887
http://www.wikidata.org/entity/Q47099,,,New York Stock Exchange,
http://www.wikidata.org/entity/Q47099,,,Mexican Stock Exchange,
http://www.wikidata.org/entity/Q48754,,,New York Stock Exchange,n80090324
http://www.wikidata.org/entity/Q48755,,,New York Stock Exchange,
http://www.wikidata.org/entity/Q48822,,,New York Stock Exchange,
http://www.wikidata.org/entity/Q48872,,,New York Stock Exchange,n83047422
http://www.wikidata.org/entity/Q48881,,,New York Stock Exchange,n89651863
http://www.wikidata.org/entity/Q66,CAAqIQgKIhtDQkFTRGdvSUwyMHZNREUzT0djU0FtVnVLQUFQAQ,c40rjmqd0pgt,New York Stock Exchange,n79134057
http://www.wikidata.org/entity/Q66,CAAqIQgKIhtDQkFTRGdvSUwyMHZNREUzT0djU0FtVnVLQUFQAQ,c40rjmqd0pgt,Tokyo Stock Exchange,n79134057
http://www.wikidata.org/entity/Q95,,c8nq32jw83wt,NASDAQ,no00095539
http://www.wikidata.org/entity/Q248,,,NASDAQ,n78020122
http://www.wikidata.org/entity/Q248,,,Hong Kong Stock Exchange,n78020122
http://www.wikidata.org/entity/Q312,,crr7mlg0gqqt,NASDAQ,n84040978
http://www.wikidata.org/entity/Q312,,crr7mlg0gqqt,Tokyo Stock Exchange,n84040978
http://www.wikidata.org/entity/Q380,,,NASDAQ,n2009022167
http://www.wikidata.org/entity/Q1418,,cnx753jej3yt,New York Stock Exchange,
http://www.wikidata.org/entity/Q1418,,cnx753jej3yt,Frankfurt Stock Exchange,
http://www.wikidata.org/entity/Q1418,,cnx753jej3yt,London Stock Exchange,
http://www.wikidata.org/entity/Q1418,,cnx753jej3yt,American depositary receipt,
http://www.wikidata.org/entity/Q1418,,cnx753jej3yt,Nasdaq Helsinki,
http://www.wikidata.org/entity/Q1418,,cnx753jej3yt,SIX Swiss Exchange,
http://www.wikidata.org/entity/Q1422,,,Italian Bourse,n79058447
http://www.wikidata.org/entity/Q2283,,,NASDAQ,n86810571
http://www.wikidata.org/entity/Q2283,,,Hong Kong Stock Exchange,n86810571
http://www.wikidata.org/entity/Q2311,,,Frankfurt Stock Exchange,nb2019003888
http://www.wikidata.org/entity/Q2311,,,Bolsa de Madrid,nb2019003888
http://www.wikidata.org/entity/Q2311,,,Euronext,nb2019003888
http://www.wikidata.org/entity/Q3312,,,OTC Markets Group,
http://www.wikidata.org/entity/Q3884,CAAqIQgKIhtDQkFTRGdvSUwyMHZNRzFuYTJjU0FtVnVLQUFQAQ,c50znx8v8y4t,NASDAQ,n99285360
http://www.wikidata.org/entity/Q3895,,,Frankfurt Stock Exchange,n2001096526
http://www.wikidata.org/entity/Q3895,,,OTC Markets Group,n2001096526
http://www.wikidata.org/entity/Q4548,,,Borsa Istanbul,no2006035838
http://www.wikidata.org/entity/Q4995,,,London Stock Exchange,
http://www.wikidata.org/entity/Q4995,,,JSE Limited,
http://www.wikidata.org/entity/Q5281,,,NASDAQ,n2007059173
http://www.wikidata.org/entity/Q5281,,,Moscow Exchange,n2007059173
http://www.wikidata.org/entity/Q6686,,,Euronext,n82069846
http://www.wikidata.org/entity/Q7240,CAAqIQgKIhtDQkFTRGdvSUwyMHZNR2hyY1c0U0FtVnVLQUFQAQ,,New York Stock Exchange,n95082784
http://www.wikidata.org/entity/Q7414,,c40rjmqdw2vt,New York Stock Exchange,n86012698
http://www.wikidata.org/entity/Q7414,,c40rjmqdw2vt,Tokyo Stock Exchange,n86012698
http://www.wikidata.org/entity/Q8061,,,Nasdaq Helsinki,
http://www.wikidata.org/entity/Q8093,,,NASDAQ,n80155453
http://www.wikidata.org/entity/Q8093,,,Frankfurt Stock Exchange,n80155453
http://www.wikidata.org/entity/Q8093,,,Tokyo Stock Exchange,n80155453
http://www.wikidata.org/entity/Q8093,,,OTC Markets Group,n80155453
http://www.wikidata.org/entity/Q8766,,cmmq89l227wt,London Stock Exchange,n50049880
http://www.wikidata.org/entity/Q8774,,c77jz3mdmy3t,London Stock Exchange,
http://www.wikidata.org/entity/Q8774,,c77jz3mdmy3t,Bolsa de Madrid,
http://www.wikidata.org/entity/Q8774,,c77jz3mdmy3t,OTC Markets Group,
http://www.wikidata.org/entity/Q9325,,,Frankfurt Stock Exchange,n50005033
http://www.wikidata.org/entity/Q9325,,,OTC Markets Group,n50005033
http://www.wikidata.org/entity/Q9396,,,Frankfurt Stock Exchange,no97011490
http://www.wikidata.org/entity/Q9401,,,Frankfurt Stock Exchange,n83010877
http://www.wikidata.org/entity/Q9401,,,London Stock Exchange,n83010877
http://www.wikidata.org/entity/Q9401,,,SIX Swiss Exchange,n83010877
http://www.wikidata.org/entity/Q9584,,,New York Stock Exchange,n81128387
http://www.wikidata.org/entity/Q9584,,,Tokyo Stock Exchange,n81128387
http://www.wikidata.org/entity/Q11407,,,New York Stock Exchange,
http://www.wikidata.org/entity/Q11463,,,NASDAQ,n85057605
http://www.wikidata.org/entity/Q11463,,,London Stock Exchange,n85057605
http://www.wikidata.org/entity/Q13683,,,New York Stock Exchange,no2007134454
