business,crunchbaseLabel,quoraLabel,littlesisLabel
http://www.wikidata.org/entity/Q30850,,,
http://www.wikidata.org/entity/Q30873,dell,Dell-company,34
http://www.wikidata.org/entity/Q30873,dell-venture,Dell-company,34
http://www.wikidata.org/entity/Q32141,cathay-pacific-airways-ltd,Cathay-Pacific,
http://www.wikidata.org/entity/Q32245,singapore-airlines-limited,Singapore-Airlines-SIA,
http://www.wikidata.org/entity/Q32396,american-airlines,American-Airlines-airline,92943
http://www.wikidata.org/entity/Q32491,qantas,Qantas,86965
http://www.wikidata.org/entity/Q35339,,World-Wrestling-Entertainment,
http://www.wikidata.org/entity/Q35476,at-t,AT-T-company,10
http://www.wikidata.org/entity/Q35476,at-t,AT-T-company,252075
http://www.wikidata.org/entity/Q35953,,,259240
http://www.wikidata.org/entity/Q35996,,Mazda-car-company,
http://www.wikidata.org/entity/Q36033,mitsubishi-motors,Mitsubishi-Motors-car,284059
http://www.wikidata.org/entity/Q37156,,IBM-company-1,15
http://www.wikidata.org/entity/Q37158,starbucks,Starbucks,278
http://www.wikidata.org/entity/Q37158,starbucks-coffee,Starbucks,278
http://www.wikidata.org/entity/Q37158,starbucks,Starbucks,114080
http://www.wikidata.org/entity/Q37158,starbucks-coffee,Starbucks,114080
http://www.wikidata.org/entity/Q38076,,McDonalds-fast-food-chain,107
http://www.wikidata.org/entity/Q38676,agnico-eagle-mines-limited,Agnico-Eagle-Mines-Limited,283636
http://www.wikidata.org/entity/Q38676,agnico-eagle-mines-limited,Agnico-Eagle-Mines-Limited,119024
http://www.wikidata.org/entity/Q38928,pnc-bank,,75768
http://www.wikidata.org/entity/Q38928,pnc-financial-services-group,,75768
http://www.wikidata.org/entity/Q38960,,China-CITIC-Bank,
http://www.wikidata.org/entity/Q39146,bank-of-beijing,Bank-of-Beijing,
http://www.wikidata.org/entity/Q39586,,,
http://www.wikidata.org/entity/Q40650,imperial-oil,Imperial-Oil-1,87262
http://www.wikidata.org/entity/Q41187,sony,Sony-company,
http://www.wikidata.org/entity/Q44294,ford,Ford-Motor-Company-4,7
http://www.wikidata.org/entity/Q44294,ford-silicon-valley-labs,Ford-Motor-Company-4,7
http://www.wikidata.org/entity/Q44504,inditex,Inditex,188357
http://www.wikidata.org/entity/Q44868,,,
http://www.wikidata.org/entity/Q45557,,Flsmidth,
http://www.wikidata.org/entity/Q45568,unicredit,UniCredit,222811
http://www.wikidata.org/entity/Q45568,unicredit-start-lab-fintech-accelerator,UniCredit,222811
http://www.wikidata.org/entity/Q45568,unicredit,UniCredit-Bank,222811
http://www.wikidata.org/entity/Q45568,unicredit-start-lab-fintech-accelerator,UniCredit-Bank,222811
http://www.wikidata.org/entity/Q45568,unicredit,Unicredit-Banking-Group,222811
http://www.wikidata.org/entity/Q45568,unicredit-start-lab-fintech-accelerator,Unicredit-Banking-Group,222811
http://www.wikidata.org/entity/Q45568,unicredit,Unicredit-Group,222811
http://www.wikidata.org/entity/Q45568,unicredit-start-lab-fintech-accelerator,Unicredit-Group,222811
http://www.wikidata.org/entity/Q45568,unicredit,UniCredit-Italia,222811
http://www.wikidata.org/entity/Q45568,unicredit-start-lab-fintech-accelerator,UniCredit-Italia,222811
http://www.wikidata.org/entity/Q45568,unicredit,UniCredit-SpA,222811
http://www.wikidata.org/entity/Q45568,unicredit-start-lab-fintech-accelerator,UniCredit-SpA,222811
http://www.wikidata.org/entity/Q45576,,,185719
http://www.wikidata.org/entity/Q45600,bitstream,,
http://www.wikidata.org/entity/Q45700,konami-digital-entertainment,Konami,202198
http://www.wikidata.org/entity/Q46063,,,
http://www.wikidata.org/entity/Q46065,,,
http://www.wikidata.org/entity/Q46730,,Banca-Monte-Dei-Paschi-Di-Siena,348512
http://www.wikidata.org/entity/Q46730,,Banca-Monte-Dei-Paschi-Di-Siena-bank,348512
http://www.wikidata.org/entity/Q46974,canadian-pacific-railway,Canadian-Pacific-Railway,152856
http://www.wikidata.org/entity/Q47099,televisa,,
http://www.wikidata.org/entity/Q47099,grupo-televisa,,
http://www.wikidata.org/entity/Q48754,ppg-industries,,219
http://www.wikidata.org/entity/Q48755,,,622
http://www.wikidata.org/entity/Q48822,,,637
http://www.wikidata.org/entity/Q48872,,,208
http://www.wikidata.org/entity/Q48872,,,250214
http://www.wikidata.org/entity/Q48881,sherwin-williams,,
http://www.wikidata.org/entity/Q268784,,,
http://www.wikidata.org/entity/Q270077,7digital,7digital,
http://www.wikidata.org/entity/Q270223,e-on,,283445
http://www.wikidata.org/entity/Q270363,,Société-Générale,88772
