business,twitterLabel,youtubeLabel,facebookLabel,instagramLabel
http://www.wikidata.org/entity/Q151694,,,,
http://www.wikidata.org/entity/Q152051,Bayer,UCc1fyFWYvP3XzMl6W4PWsjw,Bayer,bayerofficial
http://www.wikidata.org/entity/Q152051,Bayer4Crops,UCc1fyFWYvP3XzMl6W4PWsjw,Bayer,bayerofficial
http://www.wikidata.org/entity/Q152051,BayerUS,UCc1fyFWYvP3XzMl6W4PWsjw,Bayer,bayerofficial
http://www.wikidata.org/entity/Q152057,BP_plc,UC9m-Yl4kfv8nIriI7Ry8CxA,bp,bp_plc
http://www.wikidata.org/entity/Q152057,bp_turkey,UC9m-Yl4kfv8nIriI7Ry8CxA,bp,bp_plc
http://www.wikidata.org/entity/Q152057,BP_UK,UC9m-Yl4kfv8nIriI7Ry8CxA,bp,bp_plc
http://www.wikidata.org/entity/Q152096,sainsburys,UCgY-h0zGG5EOa3f_k22wMJg,sainsburys,sainsburys
http://www.wikidata.org/entity/Q152433,Xerox,,,
http://www.wikidata.org/entity/Q152695,,,,
http://www.wikidata.org/entity/Q152864,ASUS,,ASUS,asus
http://www.wikidata.org/entity/Q152864,asustr,,ASUS,asus
http://www.wikidata.org/entity/Q152864,ASUSIndia,,ASUS,asus
http://www.wikidata.org/entity/Q153417,kroger,,Kroger,krogerco
http://www.wikidata.org/entity/Q154037,TotalEnergies,UCXc0jPCckEICHgJlW-HKsRQ,TotalUSA,total
http://www.wikidata.org/entity/Q154387,IridiumComm,UCZ6-3U3gUwQHvQ1jyj4dOpQ,MyIridium,
http://www.wikidata.org/entity/Q154950,Shell,UCRLOjeT82M_8CyLj0BqvRaQ,Shell,shell
http://www.wikidata.org/entity/Q154950,Shell_UKLtd,UCRLOjeT82M_8CyLj0BqvRaQ,Shell,shell
http://www.wikidata.org/entity/Q155026,UPS,UC4_qBUkZQBfYsJ7eNYqXaBg,ups,ups
http://www.wikidata.org/entity/Q156077,Loreal,UCgmvz6qxtga4W6n1mfmM0Zw,loreal,loreal
http://www.wikidata.org/entity/Q156077,LOrealParisUSA,UCgmvz6qxtga4W6n1mfmM0Zw,loreal,loreal
http://www.wikidata.org/entity/Q156077,LOrealUSA,UCgmvz6qxtga4W6n1mfmM0Zw,loreal,loreal
http://www.wikidata.org/entity/Q156238,exxonmobil,UCvNc3rg1Aa9wSPECYWEfcPg,,
http://www.wikidata.org/entity/Q156578,,,,
http://www.wikidata.org/entity/Q156644,Raytheon,UC1w6pDb9Bgu5WeFI3pJ5iAg,Raytheon,raytheoncompany
http://www.wikidata.org/entity/Q156829,,,,
http://www.wikidata.org/entity/Q157064,PUMA,UCZq427EjGqUbV6pZIjEKkgg,PUMA,puma
http://www.wikidata.org/entity/Q157617,commerzbank,UC9rlRfOlVGLSFobNPttVhAQ,commerzbank,commerzbank
http://www.wikidata.org/entity/Q157645,DeutschePostDHL,,deutschepost,deutschepost
http://www.wikidata.org/entity/Q157852,deutscheboerse,UC2A3lQjVouCJvz3qmkCT75Q,,deutscheboersegroup
http://www.wikidata.org/entity/Q158205,sanofi,UC7TqGfA3m6lwJi869DXfbRw,sanofi,sanofi
http://www.wikidata.org/entity/Q158205,SanofiUS,UC7TqGfA3m6lwJi869DXfbRw,sanofi,sanofi
http://www.wikidata.org/entity/Q158205,sanofi,UC7TqGfA3m6lwJi869DXfbRw,SanofiItalia,sanofi
http://www.wikidata.org/entity/Q158205,SanofiUS,UC7TqGfA3m6lwJi869DXfbRw,SanofiItalia,sanofi
http://www.wikidata.org/entity/Q158205,sanofi,UC7TqGfA3m6lwJi869DXfbRw,sanofi,sanofi_italia
http://www.wikidata.org/entity/Q158205,SanofiUS,UC7TqGfA3m6lwJi869DXfbRw,sanofi,sanofi_italia
http://www.wikidata.org/entity/Q158205,sanofi,UC7TqGfA3m6lwJi869DXfbRw,SanofiItalia,sanofi_italia
http://www.wikidata.org/entity/Q158205,SanofiUS,UC7TqGfA3m6lwJi869DXfbRw,SanofiItalia,sanofi_italia
http://www.wikidata.org/entity/Q158888,YamahaMotorUSA,UCEe7dmonT8QIBwbd2l9gxIA,yamahamotorusa,yamahamotorusa
http://www.wikidata.org/entity/Q159433,3M,UC6YDuKO3yui0tMpnM8dEKMg,3M,3m
http://www.wikidata.org/entity/Q159614,,,,
http://www.wikidata.org/entity/Q160054,axa,UCT6LWo09dAQtWnBL5B57OqQ,axainsurance,axa
http://www.wikidata.org/entity/Q160229,TE_GranEmpresa,UC7LZo_P6m0W7SDDA8h3CLvg,telefonica,telefonica
http://www.wikidata.org/entity/Q160229,telefonica,UC7LZo_P6m0W7SDDA8h3CLvg,telefonica,telefonica
http://www.wikidata.org/entity/Q160229,telefonica_de,UC7LZo_P6m0W7SDDA8h3CLvg,telefonica,telefonica
http://www.wikidata.org/entity/Q160229,telefonicab2b,UC7LZo_P6m0W7SDDA8h3CLvg,telefonica,telefonica
http://www.wikidata.org/entity/Q160229,TelefonicaCloud,UC7LZo_P6m0W7SDDA8h3CLvg,telefonica,telefonica
http://www.wikidata.org/entity/Q160229,TelefonicaUK,UC7LZo_P6m0W7SDDA8h3CLvg,telefonica,telefonica
http://www.wikidata.org/entity/Q160746,Nestle,UCdfxp4cUWsWryZOy-o427dw,Nestle,nestle
http://www.wikidata.org/entity/Q161086,JetBlue,UCFXno2GGPrAW-XU0pOc4QoA,JetBlue,jetblue
http://www.wikidata.org/entity/Q161140,DiageoGB,,,
http://www.wikidata.org/entity/Q161833,leica_camera,UCVmgQawOcdeA9v9o0aukV7A,LeicaCamera,leica_camera
http://www.wikidata.org/entity/Q161833,leica_uk,UCVmgQawOcdeA9v9o0aukV7A,LeicaCamera,leica_camera
http://www.wikidata.org/entity/Q161833,leicacamerausa,UCVmgQawOcdeA9v9o0aukV7A,LeicaCamera,leica_camera
http://www.wikidata.org/entity/Q162345,LGElectronics,UCrIAnDo3VuWex3fywkGpB1g,theLGstory,lgdobrasil
http://www.wikidata.org/entity/Q162852,SurveyMonkey,,surveymonkey,
http://www.wikidata.org/entity/Q163241,continentaltire,UCwAEXlA0JkGBOlhdZghQC4w,Continental,continental_career
http://www.wikidata.org/entity/Q163241,ContiUK,UCwAEXlA0JkGBOlhdZghQC4w,Continental,continental_career
http://www.wikidata.org/entity/Q163560,,,,
http://www.wikidata.org/entity/Q163566,KUKA_Americas,,KUKAGlobal,
http://www.wikidata.org/entity/Q163566,KUKA_Press,,KUKAGlobal,
http://www.wikidata.org/entity/Q163566,KUKA_UK,,KUKAGlobal,
http://www.wikidata.org/entity/Q163566,KUKAGlobal,,KUKAGlobal,
http://www.wikidata.org/entity/Q163810,VolvoCarUK,,,volvocars
http://www.wikidata.org/entity/Q163810,VolvoCarUSA,,,volvocars
