government_name,acronym
Accounting And Auditing Policy Committee,AAPC
American Battle Monuments Commission,ABMC
Air Combat Command,ACC
United States Arms Control And Disarmament Agency,ACDA
Administration For Children And Families,ACF
Advisory Council On Historic Preservation,ACHP
Office Of The Under Secretary Of Defense For Acquisition And Technology,ACQWEB
Alternate Crops And Systems Lab,ACSL
Administration For Children,ACYF
Americans With Disabilities Act Of 1990,ADA
Asian Development Bank,ADB
Program Against Digital Counterfeiting Of Currency,ADC
Administration On Developmental Disabilities,ADD
African Development Foundation,ADF
African Development Bank,AFDB
Aid To Families With Dependent Children,AFDC
American Forces Information Service,AFIS
Air Force Reserve Command,AFRC
Air Force Research Laboratory,AFRL
Air Force Reserve Officer Training Corps,AFROTC
Armed Forces Radio And Television Service,AFRTS
Air Facility Sub-System,AFS
Armed Forces Staff College,AFSC
Air Force Space Command,AFSPC
Agricultural OnLine Access,AGRICOLA
Agency For Health Care Policy And Research,AHCPR
Army High Performance Computing Research Center,AHPCRC
Agency For Healthcare Research And Quality,AHRQ
American Housing Survey,AHS
Agency For International Development,AID
Aerometric Information Retrieval System,AIRS
Ames Laboratory,AMES
Agricultural Marketing Service,AMS
National Railroad Passenger Corporation,AMTRAK
Administration For Native Americans,ANA
Air National Guard,ANG
Argonne National Laboratory,ANL
Administration On Aging,AOA
Animal And Plant Health Inspection Service,APHIS
Administrative Review Board,ARB
Army Review Boards Agency,ARBA
Appalachian Regional Commission,ARC
Army Research Laboratory,ARL
Acquisition Reform Network,ARNET
Advanced Research Projects Agency,ARPA
Agricultural Research Service,ARS
Bureau Of Alcohol,ATF
Agency For Toxic Substances And Disease Registry,ATSDR
Beltsville Agricultural Research Center,BARC
Bureau Of Economic Analysis,BEA
Bureau Of Engraving And Printing,BEP
Biomonitoring Of Environmental Status And Trends,BEST
Building And Fire Research Laboratory,BFRL
Bureau Of Health Professions,BHPR
Bureau Of Indian Affairs,BIA
Business Information Center,BIC
BioInformatics Molecular Analysis Section,BIMAS
Bureau Of Industry And Security,BIS
Bureau Of Justice Assistance,BJA
Bureau Of Justice Statistics,BJS
Bureau Of Land Management,BLM
Bureau Of Labor Statistics,BLS
Ballistic Missile Defense Organization,BMDO
Bureau Of National Affairs,BNA
Federal Bureau Of Prisons,BOP
Bureau Of Reclamation,BOR
Bonneville Power Administration,BPA
Bureau Of The Public Debt,BPD
Bureau Of Primary Health Care,BPHC
Benefits Review Board,BRB
Biological Resource Division,BRD
Behavioral Risk Factor Surveillance System,BRFSS
Business Service Centers,BSC
Bureau Of Transportation Statistics,BTS
Board Of Veterans Appeals,BVA
Bureau Of Export Administration,BXA
Commercial And Government Entity,CAGE
Commerce Business Daily,CBD
Center For Biologics Evaluation And Research,CBER
Chemical And Biological Defense Information Analysis Center,CBIAC
Congressional Budget Office,CBO
Child Care Bureau,CCB
Commodity Credit Corporation,CCC
Commission On Civil Rights,CCR
Community Development Block Grants,CDBG
Centers For Disease Control,CDC
Center For Drug Evaluation And Research,CDER
Community Development Financial Institutions,CDFI
Center For Devices And Radiological Health,CDRH
Council Of Economic Advisers,CEA
Comprehensive Epidemiologic Data Resource,CEDR
Bureau Of The Census,CEN
Child Exploitation And Obscenity Section,CEOS
Chemical Emergency Preparedness And Prevention Office,CEPPO
Center For Earth And Planetary Studies,CEPS
Council On Environmental Quality,CEQ
Comprehensive Environmental Response,CERCLIS
Topographic Engineering Center,CETEC
Catalog Of Federal Domestic Assistance,CFDA
Chief Financial Officers Council,CFOC
Code Of Federal Regulations,CFR
National Center For Food Safety And Applied Nutrition,CFSAN
Commodity Futures Trading Commission,CFTC
Civilian Health And Medical Program Of The Department Of Veterans Affairs,CHAMPVA
Combined Health Information Database,CHID
Central Intelligence Agency,CIA
Critical Infrastructure Assurance Office,CIAO
Consumer Information Center,CIC
U.S. Army Criminal Investigation Command,CID
Coordinated Interagency Partnership Regulating International Students,CIPRIS
Cancer Information Service,CIS
Center For Information Technology,CIT
Convention On International Trade In Endangered Species Of Wild Fauna And Flora,CITES
Center For Mental Health Services,CMHS
Centers For Medicare And Medicaid Services,CMS
Center For Minority Veterans,CMV
Chief Of Naval Operations,CNO
Center For Nutrition Policy And Promotion,CNPP
Corporation For National Service,CNS
Consolidated Rail Corporation,CONRAIL
Cooperative Online Serials,CONSER
Coastal Ocean Program,COP
Office Of Community Oriented Policing Services,COPS
Consumer Price Index,CPI
Defense Civilian Personnel Management Service,CPMS
Corrections Program Office,CPO
Consumer Product Safety Commission,CPSC
Civil Rights Center,CRC
Computer Retrieval Of Information On Scientific Projects,CRISP
Conservation Reserve Program,CRP
Congressional Research Service; Community Relations Service,CRS
Center For Substance Abuse Prevention,CSAP
Center For Substance Abuse Treatment,CSAT
Chemical Safety And Hazard Investigation Board,CSB
Office Of Child Support Enforcement,CSE
Center For The Study Of Intelligence,CSI
Center For Scientific Review,CSR
Cooperative State Research,CSREES
Cancer Therapy Evaluation Program,CTEP
College And University Affiliations Program,CUAP
Chemical Weapons Convention,CWC
Department Of The Army,DA
Defense Advanced Research Projects Agency,DARPA
Defense Acquisition University,DAU
Defense Contract Audit Agency,DCAA
Division Of Computer Research And Technology,DCRT
Defense Distribution Center,DDC
Drug Enforcement Administration,DEA
Defense Commissary Agency,DECA
Department Of Economic And Social Affairs,DESA
Defense Energy Support Center,DESC
Defense Finance And Accounting Service,DFAS
Department Of Homeland Security,DHS
Defense Intelligence Agency,DIA
Defense Information School,DINFOS
Defense Information Systems Agency,DISA
Defense Logistics Agency,DLA
Defense Logistics Agency Publishing System,DLAPS
Defense Logistics Information Service,DLIS
Defense Legal Services Agency,DLSA
Defense Mapping Agency,DMA
Defense Manpower Data Center,DMDC
Defense Mapping School,DMS
Defense Nuclear Facilities Safety Board,DNFSB
Defense National Stockpile Center,DNSC
Department Of Commerce,DOC
Department Of Defense,DOD
Department Of Defense Education Activity,DODEA
DoD Index Of Specifications And Standards,DODISS
Single Stock Point For Specifications And Standards,DODSSP
Department Of Energy,DOE
Department Of The Interior,DOI
Department Of Justice,DOJ
Department Of Labor,DOL
DLA Office Of Operations Research And Resource Analysis,DORRA
Department Of State,DOS
Department Of Transportation,DOT
Domestic Policy Council,DPC
Denied Persons List,DPL
Defense Prisoner Of War/Missing Personnel Office,DPMO
Defense Reutilization And Marketing Service,DRMS
Defense Security Cooperation Agency,DSCA
Defense Security Service,DSS
Defense Technical Information Center,DTIC
Defense Threat Reduction Agency,DTRA
Export Administration Regulations,EAR
Employee Benefits Security Administration,EBSA
Bureau Of Educational And Cultural Affairs,ECA
Employees' Compensation Appeals Board,ECAB
National Institute On Early Childhood Development And Education,ECI
Executive Council On Integrity And Effiency,ECIE
Economic And Social Council,ECOSOC
Emergency Conservation Program,ECP
Department Of Education,ED
Economic Development Administration,EDA
Electronic Data Gathering,EDGAR
Equal Employment Opportunity Commission,EEOC
Environmental Health Perspectives,EHP
Energy Information Administration,EIA
Epidemic Intelligence Service,EIS
Office Of Environmental Management,EM
Environmental Measurement Laboratory,EML
Eisenhower National Clearinghouse,ENC
Executive Order,EO
Executive Office For Immigration Review,EOIR
Executive Office For United States Attorneys,EOUSA
Executive Office Of Weed And Seed,EOWS
Environmental Protection Agency,EPA
Energy Efficiency And Renewable Energy Network,EREN
Educational Resources Information Center,ERIC
Environmental Research Laboratories,ERL
Education Resource Organizations Directory,EROD
Economic Research Service,ERS
Employment Standards Administration; Economics And Statistics Administration,ESA
Environmental Services Data And Information Management,ESDIM
Employment And Training Administration,ETA
Export-Import Bank Of The United States,EX-IM BANK
Federal Aviation Administration,FAA
Federal National Mortgage Association,FANNIE MAE
Food And Agriculture Organization,FAO
Federal Assistance Programs Retrieval System,FAPRS
Federal Acquisition Regulation,FAR
Federal Agricultural Mortgage Corporation,FARMER MAC
Foreign Agricultural Service,FAS
Federal Accounting Standards Advisory Board,FASAB
Faith-Based And Community Initiatives,FBCI
Federal Bureau Of Investigation,FBI
Foreign Broadcast Information Service,FBIS
Farm Credit Administration,FCA
Federal Communications Commission,FCC
Federal Consumer Information Center; Federal Crop Insurance Corporation,FCIC
Food And Drug Administration,FDA
Federal Deposit Insurance Corporation,FDIC
Federal Executive Board,FEB
Federal Election Commission,FEC
Federal Information Exchange Inc.,FEDIX
Federal Research In Progress Database,FEDRIP
Federal Emergency Management Agency,FEMA
Federal Energy Regulatory Commission,FERC
Fermi National Accelerator Laboratory,FERMILAB
Federal Energy Technology Center,FETC
Federal Financing Bank,FFB
Federal Housing Administration,FHA
Federal Housing Finance Board,FHFB
Federal Highway Administration,FHWA
Federal Insurance Administration,FIA
Financial Crimes Enforcement Network,FINCEN
Federal Information Processing Standard,FIPS
Federal Judicial Center,FJC
Federal Laboratory Consortium,FLC
Federal Law Enforcement Training Center,FLETC
Federal Labor Relations Authority,FLRA
Federal Maritime Commission,FMC
Federal Mediation And Conciliation Service,FMCS
Federal Motor Carrier Safety Administration,FMCSA
Family And Medical Leave Act,FMLA
Financial Management Service,FMS
Federal Mine Safety And Health Review Commission,FMSHRC
Federal National Mortgage Association,FNMA
Food And Nutrition Service,FNS
Freedom Of Information Act,FOIA
Federal Open Market Committee,FOMC
Federal Procurement Data Center,FPDC
Federal Register,FR
Federal Railroad Administration,FRA
Federal Reserve Board,FRB
Federal Reserve System; Federal Relay Service,FRS
Federal Retirement Thrift Investment Board,FRTIB
Forest Service,FS
Farm Service Agency; Office Of Federal Student Aid,FSA
Food Safety And Inspection Service,FSIS
Federal Supply Service,FSS
Federal Transit Administration,FTA
Federal Trade Commission,FTC
Federal Technology Service,FTS
Fish And Wildlife Service,FWS
Family And Youth Services Bureau,FYSB
Government Accountability Office,GAO
General Agreement On Tariffs And Trade,GATT
Global Change Master Directory,GCMD
Government Information Locator Service,GILS
Government National Mortgage Association,GINNIE MAE
Grain Inspection,GIPSA
Geographic Information Systems,GIS
Geographic Names Information System,GNIS
Government National Mortgage Association,GNMA
Government Printing Office,GPO
Government Performance And Results Act,GPRA
Global Positioning System,GPS
General Services Administration,GSA
Goddard Space Flight Center,GSFC
Governmentwide Accounting Project Group,GWA
Government Without Boundaries,GWOB
HIV/AIDS Bureau,HAB
Health Administration Center,HAC
Health Care Financing Administration,HCFA
Department Of Health And Human Services,HHS
Health Information Resources Service,HIRS
High Performance Computing And Communications,HPCC
Health Resources And Services Administration,HRSA
Head Start Bureau,HSB
Department Of Housing And Urban Development,HUD
Import Administration,IA
Indian Arts And Crafts Board,IACB
Interagency Alternative Dispute Resolution Working Group,IADRWG
International Atomic Energy Agency,IAEA
Inter-Agency Electronic Grants Committee,IAEGC
Inter-American Foundation,IAF
International Broadcasting Bureau,IBB
Industrial College Of The Armed Forces,ICAF
International Civil Aviation Organization,ICAO
Interstate Commerce Commission,ICC
Institute Of Education Sciences,IES
Indian Health Service,IHS
International Information Programs,IIP
Bureau Of International Labor Affairs,ILAB
International Labour Organization,ILO
International Monetary Fund,IMF
Institute Of Museum And Library Services,IMLS
Idaho National Engineering And Environmental Laboratory,INEEL
Intermediate Range Nuclear Forces,INF
Bureau For International Narcotics And Law Enforcement Affairs,INL
Immigration And Naturalization Service,INS
Institute For National Strategic Studies,INSS
International Criminal Police Organization,INTERPOL
Bureau Of International Organization Affairs,IO
International Organization For Migration,IOM
Information Resources Management College,IRMC
Internal Revenue Service,IRS
International Trade Administration,ITA
United States International Trade Commission,ITC
Judge Advocate General,JAG
Joint Chiefs Of Staff,JCS
Joint Economic Committee,JEC
Joint Forces Staff College,JFSC
Jet Propulsion Laboratory,JPL
Johnson Space Center,JSC
Knolls Atomic Power Laboratory,KAPL
Kennedy Space Center,KSC
Los Alamos National Laboratory,LANL
Ernest Orlando Lawrence Berkeley National Laboratory,LBL
Library Of Congress,LC
Lawrence Livermore National Laboratory,LLNL
Library Of Congress,LOC
Library Of Congress Information System,LOCIS
Legal Services Corporation,LSC
Market Access And Compliance,MAC
