catch_terms,recode_column,organization_name,branch,agency,level_above,us_office_type,domains,abbreviation,country,gov_contractor,us_fed_stats,us_national_lab,source,city,state,github
administrative conference of the united states,administrative conference of the united states,Administrative Conference of the United States,US Executive Branch,Administrative Conference of the United States,,,acus.gov,acus,United States,,,,,,,
advisory council on historic preservation,advisory council on historic preservation,Advisory Council on Historic Preservation,US Executive Branch,Advisory Council on Historic Preservation,,,achp.gov|preserveamerica.gov,achp,United States,,,,,,,
american battle monuments commission,american battle monuments commission,American Battle Monuments Commission,US Executive Branch,American Battle Monuments Commission,,,abmc.gov|abmcscholar.gov|nationalmall.gov,abmc,United States,,,,,,,
amtrak office of inspector general,amtrak office of inspector general,Amtrak Office of Inspector General,US Executive Branch,AMTRAK,,,amtrakoig.gov,amtrak,United States,,,,,,,
appalachian regional commission,appalachian regional commission,Appalachian Regional Commission,US Executive Branch,Appalachian Regional Commission,,,arc.gov,,United States,,,,,,,
appraisal subcommittee,appraisal subcommittee,Appraisal Subcommittee,US Executive Branch,Appraisal Subcommittee,,,asc.gov,,United States,,,,,,,
armed forces retirement home,armed forces retirement home,US Armed Forces Retirement Home,US Executive Branch,Armed Forces Retirement Home,,,afrh.gov,afrh,United States,,,,,,,
barry goldwater scholarship and excellence in education foundation,barry goldwater scholarship and excellence in education foundation,Barry Goldwater Scholarship and Excellence in Education Foundation,US Executive Branch,Barry Goldwater Scholarship and Excellence in Education Foundation,,,goldwaterscholarship.gov,,United States,,,,,,,
us agency for global media,us agency for global media,US Agency for Global Media,US Executive Branch,Broadcasting Board of Governors,,,usagm.gov,,United States,,,,,,,
voa,voa,VOA,US Executive Branch,Broadcasting Board of Governors,,,voa.gov,,United States,,,,,,,
cia\gcs oseg,cia\gcs oseg,CIA\GCS OSEG,US Executive Branch,Central Intelligence Agency,,,osde.gov,,United States,,,,,,,
dni open source center,dni open source center,DNI Open Source Center,US Executive Branch,Central Intelligence Agency,,,opensource.gov,,United States,,,,,,,
national counterterrorism center,national counterterrorism center,National Counterterrorism Center,US Executive Branch,Central Intelligence Agency,,,nctc.gov|ttic.gov,,United States,,,,,,,
