NodeId	NodeURL	NodeName	Year	pages
1619	http://hves.juneauschools.org/	Harborview Elementary	2011.0	630.0
1620	http://www.asdk12.org/aboutschools/lakeotis/schoolname,3073,en.html	Lake Otis Elementary	2012.0	3.0
1621	http://www.matsuk12.us/sse	Snowshoe Elementary	2012.0	8704.0
1622	http://education.alaska.gov/tls/support/	Teaching & Learning Support	2012.0	5.0
1623	http://www.courtrecords.alaska.gov/eservices/home.page;jsessionid=DA56D331C32B8BCD9BDC9A8D1045AA6D	Alaska Trial Court Cases	0.0	3.0
1624	http://www.dot.state.ak.us/stwdplng/scenic/index.shtml	Scenic Byways	2004.0	37.0
1625	http://www.adfg.alaska.gov/	Department of Fish and Game homepage	2009.0	5933.0
1626	http://gov.alaska.gov/	Office of the Governor homepage	2008.0	32.0
1628	http://www.asdk12.org/aboutschools/service/schoolname,3120,en.html	Service High School	2012.0	6.0
1629	http://www.lksd.org/lksd/	Bethel Youth Facility	2012.0	15.0
1630	http://ydhs.juneauschools.org/	Yaakoosge Daakahidi Alt. H.S.	2011.0	186.0
1631	http://sms.kgbsd.org/site/default.aspx?PageID=403	Schoenbar Middle School	2013.0	6.0
1634	http://alaska.gov	State of Alaska	2000.0	3002.0
1637	http://donyoung.house.gov/	Congressman Don Young	2005.0	242.0
1639	http://www.matsugov.us/msln/msb/sutton/	Sutton Public Library	0.0	0.0
1640	http://www.cityofcordova.net/	Cordova, City of	2002.0	455.0
1641	http://forestry.alaska.gov	Division of Forestry	2005.0	59.0
1642	http://www.matsugov.us/msln/msb/talkeetna//	Talkeetna Public Library	0.0	0.0
1644	http://education.alaska.gov/teachercertification/	Teacher Certification	2012.0	40.0
1645	http://www.cityofwasilla.com/	Wasilla, City of	0.0	2200.0
1646	http://www.asdk12.org/aboutschools/omalley/schoolname,3082,en.html	O'Malley Elementary	2012.0	3.0
1647	http://www.thewatershedschool.com/	Watershed Charter School	2009.0	478.0
1649	http://acpe.alaska.gov/	Commission on Postsecondary Education	2012.0	487.0
1651	http://dnr.alaska.gov/commis/pco/	State  Pipeline Coordinator's Office	2011.0	59.0
1652	http://dnr.alaska.gov/parks/	Division of Parks and Outdoor Recreation	2007.0	533.0
1653	http://avtec.labor.state.ak.us/	Alaska Vocational Technical Center	2003.0	81.0
1654	http://www.juneau.org/library/	Juneau Public Libraries - Downtown Branch Library	2002.0	527.0
1655	http://mrcs.juneauschools.org/	Mendenhall River Community School	2010.0	338.0
1657	http://www.asdk12.org/aboutschools/ravenwood/schoolname,3088,en.html	Ravenwood Elementary	2012.0	3.0
1658	http://www.cordovasd.org/site/default.aspx?PageID=1	Cordova School District Innovative Learning	2012.0	14.0
1660	http://ltgov.alaska.gov/treadwell/services/alaska-constitution.html	Constitution of the State of Alaska	2010.0	32.0
1661	http://doa.alaska.gov/ogc/	Oil and Gas Conservation Commission	2009.0	64.0
1662	http://www.asdk12.org/aboutschools/newpath/schoolname,6270,en.html	The New Path High School	2012.0	2.0
1663	http://www.sisd.org	www.sisd.org	1999.0	3204.0
1664	http://aws.state.ak.us/OnlinePublicNotices/	Online Public Notices	2013.0	26.0
1665	http://doa.alaska.gov/das/	Division of Administrative Services	2009.0	29.0
1666	http://ccsd.k12.ak.us/	www.craigschools.com	2000.0	12.0
1667	http://www.crsd.us/	Glennallen Jr/Sr High School	2012.0	345.0
1668	http://dps.alaska.gov/apsc/	Alaska Police Standards Council	2008.0	23.0
1669	http://rca.alaska.gov/rcaweb/home.aspx	Regulatory Commission of Alaska	2007.0	1471.0
1670	http://dec.alaska.gov/water/index.htm	Division of Water	2007.0	69.0
1671	http://www.matsuk12.us/cwe	Cottonwood Creek Elementary	2012.0	8730.0
1672	http://www.asdk12.org/aboutschools/creekside/schoolname,3256,en.html	Creekside Park Elementary	2012.0	3.0
1673	http://treasury.dor.alaska.gov/ambba/Home.aspx	Alaska Municipal Bond Bank Authority	2014.0	10.0
