NodeId	NodeURL	NodeName	Year	pages
3538	http://www.hsahs.org	Los Angeles Unified	2011.0	1510.0
3539	http://pleasantonusd.net/	Pleasanton Unified	2010.0	239.0
3540	http://www.ces-csd-ca.schoolloop.com	Central Elementary	2009.0	7455.0
3541	http://fsd.k12.ca.us/raymond/index.html	Fullerton Elementary	2002.0	0.0
3545	http://www.kingcity.com	King City	1998.0	57.0
3547	http://www.rn.ca.gov/	Registered Nursing, Board of	1999.0	126.0
3548	http://www.ves.nvusd.k12.ca.us	Napa Valley Unified	2001.0	10514.0
3549	http://osborn-turlockusd-ca.schoolloop.com/	Turlock Unified	2009.0	9633.0
3550	http://www.duesd.org	Delano Union Elementary	2001.0	9353.0
3551	http://www.childsworld.ca.gov/pg2289.htm	Child Abuse Prevention, Office of	2010.0	238.0
3552	http://www.mercedcourt.org	Merced Court	2004.0	53.0
3553	http://www.lindsay.k12.ca.us/lindsay%20high/	Lindsay Unified	2011.0	4.0
3554	http://www.creativeartscharter.org	San Francisco Unified	2002.0	34.0
3558	http://www.banninghs.org	Los Angeles Unified	2005.0	1782.0
3559	http://www.folsom.ca.us	Folsom	1998.0	922.0
3560	http://libertyunion.schoolwires.net/site/default.aspx?PageID=1	LibertyUnion High School District	2013.0	12.0
3561	http://highschoool.info/?rid=933310&rname=gushd.net&OptId=10	Grossmont Union High	0.0	3272.0
3562	http://vcps.vcpusd.net/	Valley Center-Pauma Unified	2009.0	507.0
3564	http://www.dgs.ca.gov/dsa/home.aspx	Architect, Division of the State	2010.0	138.0
3565	http://wedrawthelines.ca.gov/	Citizens Redistricting Commission	2009.0	205.0
3567	http://www.sos.ca.gov/archives/chrab/	Historical Records Advisory Board, California	2009.0	14.0
3568	http://www.orangeusd.k12.ca.us/schools/alternative/cds/index.asp	Orange Unified	2011.0	2.0
3569	http://coil.schoolwires.net/site/default.aspx?PageID=1	Fremont Unified	2013.0	7.0
3570	http://www.humboldt.k12.ca.us/sohumb_usd/school/index.html	SouthernHumboldt Unified School District	2000.0	10.0
3572	http://rivlib.info/idyllwild-library/	Idyllwild Library	2010.0	3.0
3575	http://www.rcpl.lib.ca.us/	Rancho Cucamonga Public Library	1997.0	92.0
3578	http://www.lake-coe.k12.ca.us	Lake County Office of Education	1997.0	297.0
3579	http://www.dalycity.org/Page41.aspx	Daly City Public Library	2010.0	1802.0
3580	http://innovationsacademy.org	San Diego Unified	2007.0	126.0
3581	http://www.business.ca.gov/	Business and Economic Development, Governors Office of	2009.0	143.0
3582	http://www.boe.ca.gov/	Equalization, Board of	1996.0	2427.0
3583	http://www.lausd.net/Harvard_EL/	Los Angeles Unified	2007.0	10.0
3584	http://jefferson.pasadenausd.org/	Pasadena Unified	2010.0	696.0
3585	http://www.gusd.k12.ca.us	Gilroy Unified	1996.0	12567.0
