NodeId	NodeURL	NodeName	Year	pages
12114	http://elsmere.delaware.gov/	Elsmere	2010.0	162.0
12115	http://campuscommunityschoo.fatcow.com/	CAMPUS COMMUNITY	0.0	1.0
12116	http://dcdalregistration.webs.com/	Delaware Center for  Distance Adult Learning	0.0	2.0
12117	http://harrington.delaware.gov	Harrington	2012.0	212.0
12118	http://www.reddingms.org/	Redding Middle	0.0	888.0
12119	http://www.maclaryes.org/	Maclary Elementary	0.0	514.0
12120	http://www.edline.net/pages/rcmarbrook	Marbrook Elementary	2010.0	11.0
12121	http://www.delawareworks.com/	Labor, Department of	2000.0	13.0
12122	http://electionssc.delaware.gov/	Elections, Department of, Sussex County	2007.0	30.0
12123	http://magnolia.delaware.gov/	Magnolia	2010.0	30.0
12124	http://courts.delaware.gov/cprb/	Child Placement Review Board, Delaware	2008.0	2.0
12126	http://www.brandywineschools.org/lancashire	Lancashire  Elementary	2012.0	3782.0
12127	http://www.nccvotech.com/	New Castle County Vo-Tech School District, Education	2003.0	308.0
12128	http://www.hodgsonde.com/	Hodgson High	2013.0	58.0
12129	http://www.pulaskies.org/	Pulaski Elementary	0.0	504.0
12130	http://www.destateparks.com/	Parks and Recreation, DNREC	1999.0	175.0
12131	https://www.dtcc.edu/our-campuses/georgetown	Owens Campus, Jack F., Del. Tech.	2012.0	26.0
12132	http://mca.milfordschooldistrict.org/	Milford Central Academy	0.0	755.0
12133	http://dge.delaware.gov/	Gaming Enforcement, Division of, Safety & Homeland Security	2010.0	13.0
12134	http://www.seafordde.com/	Seaford	1999.0	65.0
12135	http://www.edline.net/pages/sdsa	Southern Delaware School of the Arts	2010.0	15.0
12136	http://www.capehenlopenschools.com/education/dept/dept.php?sectionid=883	Little Vikings Learning Center	2010.0	3.0
12137	http://www.edline.net/pages/georgetown_elementary_school	Georgetown Elementary	2010.0	12.0
12138	http://www.apposchooldistrict.com/	District Office	0.0	911.0
12139	http://www.fairview.capital.k12.de.us	Fairview Elementary	2007.0	2.0
12140	http://ellendale.delaware.gov/	Ellendale	0.0	55.0
12141	http://www.seafordbluejays.org	District Office	0.0	565.0
12142	http://greenwood.delaware.gov/	Greenwood	2009.0	59.0
12143	http://www.clecc.org/	Cedar Lane Early Childhood Center	0.0	281.0
12145	http://libraries.delaware.gov/	Libraries, Division of, State	2012.0	17.0
12146	http://scpd.delaware.gov/	State Council for Persons with Disabilities, DSHS	0.0	20.0
12147	http://www.violade.com/	Viola	2004.0	11.0
12148	http://www.pms.cr.k12.de.us/	Postlethwait Middle	2007.0	1582.0
12149	http://www.dhss.delaware.gov/dhss/dsaapd/index.html	Aging and Adults with Physical Disabilities, DHSS	2005.0	290.0
12150	http://www.north.capital.k12.de.us	North Dover Elementary	2007.0	2.0
12151	http://www.townofslaughterbeach.com/	Slaughter Beach	2011.0	20.0
12152	http://southern.colonial.k12.de.us/	Southern  Elementary	2012.0	25.0
12153	http://dfm.delaware.gov/	Facilities Management, Management & Budget	2007.0	77.0
12154	http://www.brandywineschools.org/maple	Maple Lane Elementary	2012.0	3651.0
12155	http://wses.seafordbluejays.org	West Seaford Elementary	0.0	455.0
12156	http://www.brown.cr.k12.de.us/	Brown Elementary	2007.0	1606.0
12157	http://www.cabcallowayschool.org	Austin D. Baltz Elementary	2010.0	99.0
12158	http://archives.delaware.gov/	Archives, State	2007.0	148.0
12159	http://www.stubbses.org/	Stubbs Elementary	0.0	630.0
12161	http://www.smyrna.k12.de.us/	Smyrna School District, Education	0.0	94.0
12162	http://www.edline.net/pages/rccentral	The Central School	2011.0	45.0
12163	http://www.wsd.k12.de.us/	Woodbridge School District, Education	2001.0	46.0
12164	http://www.csdreachprogram.org	REACH Program	0.0	458.0
12165	http://www.sussexvt.k12.de.us/	Sussex Technical	1998.0	713.0
12166	http://me.milfordschooldistrict.org/	Morris Early Childhood Center	0.0	388.0
12167	http://www.wsd.k12.de.us/pwms/pwms.htm	Phillis Wheatley Middle	2008.0	0.0
