NodeId	NodeURL	NodeName	Year	pages
12599	http://www.balharbourgov.com/	Bal Harbour	2001.0	165.0
12600	http://www.sjcpls.org/content/bartram-trail-branch	Bartram Trail Branch Library	2008.0	663.0
12601	http://treasureisland.dadeschools.net/	Treasure Island Elementary School	2004.0	13.0
12602	http://www.juno-beach.fl.us/	Juno Beach	1999.0	977.0
12603	http://www.duvalschools.org/bartramsprings	Bartram Springs Elementary	2010.0	15748.0
12604	http://www.lenorabsmithelementary.com/	Lenora Braynon Smith Elementary	0.0	35.0
12605	http://schools.polk-fl.net/dsa/	Davenport School Of The Arts	2009.0	1.0
12606	http://wlre.dadeschools.net	Dr. Henry W. Mack/West Little River K-8 Center	2004.0	20.0
12607	http://www.duvalschools.org/rlbrown	Richard L. Brown Elementary School	2008.0	15851.0
12608	http://myvolusiaschools.org/school/hinsonmiddle/pages/default.aspx	David C Hinson Sr Middle School	2013.0	28.0
12609	http://www.edline.net/pages/golden_grove_elementary_school	Golden Grove Elementary School	2008.0	14.0
12610	http://www.ufl.edu/	University of Florida	1997.0	338.0
12612	http://www.fortmyerstech.edu/	Fort Myers Institute Of Technology	2012.0	157.0
12613	http://www.clay.k12.fl.us/les/	Lakeside Elementary School	0.0	10.0
12614	http://www.floridapsc.com	Public Service Comm.	2000.0	1146.0
12615	http://www.duvalschools.org/hsg	Hogan-Spring Glen Elementary School	2008.0	15687.0
12616	http://schools.polk-fl.net/wwe/	Wendell Watson Elementary School	2009.0	17.0
12617	http://www.pc.fsu.edu/	Florida State University: Panama City	1996.0	274.0
12618	http://www.sarasotacountyschools.net/schools/bayhaven/	Bay Haven School Of Basics Plus	2012.0	105.0
12619	http://www.palmbeach.k12.fl.us/boyntonbeachhs/	Boynton Beach Community High	2001.0	84.0
12620	http://banyan.dadeschools.net/	Banyan Elementary School	2002.0	1.0
12621	http://wakulla.crawfordville.schooldesk.net/	Crawfordville Elementary School	2013.0	240.0
12622	http://nkc.dadeschools.net/	Neva King Cooper Educational Center	2002.0	6.0
12623	http://www.duvalschools.org/henrykite	Henry F. Kite Elementary School	2008.0	15769.0
12624	http://ojus.dadeschools.net/	Ojus Elementary School	2002.0	1271.0
12625	http://myvolusiaschools.org/Pages/default.aspx	Volusia County Superintendent's Office	2012.0	111.0
12626	http://www.pp-es.pinellas.k12.fl.us	Pinellas Park Elementary School	2004.0	2.0
12627	http://www.highlands.k12.fl.us/~snl/	Sun 'n Lake Elementary School	2001.0	27.0
12628	http://www.madisoncountyfl.com/	Madison County	2007.0	168.0
12631	http://www.bartowhighschool.com/	Bartow Senior High School	2003.0	669.0
12632	http://www.edline.net/pages/everglades_elementary	Everglades Elementary	2010.0	14.0
12633	http://drawithme.com/index.php?B=5487	Eastern Florida State College  Melbourne Campus	0.0	1.0
12635	https://www.oasiselementaryschool.net/	Oasis Charter Elementary School	2012.0	94.0
12637	http://www.edline.net/pages/grassy_waters_elementaryschool	Grassy Waters Elementary School	2010.0	19.0
12638	http://miamibeachhigh.schoolwires.com/site/default.aspx?PageID=1	Miami Beach Senior High School	2013.0	25.0
12639	http://cre.dade.k12.fl.us/	Cutler Ridge Elementary School	1998.0	2.0
12640	http://www.centralridgeelementary.org	Central Ridge Elementary School	2008.0	8.0
12642	http://www.fortwhitehighschool.org/	Fort White High School	2003.0	176.0
12643	http://www.seacoastcharteracademy.org	Seacoast Charter Academy	2011.0	613.0
12644	http://www.crystal-river.com/	Crystal River	1998.0	6.0
12645	http://www.lighthousepoint.com/	Lighthouse Point	1997.0	25.0
12646	http://www.edline.net/pages/discovery_key_elementary	Discovery Key Elementary School	2010.0	18.0
12647	http://lake.k12.fl.us/les	Leesburg Elementary School	2012.0	4065.0
12649	http://schools.stlucie.k12.fl.us/lpa/	Lincoln Park Academy	2012.0	58.0
12650	http://www.volusia.org/	Volusia County	1997.0	1484.0
12651	http://www.edline.net/pages/Palm_Bay_Elementary_School	Palm Bay Elementary School	2010.0	455.0
12652	http://avonpark.cc/	Avon Park	2001.0	136.0
12653	http://nmiamid.dadeschools.net/	North Miami Middle School	2002.0	22.0
12654	http://lake.k12.fl.us/ems	Eustis Middle School	2012.0	10083.0
12656	http://littlecarver.dadeschools.net	George W. Carver Elementary School	2003.0	14.0
12659	http://www.omnimiddle.org	Omni Middle School	2000.0	9.0
12660	http://schools.polk-fl.net/jessekeenelementary/	Jesse Keen Elementary School	2008.0	8.0
12661	http://aearhart.dadeschools.net/	Amelia Earhart Elementary School	2002.0	1.0
12663	http://znhurston.dadeschools.net/	Zora Neale Hurston Elementary School	2003.0	5.0
12664	http://myvolusiaschools.org/school/tomoka/pages/default.aspx	Tomoka Elementary School	0.0	25.0
12665	http://www.fscj.edu/campus-life/campuses-centers/north-campus/	Florida State College at Jacksonville  North Campus	2014.0	6.0
12666	http://www.flaglercounty.org	Flagler County Public Library	1999.0	1528.0
12667	http://www.pacecenter.org/centers/volusia-flagler	Pace Center For Girls	2013.0	778.0
12668	http://www.largo.com/	Largo	1996.0	2350.0
12669	http://www.connectionsacademy.com/home.aspx	Nassau Virtual Instruction Program	2009.0	2198.0
12670	http://www.ci.miramar.fl.us/	Miramar	2001.0	256.0
12671	http://www.edline.net/pages/glade_view_elementary_school	Glade View Elementary School	2011.0	18.0
12672	http://www.aandm.net	South Dade Educational Center	0.0	629.0
12673	http://www.charterschool.com	Charter School Of Excellence At Davie	1998.0	23.0
12675	http://www-hce.stjohns.k12.fl.us/	Hickory Creek Elementary School	2006.0	36.0
12676	http://www.edline.net/pages/Apollo_Elementary_School/	Apollo Elementary School	2013.0	87.0
12677	http://lake.k12.fl.us/mms	Mt. Dora Middle School	2012.0	2992.0
12678	http://www.edline.net/pages/northboro_elementary_school	Northboro Elementary School	2010.0	14.0
12679	http://myfwc.com	Fish & Wildlife Conserv.	2002.0	4011.0
12680	http://mnorland.dadeschools.net/	Miami Norland Senior High School	2002.0	544.0
12681	http://schools.polk-fl.net/crystallakeelementary/	Crystal Lake Elementary School	2010.0	21.0
12682	http://aleeacademy.org/script-page.php?page=welcome	Alee Academy Charter School	2014.0	62.0
12684	http://www.flalottery.com	Lottery	1996.0	353.0
12685	http://www.seminolecountyfl.gov/	Seminole County	2004.0	1032.0
12688	http://www.edline.net/pages/hcsb_wes	Westside Elementary School	2010.0	87.0
12689	http://www.keyscharter.org/	Keys Gate Charter School	2001.0	13.0
12691	http://mgrove.dadeschools.net/	Myrtle Grove K-8 Center	2003.0	8.0
12692	http://www.cityofnsb.com/	New Smyrna Beach	2002.0	792.0
12693	http://www.sfcollege.edu/centers/blount/	Santa Fe College  Charles L. Blount Downtown Center	2011.0	7.0
12694	http://hendry-schools.org/education/school/school.php?sectionid=10&sc_id=1171294169	Central Elementary School	2005.0	4.0
12695	http://lake.k12.fl.us/oms	Oak Park Middle School	2012.0	11902.0
12696	http://www.fkcc.edu/	Florida Keys Community College  Middle Keys Center	2004.0	398.0
12697	http://mms.jcsb.org	Marianna Middle School	2011.0	25.0
12698	http://www.sarasota.k12.fl.us/suncoast/	Sarasota Suncoast Academy	2005.0	40.0
12699	http://www.columbia.k12.fl.us/pinemount/	Pinemount Elementary School	2011.0	20.0
12700	http://www.stluciecharter.org	Renaissance Charter School Of St. Lucie	2009.0	11.0
12701	http://www.baker.k12.fl.us	Baker Virtual Instruction Program (district Provided)	2002.0	397.0
12702	http://www.cityofparkland.org	Parkland Library	2003.0	926.0
12703	http://www.swflymca.org/locations/sky-academy/sky-academy-where-success-has-no-boundaries-a-tuition-free-public-charter-school/	Sky Academy	2013.0	2.0
12705	http://wiltonmanors.com/index.aspx?NID=168	Richard C. Sullivan Public Library Of Wilton Manors	2013.0	500.0
12706	http://www.leadershipacademywest.org	Leadership Academy West	2007.0	14.0
12707	http://www.plantcitygov.com/	Plant City	2001.0	709.0
12708	http://www.walsingham-es.pinellas.k12.fl.us	Walsingham Elementary School	2001.0	2.0
12709	http://www.wiltonmanors.com/	Wilton Manors	1998.0	486.0
12713	http://www.brevardcounty.us/publiclibraries/branches/merrittisland/home	Merritt Island Public Library	2012.0	9.0
12714	http://fwb.org/	Ft. Walton Beach	1998.0	786.0
12715	http://www.edline.net/pages/rosenwald_elementary_school	Rosenwald Elementary School	2013.0	10.0
12716	http://schools.polk-fl.net/dixieland/	Dixieland Elementary School	2010.0	12.0
12717	http://mse.dadeschools.net/	Miami Springs Elementary School	2003.0	16.0
12718	http://www.walton.k12.fl.us/	Walton County Superintendent's Office	1998.0	1045.0
12719	http://mes.putnamschools.org/	Melrose Elementary School	2005.0	35.0
12720	http://www.ci.dania-beach.fl.us/	Dania Beach	1999.0	1097.0
12721	http://it.pinellas.k12.fl.us/schools/dropout-prevent/	Dropout Prevention School	2005.0	10.0
12723	http://www.duvalcharterhigh.org	Duval Charter High School At Baymeadows	2011.0	11.0
12724	http://www.duvalschools.org/spe	Sabal Palm Elementary School	2008.0	14339.0
12725	http://www.einsteinmontessori.com/	Einstein Montessori School	2003.0	1.0
12726	http://www.unf.edu	University of North Florida	1997.0	6588.0
12729	http://it.pinellas.k12.fl.us/schools/dropout-prevent/juveniledetention.html	Pinellas Juvenile Det Center	2005.0	10.0
12730	http://flamingo.dadeschools.net/	Flamingo Elementary School	2003.0	56.0
12731	http://myvolusiaschools.org/school/campbell/pages/default.aspx	Campbell Middle School	0.0	24.0
12734	http://jpl.coj.net/lib/branches/wst.html	West Regional Library	2007.0	26.0
12735	http://www.discoveryacademy.org/	Discovery Academy Of Lake Alfred	2002.0	51.0
12736	http://www.caec.pinellas.k12.fl.us	Clearwater Adult Education Center	2001.0	7.0
12737	http://www.polk-fl.net/gardengrove	Garden Grove Elementary School	2003.0	11.0
12739	http://it.pinellas.k12.fl.us/schools/homebound/	Hospital/Homebound	2003.0	12.0
12740	http://www.duvalschools.org/scea	Saint Clair Evans Academy	2008.0	14347.0
12741	http://www.nwrls.lib.fl.us	Northwest Regional Library System	1998.0	116.0
12742	http://stirrupelementary.dadeschools.net	E.W.F. Stirrup Elementary School	2006.0	54.0
12743	http://madisonmiddle.dadeschools.net/	Madison Middle School	2002.0	5.0
12744	http://www.edline.net/pages/cypress_trails_es	Cypress Trails Elementary School	2010.0	18.0
12746	http://scottlake.dadeschools.net/	Scott Lake Elementary School	2003.0	32.0
12748	http://floridayouthchallengeacademy.org/	Florida Youth Challenge Academy	2013.0	51.0
12752	http://www.brevardcounty.us/publiclibraries/branches/cocoabeach/home	Cocoa Beach Public Library	2012.0	10.0
12754	http://lsms.dadeschools.net/	Lake Stevens Middle School	2002.0	13.0
12755	http://www.columbia.k12.fl.us/columbiacity/index.html	Columbia City Elementary School	2004.0	12.0
12757	http://www.nfcc.edu/	North Florida Community College  Main Campus	2002.0	428.0
12758	http://www.polk-fl.net/padgett	Edgar L. Padgett Elementary	2004.0	8.0
12759	http://oaklandparkfl.org/index.cfm	Oakland Park	2010.0	205.0
12760	http://schools.polk-fl.net/winston/	Winston Elementary School	2009.0	12.0
12761	http://www.myflorida.com/	State Portal	2000.0	184.0
12765	http://fulford.dadeschools.net/	Fulford Elementary School	2004.0	4.0
12768	http://www.hdsb.org/	Holmes County Superintendent's Office	2005.0	245.0
12769	http://www.ci.gulfport.fl.us/	Gulfport	1999.0	168.0
12770	http://schools.polk-fl.net/bdoc/	Bill Duncan Opportunity Center	2010.0	17.0
12771	http://www.staugustinegovernment.com/	St. Augustine	2002.0	90.0
12772	http://www.myfloridalicense.com/dbpr/	Business & Profess. Reg.	2008.0	524.0
12773	http://www.desotoschools.com/	Desoto County Superintendent's Office	1999.0	507.0
12774	http://www.swfpsa.org	Southwest Florida Public Service Academy	2008.0	86.0
12775	http://www.sarasotacountyschools.net/schools/emmaebooker/	Emma E. Booker Elementary School	2011.0	92.0
12776	https://www.pcsb.org/	Pinellas County Superintendent's Office	2001.0	14.0
12777	http://www.platoacademy.net/web/guest/seminole	Plato Seminole	2011.0	11.0
12778	http://dor.myflorida.com/dor/	Revenue	2006.0	1473.0
12779	http://www.clayvirtual.net	Clay Virtual Instruction Program	2011.0	26.0
12782	http://www.palmbeach.k12.fl.us/pahokeemiddlesrhigh/	Pahokee Middle-Senior High	2000.0	17.0
12783	http://www.edline.net/pages/berkshire_elementary_school	Berkshire Elementary School	2010.0	14.0
12785	http://schools.stlucie.k12.fl.us/dcs//	Dale Cassens Education Complex	2012.0	40.0
12787	http://www.childrenfirst.net	Children First	2000.0	15.0
12788	http://virtualschool.pcsb.org	Pinellas Virtual Instruction (course Offerings)	2009.0	52.0
12789	http://pwbell.dadeschools.net/	Bunche Park Elementary School	2002.0	17.0
12790	http://www.curtis-es.pinellas.k12.fl.us	Curtis Fundamental Elementary	2002.0	2.0
12792	http://www.sbafla.com/	Board of Administration	2003.0	166.0
12793	http://www-mce.stjohns.k12.fl.us/	Mill Creek Elementary School	1999.0	34.0
12794	http://palmettomiddleschool.org/	Palmetto Middle School	0.0	528.0
12795	http://www.edison.edu/collier/	Edison State College  Collier County Campus	2005.0	18.0
12796	http://ses.dadeschools.net/	Shenandoah Elementary School	2001.0	31.0
12797	http://crdrew.dadeschools.net/	Charles R. Drew Middle School	2004.0	6.0
12800	http://www.bocc.citrus.fl.us/	Citrus County	2000.0	327.0
12803	http://tcplreads.com	Taylor County Public Library	2009.0	9.0
12804	http://www.colpsc.com/	Chain Of Lakes Collegiate High	2010.0	1.0
12805	http://www.coe.fau.edu/schoolandk12programs/	Florida Atlantic University Schools County Superintendent's Office	2011.0	28.0
12806	http://www.mysuwanneeriver.com/	Suwannee River	2001.0	573.0
12807	http://web.miamibeachfl.gov/	Miami Beach	2007.0	1302.0
12808	http://www.dhaec.pinellas.k12.fl.us	Dixie Hollins Adult Education Center	2002.0	13264.0
12809	http://www.southtechacademy.com	South Tech Academy	2006.0	6.0
12810	http://www.westernacademycharter.com	Western Academy Charter School	2006.0	366.0
12811	http://www.newpointschools.org	Newpoint Bay Charter High School	2008.0	16.0
12812	http://schools.polk-fl.net/sandhill/	Sandhill Elementary School	2009.0	13.0
12813	http://www.delraylibrary.org	Delray Beach Library	1998.0	132.0
12814	http://schools.polk-fl.net/ee/	Eastside Elementary School	2009.0	11.0
12815	http://www.myfloridahouse.gov	Florida House of Representatives	2003.0	1282.0
12816	http://joehall.dadeschools.net	Joe Hall Elementary School	2002.0	18.0
12817	http://www.wildernesscoast.org	Wilderness Coast Public Libraries	2001.0	16.0
12818	http://myvolusiaschools.org/school/southdaytona/pages/default.aspx	South Daytona Elementary School	2013.0	22.0
12820	http://www.edline.net/pages/seminole_ridge_community_hs	Seminole Ridge Community High School	2011.0	18.0
12821	http://fcmartin.dadeschools.net/	Frank Crawford Martin K-8 Center	2002.0	26.0
12822	http://dma.myflorida.com/	Military Affairs	2010.0	128.0
12823	http://price.putnamschools.org/	C. H. Price Middle School	2005.0	187.0
12825	http://www.myquincy.net/i/	Quincy	2013.0	221.0
12827	http://myvolusiaschools.org/school/champion/pages/default.aspx	Champion Elementary School	0.0	24.0
12828	http://schools.polk-fl.net/highland%5Fcity/	Highland City Elementary School	2008.0	10.0
12829	http://www-pbm.stjohns.k12.fl.us	Pacetti Bay Middle School	2007.0	48.0
12830	http://www.cityofsebastian.org/	Sebastian	1998.0	793.0
12831	http://www.gatewaycharterhigh.org	Gateway Charter High School	2004.0	12.0
12832	http://www.windsorprep.org	Windsor Charter School	2012.0	99.0
12833	http://www.cflacademy.org	Central Florida Leadership Academy Charter	2010.0	15.0
12834	http://www.ci.zephyrhills.fl.us/	Zephyrhills	2003.0	674.0
12835	http://www.sfcollege.edu/centers/davis/	Santa Fe College  Davis Center	2011.0	7.0
12836	http://www.duvalschools.org/alimacani	Alimacani Elementary School	2007.0	14363.0
12837	http://www.miamikillianhs.com/	Miami Killian Senior High School	0.0	1517.0
12838	http://www.brevardcounty.us/publiclibraries/branches/eaugallie/home	Eau Gallie Public Library	2012.0	12.0
12839	http://www.advantageacademyhillsborough.com	Advantage Academy Middle School	2009.0	12.0
12840	http://www.cityofrockledge.org/	Rockledge	2000.0	573.0
12841	http://daytonabeach.erau.edu/	Embry Riddle Aeronautical University	2009.0	410.0
12843	http://schools.polk-fl.net/combeeel/	Combee Elementary School	2009.0	8.0
12845	http://www.gulfcoast.edu/maps/default.htm	Gulf Coast State College  Panama City Campus	2008.0	2.0
12846	http://www.duvalschools.org/rhpearson	Rutledge H. Pearson Elementary School	2009.0	14355.0
12847	http://www.fcsw.net/	Commission on the Status of Women	2002.0	45.0
12848	http://cyh.leeschools.net/	Cypress Lake High School	2008.0	1.0
12849	http://www.ut.edu/	University of Tampa	1997.0	2970.0
12850	http://mcbe.dadeschools.net	Dr. Manuel C. Barreiro Elementary School	2008.0	15.0
12851	http://schools.polk-fl.net/boonemiddle/	Shelley S. Boone Middle School	2009.0	373.0
12852	http://www.edline.net/pages/equestrian_trails_elementary	Equestrian Trails Elementary	2010.0	11.0
12853	http://www.flsenate.gov	Florida Senate	2008.0	3712.0
12854	http://www.duvalschools.org/mhs	Mandarin High School	2008.0	16076.0
12855	http://gglades.dadeschools.net/	Golden Glades Elementary School	2004.0	27.0
12856	http://www.taylor.k12.fl.us/schools/pre-k/	Child Development Center	2002.0	8.0
12857	http://dlk8.dadeschools.net	David Lawrence Jr. K-8 Center	2006.0	1.0
12858	http://www.sosjax.org	School Of Success Academy-Sos	2003.0	3.0
12859	http://schools.polk-fl.net/medulla/	Medulla Elementary School	2008.0	13.0
12861	http://www.edline.net/pages/ocms	Osceola Creek Middle School	2010.0	14.0
