NodeId	NodeURL	NodeName	Year	pages
15444	http://www.jekyllisland.com/jekyll-island-authority/	Jekyll Island Authority	2013.0	5.0
15445	http://www.dawsoncountyschools.org	Dawson County School District	2007.0	544.0
15447	http://www.wayne.k12.ga.us/jesup.cfm?subpage=193461	Jesup Elementary School	0.0	1448.0
15448	http://www.gradycountyga.gov	Grady County	2006.0	58.0
15449	http://www.thclibrary.net	Troup-Harris Regional Library	2001.0	1.0
15450	http://www.cityofguyton.com	Guyton	2008.0	184.0
15452	http://www.clinchcounty.com/	Clinch County	2000.0	69.0
15454	http://www.daltonpublicschools.com	Dalton City School District	2004.0	37.0
15455	http://www.daltonpublicschools.com/brookwood.cfm	Brookwood Elementary School	2005.0	38.0
15456	http://www.gordonstate.edu/	Gordon State College	2012.0	1003.0
15457	http://powersferry.weebly.com/	Powers Ferry Elementary School	2012.0	170.0
15458	http://www.bainbridgecity.com	Bainbridge	2002.0	3593.0
15459	http://sces.sumterschools.org	Sumter County Elementary School	2007.0	88.0
15460	http://www.gavirtualschool.org/	Georgia Virtual School School District	2005.0	49.0
15461	http://www.daltonpublicschools.com/daltonmiddle.cfm	Dalton Middle School	2006.0	38.0
15462	http://spalding.k12.ga.us/cowan/default.htm	Cowan Road Elementary School	1999.0	259.0
15463	http://www.cityofspringfield.com	Springfield	2000.0	21.0
15464	http://www.miller.k12.ga.us	Miller County Elementary School	2001.0	195.0
15465	http://www.crispcounty.com	Crisp County	2003.0	15.0
15466	http://www.sehdph.org	Southeast Health District	2006.0	102.0
15468	http://www.toombs.k12.ga.us	Toombs County School District	2001.0	102.0
15470	http://www.cobbk12.org/daniell/	Daniell Middle School	2009.0	18.0
15472	http://www.morgan.k12.ga.us/mchs	Morgan County High School	2001.0	344.0
15473	http://www.parrottga.com/	Parrott	2001.0	23.0
15477	http://www.dds.ga.gov/	Georgia Department of Driver Services	2005.0	259.0
15478	http://www.stonemountainpark.org/	Stone Mountain Memorial Association	1996.0	47.0
15479	http://www.cityoftybee.org	Tybee Island	2000.0	166.0
15480	http://www.stewart.k12.ga.us	Stewart County Elementary School	2003.0	72.0
15481	http://www.pickens.k12.ga.us	Pickens County School District	2001.0	65.0
15482	http://www.cobbk12.org/campbellms/	Campbell Middle School	2009.0	14.0
