NodeId	NodeURL	NodeName	Year	pages
16922	http://konawaenael.k12.hi.us/	Konawaena El School	2012.0	25.0
16924	http://www.kaumualii.k12.hi.us/king.html	Kaumualii El School	2000.0	173.0
16925	http://naalehuel.k12.hi.us	Naalehu El School	1997.0	16.0
16926	http://macsa.k12.hi.us/index.html	MCSA-Moanalua Campus School	2009.0	23.0
16928	http://kealakeheint.k12.hi.us/	Kealakehe Int School	2005.0	0.0
16930	http://kapalamael.k12.hi.us	Kapalama El School	2011.0	10.0
16931	http://www.hawaiipublicschools.org/Pages/home.aspx	Education (DOE), Department of	2013.0	501.0
16933	http://www.milmauka.k12.hi.us	Mililani Mauka El School	2011.0	43.0
16934	http://www.kawaihonapcs.org/	Ka Waihona o ka Na'auao NCPCS School	2004.0	549.0
16935	http://kailuahs.k12.hi.us	Kailua High School	1997.0	56.0
16936	http://ag.hawaii.gov	Attorney General (AG), Department of	2013.0	425.0
16938	http://www.nuuanu.k12.hi.us/	Nuuanu El School	1998.0	43.0
16940	https://sites.google.com/a/washingtonms.k12.hi.us/washington-middle-school-2/	Washington Middle School	0.0	64.0
16941	http://waikoloa.k12.hi.us	Waikoloa El & Middle School	1996.0	0.0
16942	http://www.moanaluamiddle.org/	Moanalua Middle School	2009.0	681.0
16943	http://www.desilva.k12.hi.us	de Silva El School	2013.0	39.0
16944	http://www.keoneulaes.org/	Keoneula El School	2011.0	661.0
16945	http://www.nanaikapono.k12.hi.us	Nanaikapono El School	2007.0	488.0
16946	http://www.king.k12.hi.us	King Int School	2011.0	42.0
16947	http://manoa.hawaii.edu/	University of Hawaii at Manoa	2003.0	2702.0
16948	http://paloloelementary.k12.hi.us	Palolo El School	2012.0	43.0
16949	http://health.hawaii.gov	Health (DOH), Department of	2013.0	962.0
16951	http://www.kaleiopuuel.com/	Kaleiopuu El School	2014.0	372.0
16952	http://www.keaukaha.k12.hi.us	Keaukaha El School	2009.0	51.0
16953	http://www.leeward.hawaii.edu/	Leeward Community College	2002.0	739.0
16954	http://www.milwaena.k12.hi.us	Mililani Waena El School	2011.0	692.0
16955	http://www.hawaiicounty.gov	Attached Agencies	2011.0	215.0
16956	http://www.waikele.k12.hi.us	Waikele El School	2000.0	28.0
16957	http://www.mckinley.k12.hi.us	McKinley High School	1997.0	43.0
16959	http://www.kaumeke.org/	Ka 'Umeke Ka'eo PCS School	2008.0	9.0
16960	http://www.hawaii.hawaii.edu/	Hawaii Community College	2003.0	48.0
16962	http://aikahi.net	Aikahi El School	2006.0	48.0
16963	http://mokapu.k12.hi.us	Mokapu El School	2009.0	659.0
16964	http://www.co.maui.hi.us/	County of Maui	2000.0	2432.0
16965	http://pomaikai.k12.hi.us	Pomaikai El School	2010.0	20.0
16966	http://www.waimeaelementary.k12.hi.us/index.html/	Waimea El School	2013.0	18.0
16968	http://kalanianaole.k12.hi.us	Kalanianaole El & Int School	2011.0	3.0
16969	http://www.aieahs.org/	Aiea High School	2008.0	1177.0
16970	http://mes.k12.hi.us	Maunawili El School	2011.0	2.0
