NodeId	NodeURL	NodeName	Year	pages
21931	http://eastunionschools.org	East Union Middle-High School	2010.0	1.0
21932	http://www.councilbluffs-ia.gov/	Council Bluffs	2003.0	608.0
21933	http://manillaia.com/	Manilla	2000.0	38.0
21935	http://www.marionpubliclibrary.org	Marion Public Library	2008.0	1585.0
21937	http://www.swcciowa.edu/	Southwestern Community College	2004.0	937.0
21938	http://www.icgov.org/	Iowa City	2001.0	1232.0
21939	http://www.fmtabor.org/	Fremont-Mills Middle And Senior High School	2010.0	465.0
21940	http://www.waterloo.k12.ia.us/	Expo Alternative Learning Center	1998.0	1866.0
21942	http://sblschools.com	Sergeant Bluff-Luton Senior High School	2011.0	73.0
21945	http://nlcsd.org	New London Jr-Sr High School	2011.0	4.0
21946	http://www.belleplaine.lib.ia.us	Belle Plaine Community Library	2007.0	1021.0
21949	http://www.ialottery.com/default1.asp	IOWA LOTTERY AUTHORITY	2007.0	807.0
21951	http://www.iowaschoolforthedeaf.org/	IOWA School for the Deaf	2007.0	38.0
21952	http://www.oskaloosaiowa.org/	Oskaloosa	2001.0	321.0
21953	http://www.hornmemorialhospital.org/getpage.php?name=index	Horn Memorial Hospital	2011.0	221.0
21954	http://sheldon.k12.ia.us	Sheldon School District	1997.0	106.0
21958	http://mail.ms.maquoketa.k12.ia.us	Maquoketa Community High School	0.0	147.0
21959	http://www.state.ia.us/ibpe/	PHARMACY BOARD	2000.0	73.0
21960	http://www.slaterlibrary.org	Slater Public Library	2006.0	29.0
21961	http://www.iowaeconomicdevelopment.com/	IOWA ECONOMIC DEVELOPMENT AUTHORITY	2013.0	249.0
21965	http://www.dom.state.ia.us/	MANAGEMENT, DEPARTMENT OF	2002.0	81.0
21967	http://www.indianhills.edu/	Indian Hills Community College	2005.0	246.0
21968	http://www.das.iowa.gov/	ADMINISTRATIVE SERVICES DEPARTMENT OF	2003.0	18.0
21969	http://indianola.k12.ia.us	Whittier Elementary School	2000.0	402.0
21970	http://moc-fv.k12.ia.us	MOC-Floyd Valley School District	1998.0	909.0
21971	http://www.bloomfield.lib.ia.us	Bloomfield Public Library	2008.0	104.0
21972	http://rolfeiowa.com/	Rolfe	2002.0	2091.0
21973	http://dia.iowa.gov/page17.html	EMPLOYMENT APPEAL BOARD	2008.0	31.0
21974	http://www.postville.k12.ia.us/	Cora B Darling Elementary/Middle School	1998.0	416.0
21975	http://mstm.us	Martensdale-St Marys Jr-Sr High School	2009.0	130.0
21978	http://wiltoncsd.org	Wilton Jr-Sr High School	2004.0	50.0
21980	http://www.ci.davenport.ia.us/	Davenport	1998.0	1470.0
21981	https://www.waukeeschools.org/	Waukee Senior High School	2011.0	964.0
21982	http://www.greenbelthomecare.com	Greenbelt Home Care	2001.0	38.0
21986	http://www.iowaworkforce.org/	Iowa Workforce Development	1999.0	1406.0
21987	http://www.lisboniowa.com/	Lisbon	1998.0	8.0
21988	http://ivh.iowa.gov/	Iowa Veterans Home	2007.0	170.0
21990	http://commerce.iowa.gov/	COMMERCE, DEPARTMENT OF	2012.0	3.0
21991	http://www.winneshiekhealth.org	Winneshiek County Public Health Nursing Service	2006.0	12.0
21992	http://stantonschools.com	Stanton Elementary School	2005.0	308.0
21993	http://www.netwtc.net/~wplstaff/	Wilton Public Library	2008.0	1.0
21994	http://www.iowa-valley.k12.ia.us/	Iowa Valley Jr-Sr High School	1998.0	36.0
21995	http://www.iowaeconomicdevelopment.com/BusinessDev/WorkforceTraining	IDED: Iowa The SmartCareer Move	2013.0	10.0
21996	http://www.dhs.state.ia.us/	Department of Human Services	1998.0	939.0
21997	http://www.newtongov.org/	Newton	2001.0	699.0
21998	http://www.state.ia.us/government/dia/index.html	Department of Inspections and Appeals	1996.0	27.0
21999	http://www.ottumwaschools.com/index.cfm	Horace Mann Elementary School	2008.0	2217.0
22000	http://www.comm1net.net/~corlib/	Corwith Public Library	2011.0	2.0
22002	http://www.ci.humboldt.ia.us/	Humboldt	2000.0	40.0
22004	http://www.iowa.gov/ethics/	ETHICS AND CAMPAIGN DISCLOSURE BOARD	2006.0	622.0
22005	http://www.atlantic.lib.ia.us	Atlantic Public Library	2001.0	24.0
22008	http://www.sicog.com/	Southern Iowa Council of Governments	2001.0	113.0
22010	http://www.doc.state.ia.us/	CORRECTIONS, DEPARTMENT OF	2000.0	41.0
22012	http://www.indianolaiowa.gov/departments/library.aspx	Indianola Public Library	2011.0	508.0
22013	http://www.oskaloosa.k12.ia.us/	Oskaloosa Elementary School	2000.0	341.0
22015	http://www.underwoodia.com/	Underwood	2001.0	56.0
22016	http://ruthven.k12.ia.us	Ruthven-Ayrshire Elementary School	1998.0	166.0
22017	http://showcase.netins.net/web/wregiememlib/	Wregie Memorial Library	2000.0	0.0
22019	http://cbcsd.org	Lewis & Clark Elementary School	2001.0	1005.0
22022	http://www.griswoldschools.org/	Griswold Middle/High School	2010.0	22.0
22024	http://www.iowa-braille.k12.ia.us/	IOWA Braille K12	1998.0	602.0
22025	http://www.mapleton.com/	Mapleton	1998.0	27.0
22027	http://www.butlercoiowa.org	Butler County Public Health	2001.0	252.0
22030	http://www.siouxcitylibrary.org	Sioux City Public Library	2001.0	300.0
