NodeId	NodeURL	NodeName	Year	pages
17256	http://templeview.d91.k12.id.us/	Temple View Elementary School	2013.0	4.0
17258	http://marianpritchett.school.boiseschools.org	Marian Pritchett High School	2013.0	165.0
17260	http://adminrules.idaho.gov/	Administrative Rules Coordinator, Office of the	2012.0	2213.0
17261	http://adm.idaho.gov	Administration, Department of	2005.0	19.0
17262	http://www.cariboucounty.us/	Caribou County	2013.0	43.0
17263	http://www.idahohumanities.org/	Humanities Council	2001.0	236.0
17265	https://sites.google.com/a/cassiaschools.org/white-pine/	White Pine Elementary School	2014.0	23.0
17266	http://www.midvalerangers.org/	Midvale School District #433	2001.0	84.0
17267	https://sites.google.com/a/cloud.ifschools.org/sunnysideelementary/home	Sunnyside Elementary School	2014.0	23.0
17268	http://notus.lili.org/	Notus Public	2007.0	41.0
17269	https://sites.google.com/a/cassiaschools.org/raft-river-jr-sr-high-school/	Raft River High School	2014.0	83.0
17270	http://sfhscougars.com/home.html	South Fremont High School	2011.0	32.0
17271	http://www.jeromeschools.org/	Jerome School District #261	2011.0	500.0
17272	http://www.co.jefferson.id.us/	Jefferson County	1999.0	23.0
17274	http://www.sd244.org/education/school/school.php?sectionid=2040&linkid=nav-menu-container-1-13768	Elk City School	2011.0	17.0
17275	http://mccall.lili.org/	Mccall Public	2007.0	48.0
17276	http://franklinidaho.org	Franklin	2004.0	8.0
17278	https://sites.google.com/a/d59.k12.id.us/firth-sites-2/	Firth Middle School	2014.0	63.0
17279	http://ririelibrary.com	Ririe Public	2013.0	27.0
17280	http://www.boundarycountyid.org/	Boundary County	2005.0	49.0
17281	http://lavahotsprings.com	Lava Hot Springs Foundation	1998.0	51.0
17282	http://osburn.lili.org	Osburn Public	2007.0	48.0
17283	http://www.boisepubliclibrary.org	Boise Public	2000.0	119.0
17284	http://www.meridianschools.org/discovery/pages/discoveryelementary.aspx	Discovery Elementary School	2011.0	1.0
17285	http://blsd.net/blsd/blhsnews.htm	Bear Lake High School	2014.0	34.0
17286	http://www.d181.k12.id.us/site/default.aspx?pageid=401	Challis Elementary School	2014.0	10.0
17287	http://www.pierce-weippechamber.com	Pierce  Chamber of Commerce	2008.0	15.0
17289	http://www.legislature.idaho.gov/	State Legislature	2004.0	45.0
17290	http://www.co.madison.id.us/	Madison County	2000.0	111.0
17291	http://tsd401.org/index.php?option=com_content&view=article&id=151&itemid=157	Rendezvous Upper Elementary	0.0	291.0
17292	http://labor.idaho.gov/dnn/(X(1)S(cctbr0jnbdvg2bep3kpzyc55))/Default.aspx?alias=labor.idaho.gov/dnn/idl	Labor, Department of	0.0	2.0
17293	http://www.mdsd.org/default.aspx?tabid=64	Payette Lakes Middle School	2009.0	299.0
17294	http://www.mdsd.org/default.aspx?tabid=65	McCall Donnelly High School	2009.0	336.0
17295	http://www.ci.jerome.id.us/city-government/library.html	Jerome Public	2011.0	129.0
17296	http://ha.tfsd.org/	Harrison Elementary School	2010.0	130.0
17297	http://ibol.idaho.gov/ibol/home.aspx	Occupational Licenses,  Idaho Bureau of	0.0	3194.0
17298	http://www.pocatello.us	Pocatello	2003.0	181.0
17299	http://lewisville.lili.org	Lewisville Public	2009.0	30.0
17300	https://sites.google.com/a/sd215.net/sfjhs/	South Fremont Junior High School	2011.0	30.0
17301	http://bfhs-bcsd-id.schoolloop.com/cms/page_view?d=x&piid=&vpid=1269552454150&no_controls=t	Bonners Ferry High School	0.0	5352.0
17302	http://prairieriver.lili.org/kooskia	Prairie-River District - Kooskia	2008.0	47.0
17303	http://sd92.k12.id.us/	Swan Valley School District #92	2001.0	30.0
17304	http://lapwaidistrict.org/	Lapwai School District #341	2011.0	40.0
17305	http://bean.idaho.gov	Bean Commission, Idaho	2011.0	22.0
17306	http://www.kimberly.edu/index.php/middle-school.html	Kimberly Middle School	2013.0	884.0
17307	http://georgetown.id.gov/	Georgetown	2009.0	279.0
17308	http://www.d91.k12.id.us/	Idaho Falls School District #91	1996.0	884.0
17309	http://www.emmett-hs.groupfusion.net/	Emmett High School	2006.0	1.0
17310	http://monroe.school.boiseschools.org	Monroe Elementary School	2012.0	145.0
17311	http://parole.idaho.gov/	Pardons and Parole, Commission of	2012.0	174.0
17312	http://whittier.school.boiseschools.org	Whittier Elementary School	2012.0	315.0
17313	http://www.sd381.k12.id.us/william-thomas-middle-school	William Thomas Middle School	2013.0	13.0
17314	http://post.idaho.gov/	Peace Officer Standards and Training (POST)	2011.0	155.0
17315	http://blsd.net/blsd/pesnews.htm	Paris Elementary School	2014.0	34.0
17316	https://www.accessidaho.org/ai/payport/online/lso/index.html	Gift Shop, Capitol	2011.0	60.0
17317	http://www.meridianschools.org/eaglehigh/pages/eaglehighschool.aspx	Eagle High School	2011.0	1.0
17318	http://www.islandparkid.govoffice2.com	Island Park	2009.0	725.0
17319	http://www.visitsunvalley.com	Sun Valley Chamber of Commerce	1997.0	0.0
17321	http://grangeville.us/centennial-library/	Grangeville Centennial	2013.0	783.0
17322	http://www1.nsd131.org/mainsite/schools/lns/default.aspx	Lone Star Middle School	2008.0	1244.0
17323	http://www.edline.net/pages/parma_high_school	Parma High School	2011.0	2.0
17324	http://treasurevalley.school.boiseschools.org	Treasure Valley Math & Science Center (7-12)	2013.0	1110.0
17325	http://ifhs.d91.k12.id.us/	Idaho Falls High School	2013.0	68.0
17326	https://sites.google.com/a/d59.k12.id.us/firth-district/	Firth School District #59	2013.0	30.0
17327	https://jsd.astihosted.com/portal/default.aspx?pg=556	Jefferson Elementary School	2014.0	4.0
17328	https://jsd.astihosted.com/portal/default.aspx?pg=557	South Fork Elementary School	2014.0	3.0
17329	http://dhs1.mybigcampus.net/	Deary High School	2012.0	30.0
17330	http://www.salmonschools.com/	Salmon School District #291	2009.0	93.0
17331	http://www.sd151.k12.id.us/schools/crtcweb/index.html	Cassia Regional Technical Center	2010.0	7.0
17332	http://www.oneidaschooldistrict.org/education/school/school.php?sectiondetailid=75&linkid=nav-menu-container-1-2298	Malad High School	0.0	0.0
17333	http://tsd401.org/	Teton County School District #401	2010.0	278.0
17334	http://lgo.idaho.gov/	Lieutenant Governor	2004.0	21.0
17335	http://www.sd171.k12.id.us/	Orofino Joint School District #171	2001.0	225.0
17336	http://longfellow.school.boiseschools.org	Longfellow Elementary School	2013.0	311.0
17337	http://prairieriver.lili.org/lapwai	Prairie-River District Lapwai	2011.0	48.0
17339	http://www.kooskia.com/	Kooskia	1999.0	55.0
17340	http://www.meridianchamber.org/	Meridian Chamber of Commerce	2002.0	16.0
17341	http://www.sd244.org/education/school/school.php?sectionid=2037&linkid=nav-menu-container-1-13768	Grangeville High School	2011.0	35.0
17342	http://shadowhills.school.boiseschools.org	Shadow Hills Elementary School	2013.0	219.0
17343	http://ibol.idaho.gov/IBOL/ErrorPage.aspx?referrer=/ibol/boardpage.aspx	Liquefied Petroleum Gas Safety, Board of	0.0	370.0
17344	http://morleynelson.school.boiseschools.org	Morley Nelson Elementary	2013.0	271.0
17345	http://www1.sd25.us/sites/gren/index.htm	Greenacres Elementary School	2013.0	1.0
17346	http://valleyview.school.boiseschools.org	Valley View Elementary School	2013.0	293.0
17347	http://www.meridianschools.org/ca/pages/centralacademy.aspx	Central Academy High School	2011.0	1.0
17348	http://sto.idaho.gov/	Treasurer, State	2006.0	52.0
17349	http://snakeriverlibrary.com/	Snake River School-Community	2008.0	30.0
17350	http://www.cityofworley.org/index.html	Worley	2012.0	8.0
17351	http://blsd.net/blsd/ajwenews.htm	A J Winters Elementary School	2013.0	34.0
17352	http://riverview.shelleyschools.org/	Riverview Elementary School	2013.0	8.0
17353	http://www.pfsd.com/default.aspx?indx=1&pageid=135	Frederick Post Kindergarten	0.0	106.0
17354	http://www.cityofdonnelly.org	Donnelly	2009.0	323.0
17355	http://www.midvalerangers.org/elementary/elementary.htm	Midvale Elementary School	2008.0	0.0
17356	http://www.latahlibrary.org	Latah County District	2003.0	66.0
17357	http://sd41-id.schoolloop.com/	St. Maries Joint School District #41	2012.0	2720.0
17358	http://wine.idaho.gov/	Grape Growers & Wine Producers Commission	2011.0	189.0
17359	http://www1.nsd131.org/mainsite/schools/nhz/default.aspx	New Horizons Elementary Magnet School	2008.0	666.0
17361	http://www.sco.idaho.gov/web/sbe/sbeweb.nsf	Examiners, Board of	2006.0	813.0
17362	http://srms.snakeriver.org/	Snake River Middle School	2010.0	10.0
17363	http://www.idahohde.org/dsite/	Health Data Exchange	2011.0	48.0
17364	http://www.mtnhomesd.org/education/school/school.php?sectiondetailid=753&linkid=nav-menu-container-1-2405	East Elementary School	2010.0	26.0
17365	http://www.kunaschools.org/schools/iphs/home/home.php	Initial Point Alternative High School	2011.0	0.0
17366	http://aeweb.lakeland272.org/	Athol Elementary School	2011.0	2334.0
17367	http://fsp.idaho.gov/	Federal Surplus Property	2009.0	10.0
17368	http://www.idahogeology.org/	Geological Survey, Idaho	2000.0	37.0
17371	http://meadowsvalley.lili.org/	Meadows Valley District	2007.0	66.0
17372	http://www.iesdb.org	Deaf and the Blind, Idaho Educational Services for the	2011.0	151.0
17373	http://postal.idaho.gov/	Postal Services, State	2011.0	6.0
17374	http://lava_el.mvsd21.org/	Lava Elementary School	2005.0	0.0
17376	http://www.meridianschools.org/ems/pages/eaglems.aspx	Eagle Middle School	2013.0	1.0
17377	http://www.kunaschools.org/schools/ross/	Ross Elementary School	2006.0	0.0
17378	http://prairieriver.lili.org/winchester	Prairie-River District - Winchester	2008.0	46.0
17379	http://www.meridianschools.org/vsh/pages/virtualschoolhouse.aspx	Virtual School House	2013.0	1.0
17381	http://www.haileycityhall.org	Hailey	2002.0	85.0
17382	http://www.idahosif.org/	Insurance Fund, State	2005.0	152.0
17383	http://liquor.idaho.gov/	Liquor Division, Idaho State	2005.0	28.0
17384	http://www.minidokaschools.org/east	East Minico Middle School	2012.0	613.0
17385	http://hillside.school.boiseschools.org	Hillside Junior High School	2012.0	2486.0
17386	http://www.meridianschools.org/Pages/Home.aspx	Sienna Elementary School	2009.0	1.0
17387	http://www.jeromeschools.org/index.php/design-and-features/color-variations	Jerome Middle School	2013.0	10.0
17389	http://sleweb.lakeland272.org/	Spirit Lake Elementary School	2011.0	11135.0
17390	http://www.idbeef.org/	Beef Council, Idaho	2001.0	4.0
17391	http://www.sd314.k12.id.us/	Dietrich School (K-12)	2000.0	6.0
17392	http://www.d25gateway.com/	Gateway Professional-Technical School	2011.0	45.0
17393	https://sites.google.com/a/cassiaschools.org/cassiahigh/	Cassia Alternative High School	0.0	20.0
17394	http://www.salmonschools.com/pioneerschool/home.html	Pioneer Elementary School	2011.0	27.0
17395	http://www.meridianschools.org/mvhs/pages/mountainviewhighschool.aspx	Mountain View High School	2012.0	1.0
17396	http://www.councilidaho.net/	Council	0.0	14906.0
17398	http://ririe.id.schoolwebpages.com/education/components/scrapbook/default.php?sectiondetailid=232&linkid=nav-menu-container-1-8559	Ririe Elementary/Middle School	2014.0	2.0
17399	http://www.www.xaviercharter.org	Xavier Charter School	2007.0	73.0
17400	http://shoshone.lili.org	Shoshone Public	2007.0	32.0
17401	http://range.idaho.gov/	Rangeland Resource Commission, Idaho	2008.0	95.0
17402	http://www.ruralnetwork.net/~stanlib/	Stanley District	2004.0	13.0
17403	http://msd134.org	Middleton School District #134	2001.0	0.0
17404	http://ss.lposd.org/	Southside Elementary School	2008.0	282.0
17405	http://www.idahoforests.org/	Forest Products, Commission	1998.0	357.0
17406	http://www.meridianschools.org/marymcpherson/pages/marymcphersonelementary.aspx	Mary McPherson Elementary School	2011.0	1.0
17407	http://www.oneidaschooldistrict.org/education/components/whatsnew/default.php?sectionid=1&url_redirect=1	Oneida School District #351	2011.0	1.0
17408	https://sites.google.com/a/d59.k12.id.us/firth-high-school/	Firth High School	2014.0	114.0
17409	http://www.mvsd11.org/	Meadow Valley School District #11	2009.0	35.0
17410	http://www1.nsd131.org/mainsite/schools/ctr/default.aspx	Central Elementary School	2007.0	995.0
17411	https://sites.google.com/a/vallivue.org/east-canyon-elementary/	East Canyon Elementary School	2014.0	25.0
17412	http://www.legislature.idaho.gov/house/house.htm	House of Representatives	2004.0	78.0
17413	http://humanrights.idaho.gov/	Human Rights Commission	2008.0	19.0
17414	https://sites.google.com/a/vallivue.org/vallivue-high/	Vallivue High School	2014.0	62.0
17415	http://www.midvalerangers.org/alternative_school/alternative_school.htm	Midvale Alternative High School	2008.0	0.0
17416	http://labor.idaho.gov/dnn/(X(1)S(rnoyjg55snjv3ondcwfimlet))/Default.aspx?TabID=2436&AspxAutoDetectCookieSupport=1	Disability Determination Services	0.0	2.0
17417	http://grace.lili.org/	Grace District	2007.0	32.0
17418	http://www.shoshonesd.org/	Shoshone Joint School District #312	2013.0	375.0
17419	http://cwidaho.cc/	College of Western Idaho	2008.0	2943.0
17420	http://www.cityarco.com	Arco	2007.0	0.0
17422	http://www1.nsd131.org/mainsite/schools/grn/default.aspx	Greenhurst Elementary School	2008.0	713.0
17423	http://skyway-cdasd-id.schoolloop.com/portal/school_list	Skyway Elementary School	2013.0	22.0
17424	http://www.co.bingham.id.us/	Bingham County	2000.0	41.0
17425	http://www.mountainhomechamber.com/	Mountain Home Chamber of Commerce	2008.0	43.0
17426	https://sites.google.com/a/vallivue.org/birch-elementary/	Birch Elementary School	2014.0	28.0
17427	http://www.murtaugh.k12.id.us/	Murtaugh Joint School District #418	2003.0	9.0
17428	http://www.kimberly.edu/index.php/elementary-school.html	Kimberly Elementary School	2013.0	923.0
17429	http://www.idahocityschools.net/basinelem.asp	Basin Elementary School	2008.0	64.0
17430	http://www.orofino.com/	Orofino  Chamber of Commerce	1999.0	498.0
17431	http://www.filer.k12.id.us/fhs.php	Filer High School	2012.0	24.0
17432	http://www.preston.k12.id.us/pioneer-elementary.html	Pioneer Elementary School	2012.0	129.0
17435	http://hobbs.shelleyschools.org/	Hobbs Middle School	2013.0	85.0
17436	http://tsd401.org/index.php?option=com_content&view=article&id=147&itemid=154	Driggs Elementary School	0.0	291.0
17437	http://www.payetteschools.org/	Payette School District #371	2009.0	27.0
17438	http://www.rbulldogs.org/cms/page_view?d=x&piid=&vpid=1323614920669	Rockland Jr. High	0.0	6600.0
17439	http://sa.tfsd.org/	Sawtooth Elementary School	2010.0	58.0
17440	http://gooding.lili.org	Gooding Public	2007.0	46.0
17441	http://www.hsbschools.org/schools/horseshoe%20bend%20middle%20school	Horseshoe Bend Middle School	2012.0	0.0
17443	http://www.marshallpl.org	Marshall Public	2004.0	39.0
17445	http://www.tfid.org/	Twin Falls	1999.0	805.0
17446	http://www.bplibrary.org	Burley Public	2000.0	27.0
