NodeId	NodeURL	NodeName	Year	pages
25159	http://coastal.la.gov/	Coastal Protection and Restoration Financing Corporation Governing Board	2010.0	104.0
25160	http://www.sttammany.lib.la.us/causeway.html	Causeway Branch	2002.0	41.0
25162	http://www.townofberwick.org/	Berwick	2000.0	522.0
25163	http://wwwprd.doa.louisiana.gov/boardsandcommissions/viewboard.cfm?board=355	Rice Research Board	2012.0	12.0
25165	http://wwwprd.doa.louisiana.gov/boardsandcommissions/viewboard.cfm?board=357	River Region Cancer Screening and Early Detection District Board of Commissioners	2012.0	12.0
25166	http://www.jacksonparishpolicejury.org/Default.aspx	Jackson Parish	2013.0	2.0
25167	http://wwwprd.doa.louisiana.gov/boardsandcommissions/viewboard.cfm?board=210	Child Poverty Prevention Council	2012.0	12.0
25168	http://wwwprd.doa.louisiana.gov/boardsandcommissions/viewboard.cfm?board=212	Citizens Property Insurance Corporation Board of Directors	2012.0	12.0
25169	http://www.southeastern.edu/	Southeastern LU	1998.0	1446.0
25170	http://lsbvm.org/	Veterinary Medicine, Louisiana Board of	2001.0	49.0
25171	http://fontainebleauhigh.stpsb.org/	Fontainebleau High School	2001.0	51.0
25172	http://bese.louisiana.gov/	Elementary and Secondary Education, Board of	2013.0	9.0
25173	http://fisher.jpschools.org/	Fisher Middle-high School	2014.0	48.0
25174	http://sfm.dps.louisiana.gov/	Fire Marshal, State	2009.0	165.0
25175	http://www.doc.louisiana.gov/	Corrections, Department of  (DOC)	2004.0	25.0
25176	http://www.law.lsu.edu/	LSU Paul M. Hebert Law	1999.0	221.0
25177	http://www.wlf.louisiana.gov/	Wildlife & Fisheries, Department of (WLF)	2006.0	2143.0
25178	http://www.legis.la.gov/legis/boardmembers.aspx?boardid=898	Innovation Council	2013.0	2.0
25180	http://www.doa.louisiana.gov/opb/index.htm	Budget, Office of Planning and (OPB)	2004.0	69.0
25181	http://lbespa.org/	Speech-Language Pathology and Audiology, Louisiana Board of Examiners for	2001.0	6.0
25182	http://lfo.louisiana.gov/	Legislative Fiscal Office, Louisiana	2006.0	10.0
25184	http://www.lincolnparish.org	Lincoln Parish	2001.0	3.0
25185	http://www.gppj.org	Grant Parish	2012.0	20.0
25186	http://www.conppj.org	Concordia Parish	2011.0	8.0
25187	http://www.civilservice.louisiana.gov/	Civil Service, Department of (DSCS)	2004.0	8.0
25188	http://www.lapels.com/	Engineering and Land Surveying Board, Louisiana Professional	1998.0	48.0
25189	http://www.legis.la.gov/legis/boardmembers.aspx?boardid=374	Aging, Executive Board on	0.0	2.0
25190	http://www.stmary.k12.la.us/phs/	Patterson High School	0.0	13.0
25191	http://wwwprd.doa.louisiana.gov/boardsandcommissions/viewboard.cfm?board=336	Prescription Monitoring Program Advisory Council	2012.0	12.0
25192	http://www.louisianalottery.com/	Louisiana Lottery Corporation	1999.0	816.0
25194	http://lsbpie.com/	Private Investigator Examiners, Louisiana State Board of	2000.0	2401.0
25196	http://www.doa.louisiana.gov/osup/index.htm	Uniform Payroll, Office of State (OSUP)	2008.0	150.0
25197	http://www.sttammany.lib.la.us/abitasprings.html	Abita Springs Branch	2002.0	72.0
25198	http://www.legis.la.gov/legis/boardmembers.aspx?boardid=584	HIV, AIDS, and Hepatitis C, Commission on	0.0	2.0
25199	http://www.legis.la.gov/legis/boardmembers.aspx?boardid=585	Historical Records Advisory Board	0.0	2.0
25201	http://www.ascensionparish.net	Ascension Parish	2000.0	1930.0
25202	http://www.lasc.org	Supreme Court	1998.0	35.0
25204	http://house.louisiana.gov/	House of Representatives, Louisiana State	2002.0	274.0
25207	http://www.legis.la.gov/legis/boardmembers.aspx?boardid=640	Terrebonne Levee and Conservation District Board of Commissioners	0.0	2.0
25208	http://www.legis.la.gov/legis/boardmembers.aspx?boardid=576	Oil and Gas Museum Governing Board	0.0	2.0
25209	http://www.legis.la.gov/legis/boardmembers.aspx?boardid=574	Occupational Forecasting Conference	0.0	2.0
25210	http://www.louisianabelieves.com/	Education, Department of (DOE)	2012.0	22.0
25214	http://www.legis.la.gov/legis/boardmembers.aspx?boardid=672	Medicaid Pharmaceutical and Therapeutics Committee	0.0	2.0
25215	http://www.avoyelles.lib.la.us	Avoyelles Parish	2000.0	18.0
25216	http://www.legis.la.gov/legis/boardmembers.aspx?boardid=676	Tobacco Settlement Financing Corporation Board	0.0	2.0
25217	http://www.ibervilleparish.com	Iberville Parish	2001.0	149.0
25218	http://www.gov.louisiana.gov/index.cfm?md=pagebuilder&tmp=home&cpid=46	Indian Affairs, Governor's Office of	0.0	28.0
25219	http://www.laworks.net/publicrelations/wic_main.asp	Workforce Investment Council	2009.0	17.0
25220	http://www.legis.la.gov/legis/boardmembers.aspx?boardid=836	Bayou Desiard Lake Restoration Commission	0.0	2.0
25221	http://www.legis.la.gov/legis/boardmembers.aspx?boardid=473	Uniform State Laws, Commission on	0.0	2.0
25223	http://wwwprd.doa.louisiana.gov/boardsandcommissions/viewboard.cfm?board=359	School Employees' Retirement System Board of Trustees, Louisiana	2012.0	12.0
25224	http://www.lasersonline.org/site.php	Employee's Retirement System, Louisiana State (LASERS)	2010.0	2.0
25225	http://www.ldi.state.la.us/legal_services/latifpa/	Automobile Theft and Insurance Fraud Prevention Authority Board of Directors	2010.0	11.0
25226	http://www.legis.la.gov/legis/boardmembers.aspx?boardid=900	Latino Commission	0.0	2.0
25227	http://www.caddo.org/	Caddo	1999.0	792.0
25228	http://wwwprd.doa.louisiana.gov/boardsandcommissions/viewboard.cfm?board=139	Bossier Levee District Board of Commissioners	2012.0	12.0
25229	http://wwwprd.doa.louisiana.gov/boardsandcommissions/viewboard.cfm?board=138	Atchafalaya Basin Levee District Board of Commissioners	2012.0	12.0
25230	http://www.ebrpha.org/	Housing Authority, East Baton Rouge Parish	2006.0	98.0
25231	http://crt.louisiana.gov/hp/	Historic Preservation, Louisiana Division of	2007.0	53.0
25232	http://www.lafayettela.gov/Pages/Index.aspx	Lafayette Parish	2013.0	566.0
25234	http://smld.org/	St. Mary Levee District Board of Commissioners	2011.0	74.0
25235	http://www.fairparkhigh.com/	Fair Park High School	2000.0	25.0
25236	http://www.eatel.net/index.asp	Donaldsonville High School	2013.0	6.0
25239	http://wwwprd.doa.louisiana.gov/boardsandcommissions/viewboard.cfm?board=522	Seed Commission	2012.0	4.0
25240	http://wwwprd.doa.louisiana.gov/boardsandcommissions/viewboard.cfm?board=523	Sentencing Commission	2012.0	12.0
25241	http://www.louisianaeconomicdevelopment.com/	LED: Louisiana Economic Development Department	2009.0	643.0
25242	http://wwwprd.doa.louisiana.gov/boardsandcommissions/viewboard.cfm?board=524	Serve Commission	2012.0	12.0
25243	http://wwwprd.doa.louisiana.gov/boardsandcommissions/viewboard.cfm?board=538	Tourism Development Commission	2012.0	12.0
25244	http://www.legis.la.gov/legis/boardmembers.aspx?boardid=402	Advisory Council on Early Identification of Hearing Impairment in Infants	0.0	2.0
25245	http://biodistrictneworleans.org/	BioDistrict New Orleans Board of Commissioners	2011.0	108.0
25246	http://www.sos.la.gov/Pages/default.aspx	Secretary of State	2013.0	287.0
25247	http://www.osfa.louisiana.gov/	Student Financial Assistance, Office of (LOSFA)	2007.0	97.0
25251	http://horseracing.louisiana.gov/	Racing Commission	2006.0	13.0
25252	http://www.oppj.org/	Ouachita	2002.0	189.0
