NodeId	NodeURL	NodeName	Year	pages
27407	http://www.newbedfordschools.org/elementary/ashley.htm	Charles S Ashley (School)	2009.0	0.0
27408	http://www.wellesleyfreelibrary.org/home/index.html	Wellesley Public Library	2011.0	51.0
27409	http://www.worthingtonlibrary.blogspot.com	Worthington Public Library	2011.0	417.0
27410	http://www.cohassetk12.org	Cohasset (School District)	2003.0	549.0
27411	http://www.massrmv.com/MeritRatingBoard.aspx	Merit Rating Board	2013.0	290.0
27412	http://www.masstech.org/	Technology Park Corporation, Massachusetts	2001.0	227.0
27414	http://www.tantasqua.org/burgess/	Burgess Elementary (School)	2003.0	2.0
27415	http://www.grsd.org	Gateway Regional Junior High School (School)	2001.0	1137.0
27416	http://www.hopkintonlibrary.org/hopkinton/	Hopkinton Public Library	2007.0	58.0
27418	http://www.chicopeeps.org/Lambert/	Lambert-Lavoie (School)	2013.0	46.0
27419	http://north.worcesterschools.org	North High (School)	2009.0	11293.0
27420	http://pearlrhodes.pioneervalley.k12.ma.us	Pearl E Rhodes Elementary (School)	2006.0	9.0
27421	http://www.essexma.org/library/	Essex Public Library	2011.0	1.0
27422	http://www.lynnfield.k12.ma.us	Lynnfield Preschool (School)	2012.0	21.0
27423	http://www.hingham-ma.gov/	Hingham	2005.0	21.0
27424	http://lincoln.nsboro.k12.ma.us	Lincoln Street (School)	2013.0	187.0
27425	http://www.miltonps.org	Charles S Pierce Middle (School)	2001.0	67.0
27426	http://www.mass.gov/eohhs/gov/departments/masshealth/	Medicaid, Office of (MassHealth)	2011.0	16.0
27429	http://www.southhadley.org/	South Hadley	1999.0	302.0
27430	http://www.truromass.org	Truro (School District)	2001.0	48.0
27433	http://www.townofchelmsford.us/	Chelmsford	2003.0	856.0
27434	http://www.mass.gov/cgly/	Massachusetts Commission on Gay, Lesbian, Bisexual and Transgender Youth	2006.0	9.0
27435	http://www.thayerpubliclibrary.org	Braintree Public Library	2002.0	33.0
27436	http://www.franklin.k12.ma.us/remington/	Remington Middle (School)	2001.0	0.0
27437	http://www.newbedfordschools.org/elementary/hay-mac.htm	Hayden/McFadden (School)	2009.0	0.0
27438	http://www.mass.edu/campuses/phecampuses.asp	Universities and Colleges, State	2007.0	2.0
27440	http://spssaltonstall.salemk12.org/Pages/index	Saltonstall School (School)	2009.0	57.0
27441	http://www.lincnet.org/site/default.aspx?PageID=1	Lincoln (School District)	2013.0	44.0
27442	http://www.edline.net/pages/Freetown-Lakeville_MS	Freetown-Lakeville Middle School (School)	2011.0	10.0
27443	http://hood.north-reading.k12.ma.us/Pages/index	J Turner Hood (School)	2010.0	74.0
27444	http://www.newbedfordschools.org	New Bedford (School District)	2008.0	168.0
27445	http://www.cambridgema.gov/cpl/hoursandlocations/oconnellbranch.aspx	Cambridge Public Library	2010.0	23.0
27446	http://www.mass.gov/hed/business/small-business-community-in-massachusetts.html	Entrepreneurship, Office of Small Business and	2011.0	27.0
27447	http://marbleheadcharter.org	Marblehead Community Charter Public (District) (School District)	2007.0	352.0
27448	http://www.townofholliston.us/	Holliston	2002.0	3294.0
27449	http://www.leverettschool.org	Leverett Elementary (School)	2006.0	1145.0
27450	http://sps.springfield.ma.us	Springfield Public Day Elementary School (School)	1999.0	80.0
27451	http://www.townofhudson.org/	Hudson	2002.0	113.0
27452	http://www.mass.gov/eopss/agencies/msp/	Police, Department of State	2011.0	20.0
27453	http://www.bcso-ma.us/	Sheriff's Office, Bristol County	2003.0	97.0
27454	http://www.mass.gov/auditor/	Local Mandates, Division of	2012.0	294.0
27455	http://www.mcla.mass.edu/	Massachusetts College of Liberal Arts	1998.0	942.0
27456	http://tatnuck.worcesterschools.org	Tatnuck (School)	2010.0	1418.0
27458	http://rockland-ma.gov/	Rockland	2003.0	680.0
27459	http://www.holbrook.k12.ma.us	Holbrook Jr Sr High (School)	2003.0	60.0
27460	http://www.mass.gov/mdaa/	District Attorneys Association, Massachusetts	2004.0	964.0
27461	http://www.winthroppubliclibrary.org/	Winthrop Public Library	0.0	64.0
27462	http://chilmarkschool.mvyps.org/Chilmark_School/Welcome.html	Chilmark Elementary (School)	2010.0	0.0
27463	http://www.stow-ma.gov/	Stow	2004.0	258.0
27465	http://www.natickps.org	J F Kennedy Middle School (School)	2009.0	827.0
27466	http://www.mass.gov/eohhs/gov/departments/mcb/	Blind, Massachusetts Commission for the	2011.0	36.0
27467	http://www.chicopeeps.org/Barry/	Barry (School)	0.0	33.0
27468	http://www.wsps.org	West Springfield (School District)	2001.0	156.0
27469	http://sails.ent.sirsi.net/client/wbwater	West Bridgewater Public Library	0.0	949.0
27470	http://hajjar.billerica.k12.ma.us	Hajjar Elementary (School)	2009.0	45.0
27471	http://www.springfieldlibrary.org/library/	Springfield Public Library	2013.0	116.0
27472	http://www.trurolibrary.org	North Truro Public Library	2002.0	3153.0
27473	http://lps.lexingtonma.org/harringtones	Harrington (School)	2012.0	1366.0
27474	http://www2.pittsfield.net/groups/HMS/	Theodore Herberg Middle (School)	2011.0	659.0
27475	http://www.winchendonk12.org	Winchendon PreSchool Program (School)	2001.0	88.0
27476	http://www.townofrandolph.com/	Randolph	2004.0	130.0
27477	http://www.sec.state.ma.us/sct/sctidx.htm	Securities Division	0.0	51.0
27478	http://www.danverslibrary.org/	Danvers Public Library	2007.0	309.0
27479	http://www.mass.gov/perac/	Public Employee Retirement Administration Commission	2004.0	639.0
27480	http://www.royalston.com/	Royalston	2000.0	16.0
27481	http://www.mass.gov/eohhs/gov/commissions-and-initiatives/hst/	Transportation Office, Human Service	2011.0	38.0
