NodeId	NodeURL	NodeName	Year	pages
26721	http://www.snowhillmd.com	SNOW HILL	2000.0	28.0
26722	http://www.chevychasesection3.org	CHEVY CHASE, VILLAGE OF, SECTION 3	2011.0	56.0
26723	http://www.prattlibrary.org/locations/orleans/	Orleans Street Branch	2009.0	3.0
26724	http://www.ccplonline.org/	Potomac Branch Library	2001.0	15.0
26725	http://canalplace.org/	Canal Place Preservation & Development Authority	1999.0	40.0
26726	http://www.towson.edu/	TOWSON UNIVERSITY	1997.0	1896.0
26727	http://www.pgcps.pg.k12.md.us/	Fairmont Heights High School	1998.0	1.0
26728	http://www.pgcmls.info/upper%20marlboro	Prince Georges County Memorial Library - Upper Marlboro	2014.0	2067.0
26729	http://www.mdod.maryland.gov/	Disabilities	2006.0	149.0
26730	http://uppermarlboromd.gov/	UPPER MARLBORO	2007.0	301.0
26731	http://www.bcplonline.org/branches/branch_pa.html	Parkville-Carney Library	2000.0	2.0
26732	http://www.aahealth.org/	ANNE ARUNDEL COUNTY Health	1998.0	727.0
26733	http://www.oceancitymd.gov	OCEAN CITY	2009.0	17.0
26734	http://www.co.cal.md.us/index.aspx?nid=27	CALVERT COUNTY	2012.0	1294.0
26735	http://www.volunteermaryland.org/	Volunteer Maryland	1999.0	17.0
26736	http://www.emmitsburg.net/towngov/index.htm	EMMITSBURG	2001.0	140.0
26737	http://hampsteadmd.gov/	HAMPSTEAD	2013.0	404.0
26739	http://www.montgomeryschoolsmd.org/schools/paintbranchhs/	Paint Branch High School	2006.0	86.0
26740	http://waldorfwest.blogspot.com/	Waldorf West Branch	2011.0	42.0
26741	http://www.bcpl.info	Baltimore County Public Library	2002.0	1432.0
26742	http://www.laborboards.maryland.gov/helrb/helrb_main.htm	State Higher Education Labor Relations Board	2008.0	163.0
26743	http://www.accidentmd.org/	ACCIDENT	2006.0	4.0
26744	http://www.townofnewmarket.org/	NEW MARKET	2005.0	45.0
26745	http://msa.maryland.gov/msa/mdmanual/25ind/html/76vent.html	Maryland Venture Capital Trust	2013.0	253.0
26746	http://www.carolinehd.org	CAROLINE COUNTY Health	2000.0	2.0
26748	http://www.chevychasesection5.org	CHEVY CHASE, VILLAGE OF, SECTION 5	2006.0	94.0
26749	http://www.aging.maryland.gov/	Aging	2011.0	39.0
26750	http://www.montgomerycountymd.gov/library/branches/littlefalls.html	Little Falls Branch Library	2013.0	48.0
26751	http://www.townofsharptown.org	SHARPTOWN	2013.0	11.0
26752	http://sharpsburgmd.com/	SHARPSBURG	2011.0	86.0
26753	http://www.bccc.edu/site/default.aspx?PageID=1	BALTIMORE CITY COMMUNITY COLLEGE	2012.0	4.0
26754	http://www.qahealth.org/	QUEEN ANNE'S COUNTY Health	2001.0	46.0
26755	http://manchestermd.org	MANCHESTER	2004.0	98.0
26756	http://msa.maryland.gov/msa/mdmanual/39fed/html/00list.html	Maryland & the Federal Government	2013.0	7.0
26757	http://schools.smcps.org/lhs/	Leonardtown High School	2008.0	150.0
26758	http://www.collegesavingsmd.org/	College Savings Plans of Maryland	2001.0	89.0
26760	http://www.townofprincessanne.com	PRINCESS ANNE	2002.0	34.0
26761	http://www.ci.poolesville.md.us/	POOLESVILLE	1997.0	440.0
26762	http://www.bcplonline.org/branches/branch_wo.html	Woodlawn Library	2000.0	2.0
26763	http://www.northeastmd.org	NORTH EAST	2001.0	20.0
26764	http://www.psc.state.md.us/	Public Service Commission	1996.0	392.0
