NodeId	NodeURL	NodeName	Year	pages
26064	http://www.state.me.us/mema/	Emergency Management Agency	1997.0	175.0
26065	http://www.northyarmouth.org/	North Yarmouth	2001.0	3290.0
26066	http://www.maine.gov/mma/	Maine Military Authority	2005.0	10.0
26067	http://www.dover-foxcroft.org	Thompson Free Library	1999.0	1372.0
26068	http://www.maine.gov/dps/bhs/	Highway Safety, Bureau of	2003.0	74.0
26069	http://www.maine.gov/rehab/	Rehabilitation Services, Bureau of (BRS)	2004.0	97.0
26070	http://www.kvcc.me.edu/	Kennebec Valley Community College	2003.0	710.0
26072	http://cityofellsworthme.org	Ellsworth	2006.0	2100.0
26073	http://www.rockport.lib.me.us	Rockport Public Library	2001.0	74.0
26074	http://www.mainetechnology.org/	Maine Technology Institute	2000.0	630.0
26075	http://www.maine.gov/informe/	InforME (Information Resource of Maine)	2002.0	4.0
26076	http://www.maine.gov/audit/	Auditor, Office of the State	2004.0	22.0
26077	http://www.librarycamden.org	Camden Public Library	2008.0	179.0
26078	http://www.millinocket.lib.me.us	Millinocket Memorial Library	2002.0	53.0
26079	http://www.maine.gov/pfr/professionallicensing/professions/charitable/index.htm	Charitable Solicitations Licensing	2007.0	17.0
26081	http://www.rumford.lib.me.us	Rumford Public Library	1998.0	46.0
26082	http://www.maine.gov/museum/	State Museum, Maine	2003.0	107.0
26083	http://www.maine.gov/pfr/professionallicensing/professions/interpreters/index.htm	Interpreters and Transliterators of American Sign Language and English	2007.0	16.0
26084	http://www.maine.gov/osteo/	Osteopathic Examination and Registration, Board of	2005.0	3.0
26085	http://www.fairfieldme.com/library/	Lawrence Public Library	2011.0	396.0
26087	http://www.sad55.org/	School Adm. District #55	1998.0	212.0
26088	http://www.bapl.us	Bridge Academy Public Library	2003.0	8.0
26089	http://www.rocklandlibrary.org/cs/?render=homepage	Rockland Public Library	2006.0	41.0
26090	http://www.limington.net/	Limington	2001.0	22.0
26091	http://www.brooklin-es.u76.k12.me.us/	School   Union 76 School	2009.0	11.0
26092	http://www.baxterstateparkauthority.com/	Baxter State Park Authority	2001.0	2.0
26094	http://www.newsharon.lib.me.us	Jim Ditzler Memorial Library	2000.0	7.0
26095	http://www.maine.gov/portal/index.html	State Government	2008.0	56.0
26096	http://www.ang.af.mil/	Air National Guard	1996.0	563.0
26097	http://www.msad35.net/	School Adm. District #35	2002.0	686.0
26098	http://www.maine.gov/dacf/about/boards/harness_racing/index.shtml	Harness Racing Commission	2013.0	5.0
26099	http://rsu73.org/	Reg. School Unit #73	2011.0	384.0
26100	http://www.maine.gov/dhhs/bh/index.html	Behavioral and Developmental Services	2007.0	195.0
26101	http://www.dises.org/	Deer Isle Stonington   CSD School	1999.0	240.0
26102	http://www.naples.lib.me.us	Naples Public Library	1997.0	3.0
26103	http://www.maine.gov/legis/opla/homepage.htm	Policy and Legal Analysis, Office of	2002.0	138.0
26104	http://www.maine.gov/pfr/insurance/	Insurance, Bureau of	2006.0	37.0
26105	http://www.state.me.us/revenue/	Maine Revenue Services	2000.0	479.0
