NodeId	NodeURL	NodeName	Year	pages
31162	http://www.chokioalberta.k12.mn.us	Chokio-Alberta Public School Dist. 0771-01	2000.0	9.0
31163	http://www.minnetonka.k12.mn.us/schools/deephaven/Pages/default.aspx	Deephaven Elementary 0276-01-602	2008.0	5.0
31164	http://www.ci.underwood.mn.us/	Underwood	2013.0	16.0
31165	http://www.emid6067.net/	East Metro Integration District 6067-62	2001.0	35.0
31166	http://www.dnr.state.mn.us/waters/groundwater_section/climatology/index.html	Climatology Office, State	2002.0	14.0
31167	http://www.cityofbrooklyncenter.org/	Brooklyn Center	2001.0	1097.0
31168	http://www.blackduck.k12.mn.us	Blackduck Elementary 0032-01-010	2000.0	27.0
31169	http://www.plumcreeklibrary.org/adrian/	Adrian Branch Library	2001.0	7.0
31170	http://www.ci.columbus.mn.us/	Columbus	2007.0	497.0
31171	http://lacrescentmontessori.com/	La Crescent Secondary Montessori Academy 4054-07-020	2006.0	15.0
31172	http://www.pioneerland.lib.mn.us/spicer/index.htm	Spicer Public Library	0.0	1.0
31173	http://www.arrowhead.lib.mn.us/area-libraries/chisholm	Chisholm Public Library	2007.0	10.0
31174	http://www.isd2184.net	Luverne Senior High 2184-01-004	2000.0	210.0
31175	http://bentonstearns.k12.mn.us	Benton-Stearns Ed. District 6383-61	2001.0	63.0
31176	http://www.isd623.org/pcs/	Parkview Center School 0623-01-073	0.0	97.0
31177	http://www.owatonna.k12.mn.us/schools/alc/	Owatonna ALC 9-12 0761-01-610	2006.0	1.0
31178	http://www.robbinsdalemn.com/	Robbinsdale	1999.0	246.0
31179	http://www.mmb.state.mn.us/sss	Statewide Systems	2008.0	414.0
31180	http://www.ci.fergus-falls.mn.us/	Fergus Falls	2000.0	453.0
31181	http://www.ci.cologne.mn.us/	Cologne	2005.0	937.0
31182	http://www.jordan.govoffice.com/	Jordan	2002.0	163.0
31183	http://www.mnohs.org	Minnesota Online High School 4150-07-010	2005.0	213.0
31184	http://www.cromwell.govoffice.com/	Cromwell	2008.0	203.0
31185	http://www.mmb.state.mn.us/	Minnesota Management and Budget	2008.0	362.0
31186	http://www.hawley.k12.mn.us	Hawley Elementary 0150-01-010	1999.0	12.0
31187	http://chatfield.k12.mn.us/Pages/Homepage.aspx	Chatfield Elementary School 0227-01-002	2011.0	84.0
31188	http://www.fps.mntm.org/site/default.aspx?PageID=1	Fulda Public School District 0505-01	2012.0	8.0
31190	http://mn.gov/gcb/	Board of Gambling Control	2013.0	64.0
31193	http://www.nhcc.edu	North Hennepin Community College	2002.0	877.0
31194	http://www.blhsd.org/	Buffalo Lk-Hector-Stewart Public Sc 2159-01	2010.0	997.0
31195	http://www.msrs.state.mn.us/	Minnesota State Retirement System (MSRS)	1999.0	223.0
31196	http://www.griver.org/locations-and-hours/great-river-regional-library-monticello	Great River Regional Library - Monticello	2011.0	34.0
31198	http://www.ci.k12.mn.us	Crosby-Ironton Public School Dist. 0182-01	1998.0	52.0
31199	http://www.district279.org	TS North View IB World School 0279-01-786	2005.0	2321.0
31200	http://www.co.carlton.mn.us/	Carlton County	2002.0	223.0
31201	http://www.grygla.govoffice2.com/	Grygla	2006.0	451.0
31202	http://www.swiftcounty.com/	Swift County	2001.0	103.0
31203	http://www.ci.northfield.mn.us/library	Northfield Public Library	1999.0	1314.0
31204	http://www.ci.lakeville.mn.us/	Lakeville	1998.0	3389.0
31205	http://www.ci.victoria.mn.us/	Victoria	2000.0	577.0
31206	http://mn.gov/sentencing-guidelines/	Sentencing Guidelines Commission	2013.0	19.0
31207	http://www.stcroixprep.org/default.aspx	St. Croix Preparatory Academy 4120-07	2009.0	85.0
31208	http://www.paynesvillemn.com/	Paynesville	1998.0	284.0
31209	http://www.strideacademy.org/	STRIDE Academy Charter School 4142-07	2005.0	69.0
31210	http://www.wayzata.org/	Wayzata	1999.0	451.0
31212	http://www.usc.k12.mn.us	United South Central High School 2134-01-020	2013.0	3.0
31213	http://www.kms.k12.mn.us	Kerkhoven-Murdock-Sunburg 0775-01	1999.0	384.0
31214	http://www.madisonlibrary.info/	Madison Public Library	2006.0	16.0
31216	http://www.co.marshall.mn.us/	Marshall County	2007.0	16.0
31217	http://www.sowashco.k12.mn.us/pe/	Pullman Elementary 0833-01-042	2000.0	16.0
31218	http://www.sowashco.k12.mn.us/ph/	Pine Hill Elementary 0833-01-040	2000.0	22.0
31219	http://beclibrary.org	Blue Earth County Library	2001.0	269.0
31220	http://www.cityofsilverlake.org/	Silver Lake	2003.0	20.0
31221	http://www.sageacademy.org/	SAGE Academy Charter School 4087-07	2004.0	9.0
31222	http://www.anoka.lib.mn.us	Columbia Heights Public Library	1998.0	335.0
31224	http://ada.k12.mn.us/	Ada-Borup Public School District 2854-01	1999.0	3.0
31225	http://www.cps.k12.mn.us	Caledonia Public School District 0299-01	2001.0	542.0
31226	http://www.isd518.net	Worthington Area Learning Center 0518-01-006	1998.0	5153.0
31227	http://www.plumcreeklibrary.org/slayton/	Slayton Public Library	2001.0	15.0
31228	http://www.cityofgibbon.com/	Gibbon	2007.0	247.0
31229	http://www.isd12.org/schools/elementary-schools/golden-lake-elementary	Golden Lake Elementary 0012-01-512	2012.0	280.0
31232	http://www.themasteryschool.org/	Mastery School 4209-07-010	2012.0	26.0
31233	http://nwrlib.org/godel-warren/	Godel Memorial Library	2011.0	2.0
31234	http://www.wayzata.k12.mn.us/kimberlylane	Kimberly Lane Elementary 0284-01-812	2001.0	4987.0
31235	http://stepaheadhs.com	STEP Ahead High School 0011-01-898	2013.0	32.0
