NodeId	NodeURL	NodeName	Year	pages
43535	http://ecps.schoolfusion.us/	EDENTON/CHOWAN School	2009.0	647.0
43536	http://www.visittyrrellcounty.com/government/	Tyrrell County	2006.0	3.0
43537	http://www.lakeparknc.gov/	Lake Park	2007.0	31.0
43538	http://www.madisoncountylibrary.org	Madison County Public Library	2004.0	122.0
43539	http://library.duplincounty.org/	Faison Branch Library (Emily Hill Library)	2002.0	7.0
43540	http://ncchildcare.dhhs.state.nc.us/general/home.asp	Child Development, Division of	2003.0	35.0
43542	http://www.cityofwadesboro.org/	Wadesboro	2002.0	40.0
43543	http://www.townofwarsawnc.com/	Warsaw	2002.0	918.0
43545	http://www.broadwaync.com	Broadway	2002.0	29.0
43546	http://www.charlottesecondary.org	Charlotte Secondary	0.0	162.0
43547	http://www.waynecc.edu/	Wayne Community College	2002.0	704.0
43549	http://www.richmondnc.com/	Richmond County	2002.0	111.0
43550	http://www.faytechcc.edu/	Fayetteville Technical Community College	2002.0	571.0
43551	http://www.wilsoncc.edu	Wilson Community College	2008.0	191.0
43552	http://lagrangenc.com/	La Grange	2001.0	131.0
43553	http://www.townofrobersonville-nc.gov/	Robersonville	2005.0	2.0
43554	http://www.nrms.k12.nc.us	NASH-ROCKY MOUNT School	1998.0	1171.0
43555	http://www.waynecountyschools.org/site/default.aspx?PageID=1	WAYNE School	2011.0	12.0
43556	http://www.townoflouisburg.com/	Louisburg	2009.0	82.0
43557	http://www.nhaschools.com/schools/researchtriangle/en/pages/default.aspx	Research Triangle Charter School	0.0	22.0
43558	http://www.sccnc.edu/	Southeastern Community College	2003.0	893.0
43559	http://www.exploris.org/	Exploris	1998.0	171.0
43560	http://www.waynegov.com/site/default.aspx?PageID=1	Wayne County	2012.0	14.0
43561	http://www.haywoodnc.net/	Haywood County	2004.0	743.0
43562	http://www.kippcharlotte.org/	KIPP: Charlotte	2007.0	653.0
43563	http://townofscotlandneck.com/	Scotland Neck	2003.0	516.0
43564	http://www.buncombecounty.org/governing/depts/library/locations_bclaw.aspx	Buncombe County Law Library	2011.0	75.0
43565	http://www.doa.nc.gov/clearing/	Environmental Review (Clearinghouse)	2008.0	8.0
43566	http://swake.org/	Southern Wake Academy	2014.0	343.0
43567	http://www.ncdoi.com/	Insurance, Department of	1998.0	777.0
43568	http://greenlevelnc.com/	Green Level	2002.0	60.0
43570	http://www.averycountync.gov/	Avery County	2006.0	76.0
43571	http://www.townofleland.com/	Leland	2001.0	180.0
43572	http://www.hbtownhall.com	Holden Beach	1998.0	19.0
43573	http://www.ncsymphony.org/	Symphony, N.C., Division of	1998.0	407.0
43574	http://www.rockymountnc.gov/	Rocky Mount	2007.0	21.0
43575	http://www.ncsu.edu	NC State University	1997.0	446.0
43576	http://www.theidylschool.org/	The Institute for the Development of Young Leaders School	2013.0	10.0
43577	http://www.rock.k12.nc.us/site/default.aspx?PageID=1	ROCKINGHAM School	2011.0	16.0
43578	http://www.yanceycountync.gov/	Yancey County	2007.0	244.0
43579	http://www.chinagrovenc.gov/	China Grove	2004.0	225.0
43580	http://www.stokes.k12.nc.us/	STOKES School	1998.0	117.0
43581	http://chapelhillpubliclibrary.org/	Chapel Hill Public Library	2006.0	8021.0
43582	http://www.fontanalib.org/	Albert Carlton-Cashiers Community Library	2000.0	657.0
43583	https://www.jcps.k12.nc.us/	JACKSON School	2002.0	447.0
43584	http://www.townofchapelhill.org/	Chapel Hill	0.0	2821.0
43585	http://townofbunn.com/	Bunn	2010.0	8.0
43586	http://www.wilmingtonnc.gov	Wilmington	2005.0	2318.0
43587	http://www.lillingtonnc.com/	Lillington	2001.0	205.0
43588	http://www.bcpls.org	Burke County Public Library	1999.0	52.0
43589	http://www.north-wilkesboro.com/	North Wilkesboro	1998.0	1.0
43590	http://www.pamlicocc.edu/	Pamlico Community College	2006.0	89.0
43591	http://www.onslowcountync.gov/default.aspx	Onslow County	2007.0	1573.0
43592	http://www.visitplymouthnc.com/	Plymouth	2001.0	13.0
43593	http://www.townoflakelure.com/	Lake Lure	2005.0	141.0
43594	http://www.ansonschools.org	ANSON School	2007.0	23.0
43595	http://segsacademy.org/	60 Dream Avenue, Delco, NC 28436 School	2013.0	40.0
43596	http://www.buncombe.k12.nc.us/site/default.aspx?PageID=1	BUNCOMBE School	2011.0	17.0
43597	http://portal.ncdenr.org/web/deao	Environmental Assistance and Outreach	2010.0	1833.0
43598	http://www.townofbethania.org/	Bethania	2007.0	9.0
43600	http://www.wcpss.net/	WAKE School	1998.0	2132.0
43603	http://www.ncdhhs.gov/dss/	Social Services, Division of	2006.0	22.0
43604	http://www.townofboone.net/	Boone	2002.0	24.0
43605	http://www.history.ncdcr.gov/	Archives     and History	2008.0	12.0
43606	http://www.newtonnc.gov/	Newton	2003.0	500.0
43607	http://www.robesoncountylibrary.com	Robeson County Public Library	2004.0	9.0
43608	http://www.knightdalenc.gov/	Knightdale	0.0	1601.0
43609	http://www.ci.valdese.nc.us	Valdese	1998.0	93.0
43610	http://www.clevelandnc.org/jm/	Cleveland	2009.0	44.0
43611	http://www.tmsacharter.org	Triad Math and Science Academy	2008.0	121.0
43612	http://www.ci.longview.nc.us/	Long View	2005.0	31.0
43613	http://www.martincc.edu/	Martin Community College	2003.0	77.0
43614	http://hstsedu.org/	Haliwa-Saponi Tribal School	2011.0	10.0
43615	http://www.bladennc.govoffice3.com/	Bladen County	2012.0	386.0
43616	http://cityofbrevard.com/	Brevard	2001.0	404.0
43618	http://www.co.stokes.nc.us/	Stokes County	1998.0	747.0
43619	http://www.union.lib.nc.us/	Union West Branch Library	2000.0	27.0
43620	http://www.townofhobgood.com/	Hobgood	2004.0	72.0
43621	http://www.cityofgraham.com/	Graham	2002.0	444.0
43622	http://sheppardlibrary.org/home	C. D. Langston R. E. Boyd Library	2012.0	194.0
43623	http://matthewsnc.gov/	Matthews	2012.0	967.0
43624	http://www.stpaulsnc.gov	Saint Pauls	2004.0	704.0
43625	http://www.swain.k12.nc.us	SWAIN School	1998.0	998.0
43626	http://www.daviecountync.gov/index.aspx?NID=400	Cooleemee Branch Library	2013.0	446.0
43627	http://www.tcs.k12.nc.us/	THOMASVILLE School	1999.0	415.0
43628	http://www.pembrokenc.com/	Pembroke	2000.0	376.0
43629	https://www.ncdps.gov/index2.cfm?a=000003,000005	Alcohol Law Enforcement	2012.0	1399.0
43630	http://statelibrary.ncdcr.gov/lbph/index.html	Library Blind/ Physically Handicapped	2009.0	46.0
43631	http://www.warrenton-nc.com/	Warrenton	1999.0	13.0
