NodeId	NodeURL	NodeName	Year	pages
44646	http://www.co.steele.nd.us	Steele County Courthouse	2011.0	17.0
44647	http://www.nd.gov/hrms/	Human Resource Management Services	2005.0	124.0
44648	http://www.rutlandnd.com/	Rutland	2000.0	1228.0
44649	http://www.governor.nd.gov/	Governor, Office of the	2005.0	1156.0
44650	http://www.bowman.k12.nd.us/	Bowman Public Schools	1998.0	168.0
44651	http://www.dunseith.k12.nd.us/	Dunseith Public Schools	2001.0	19.0
44652	http://www.jamestown.k12.nd.us/	Jamestown Public Schools	1998.0	447.0
44653	https://www.dmr.nd.gov/oilgas/	Oil and Gas Division	2006.0	12.0
44654	http://www.gwinnernd.com	Gwinner	2006.0	195.0
44655	http://www.nd.gov/docr/	Corrections and Rehabilitation, Department of	2007.0	3.0
44656	http://www.hatton.k12.nd.us/	Hatton Public School	1998.0	0.0
44657	http://www.hopend.com/	Hope	2003.0	18.0
44658	http://fessendennd.com/	Fessenden	2006.0	14.0
44659	http://www.surreynd.org/	Surrey	2008.0	289.0
44660	http://www.shilohchristian.org/	Shiloh Chrisitian School - Bismarck	2001.0	122.0
44661	http://www.richardtonnd.com/	Richardton	2001.0	5.0
44662	http://www.mayvilleportland.com/	Mayville	2001.0	49.0
44663	http://www.ncecnorthdakota.org/	North Central Education Cooperative	2013.0	41.0
44664	http://rolla.nd.utma.com/	Rolla	2000.0	83.0
44666	http://www.granvillend.com/	Granville	2006.0	2.0
44667	http://www.belfield.k12.nd.us/	Belfield Public School	2002.0	2400.0
44668	http://www.standingrock.org/	Standing Rock	2000.0	38.0
44669	http://www.ractc.k12.nd.us	Roughrider Area Career & Tech Center	2010.0	23.0
44670	http://hillsborond.com/	Hillsboro	2001.0	63.0
44671	http://www.lamoureph.org	LaMoure County Public Health Department	2011.0	6.0
44672	http://www.montpelier.k12.nd.us/	Montpelier Public School	2002.0	58.0
44673	http://www.glenburn.us/	Glenburn	2003.0	0.0
44674	http://www.nd.gov/surplus/	Surplus Property	2006.0	28.0
44675	http://www.starkcountynd.gov	Stark County Courthouse	2012.0	392.0
44676	http://www.hillsborok12.com/	Hillsboro Public School	2011.0	40.0
44677	http://www.nd.gov/risk/	Risk Management	2005.0	70.0
44679	http://www.nd.gov/ndins/	Insurance Commissioner, Office of the	2006.0	1617.0
44680	http://www.lakota-nd.com/	Lakota	2002.0	844.0
44681	http://www.beach.k12.nd.us/	Beach Public School	2001.0	149.0
44682	http://www.visitmcleancounty.com	McLean County Courthouse	2001.0	43.0
44683	http://www.towner.k12.nd.us/	TGU-Towner School	2001.0	9.0
44684	http://www.bottineau.k12.nd.us/	Bottineau Public Schools	1998.0	525.0
44686	http://www.wellsph.org/	Wells County District Health Unit	2011.0	0.0
44687	http://emmonscounty.tripod.com	Emmons County Courthouse	2008.0	24.0
44688	http://www.st-anneschool.org/	Saint Anne School - Bismarck	2005.0	3.0
44689	http://www.warwick.k12.nd.us/	Warwick Public School	2001.0	0.0
44690	http://www.cityoftolna.com/	Tolna	2008.0	17.0
44691	http://www.psc.nd.gov/	Public Service Commission	2010.0	6430.0
44693	http://www.beulahlibrary.org	Beulah Public Library	2003.0	0.0
44694	http://www.sargent.k12.nd.us/	Sargent Central School - Forman	2002.0	72.0
44695	http://www.makotind.com/	Makoti	2009.0	29.0
44696	http://www.draytonnd.com/	Drayton	2001.0	58.0
44697	http://www.wishek.k12.nd.us/	Wishek Public School	2001.0	32.0
44698	http://www.co.walsh.nd.us/	Walsh County Courthouse	2011.0	243.0
44699	http://www.newleipzig.com/	New Leipzig	1999.0	107.0
44700	http://www.nd.gov/espb/	Education Standards and Practices Board	2005.0	170.0
44701	http://www.pickcitynd.com/800x600/index.htm	Pick City	2001.0	4.0
44702	http://www.minnewaukan.com/	Minnewaukan	2000.0	19.0
44703	http://www.ndsu.edu/	State University, North Dakota	2001.0	2848.0
44704	http://www.little-flower.k12.nd.us/	Little Flower Catholic School - Rugby	2002.0	340.0
44705	http://www.elginnd.com/	Elgin	1999.0	140.0
44706	http://www.billingscounty.k12.nd.us/	Billings County Public Schools - Medora & Fairfield	2001.0	23.0
44707	http://www.med.und.edu/family-medicine/	UND School of Medicine - Family Practice	2011.0	25.0
44708	http://www.fordvillecitynd.govoffice2.com/	Fordville	2006.0	75.0
44709	http://www.velva.net/	Velva	1999.0	19.0
44710	http://www.burkecentral.k12.nd.us/	Burke Central School	2001.0	313.0
44711	http://www.tiogand.net/	Tioga	2000.0	144.0
44712	http://www.townercountynd.com	Towner County Courthouse	2012.0	1.0
44713	http://www.cityoffargo.com/CityInfo/Departments/Library/	Southpointe Library	2006.0	125.0
44714	http://www.northstar.k12.nd.us/	North Star Public School	0.0	318.0
