NodeId	NodeURL	NodeName	Year	pages
36552	http://www.nh.gov/oep/data-center/	State Data Center	2013.0	18.0
36553	http://www.orcsd.org/	Oyster River Cooperative School District	2000.0	552.0
36555	http://admin.state.nh.us/purchasing/publicworks/pwindex.asp	Bureau of Public Works	2006.0	12.0
36556	http://www.nh.gov/gsc/	Gaming Study Commission	2009.0	9.0
36558	http://www.nh.gov/banking/	Banking Commission	2004.0	21.0
36559	http://www.canaanlibrary.org	Canaan Town Library	2006.0	48.0
36560	http://www.nh.gov/podiatry/	Podiatry, Board of Registration in	2004.0	12.0
36561	http://chesterfieldlibrary.org/	Chesterfield Public Library	2003.0	130.0
36562	http://www.wentworth-nh.org/	Wentworth	2002.0	28.0
36563	https://sites.google.com/a/jacksongrammar.org/home/	Jackson Grammar School	2010.0	50.0
36564	http://www.gilfordlibrary.org/gpl/	Gilford Public Library	2006.0	225.0
36565	http://www.inter-lakes.k12.nh.us/	Inter-Lakes Cooperative School District	1997.0	278.0
36566	http://www.rollinsford.nh.us/	Rollinsford	2000.0	33.0
36567	http://www.lebnh.net/	Lebanon	2010.0	570.0
36568	http://www.chesterlibrary.com	Chester Public Library	2009.0	2.0
36569	http://www.hooksettlibrary.org	Hooksett Public Library	2008.0	564.0
36571	http://sms.sau16.org/	Stratham Memorial School	2006.0	93.0
36572	http://www.hopkintontownlibrary.org	Hopkinton Town Library	2001.0	24.0
36573	http://orfordnh.us/	Orford	2003.0	37.0
36576	http://www.derry-nh.org/pages/derrynh_publichealth/index	Greater Derry Regional Public Health Network	2012.0	31.0
36577	http://www.canaannh.org/	Canaan	2011.0	47.0
36578	http://newdurhamlibrary.org/joomla/	New Durham Public Library	2009.0	24.0
36581	http://highschool.shaker.k12.nh.us/	Belmont High School	2003.0	9.0
36582	http://www.sau41.org/	Hollis - Brookline Cooperative School District	2009.0	1033.0
36583	http://www.northhampton-nh.gov	North Hampton	2004.0	198.0
36584	http://www.nh.gov/safety/divisions/fstems/ems/	Emergency Medical Services Bureau	2006.0	38.0
36585	http://www.nhrs.org/	Retirement System	2003.0	292.0
36586	http://townofdublin.org/	Dublin	2002.0	316.0
36587	http://www.centerharbornh.org/	Center Harbor	2003.0	34.0
36588	http://www.townofsurry.org/	Surry	2008.0	22.0
36589	http://www.unh.edu/	University of New Hampshire	1997.0	4080.0
36590	http://admin.state.nh.us/purchasing/	Bureau of Purchase and Property	2002.0	56.0
36592	http://nottingham.k12.nh.us/	Nottingham School	1998.0	129.0
36593	http://www.hampton.lib.nh.us	Lane Memorial Library	1998.0	2747.0
36594	http://www.alton.nh.gov/library.asp	Gilman Library	2005.0	174.0
36595	http://www.bghs.org/	Bishop Guertin High School	1998.0	229.0
36596	http://www.kimballlibrary.com/kimball/	Kimball Library	2010.0	470.0
36597	http://www.nhlottery.com/	Lottery Commission	2004.0	298.0
36598	http://www.sau88.net/	Lebanon School District	2007.0	183.0
36599	http://www.sau50.org/	New Castle School District	2008.0	233.0
36600	http://www.belmontpubliclibrary.org/belmont/	Belmont Public Library	2012.0	832.0
36601	http://www.milton.k12.nh.us	Nute Library	2000.0	10.0
36602	http://www.nh.gov/readynh/	Ready NH	2010.0	11.0
36603	http://rms.hanovernorwichschools.org/	Frances Richmond Middle School	2013.0	40.0
36604	http://www.nh.gov/dot/org/operations/turnpikes/ezpass/	E-ZPass Program	2010.0	3.0
36605	http://www.nh.gov/nhmhb/	Manufactured Housing Board	2004.0	11.0
36606	http://admin.state.nh.us/budget/	Budget Office	2002.0	12.0
