NodeId	NodeURL	NodeName	Year	pages
37361	http://bergenfieldboro.com/	Bergenfield	2001.0	5583.0
37363	http://overbrookhs.com/	Overbrook High School	2002.0	286.0
37364	http://www.aclink.org/Admin/Main/Municipal.asp	Port Republic Borough	2007.0	2.0
37365	http://www.vernontwp.com/	Vernon Township	2000.0	891.0
37366	http://www.hopatcong.org/	Hopatcong	1998.0	332.0
37367	http://www.teamschools.org	TEAM Academy Charter School (7325 - 965)	2007.0	107.0
37368	http://www.paulsboro.k12.nj.us	PAULSBORO PUBLIC SCHOOLS (4020)	2000.0	207.0
37370	http://www.raritanval.edu/	Raritan Valley Community                      College	1997.0	1068.0
37374	http://www.hhschools.org/SitePages/Home.aspx	Hasbrouck Heights Board of Education (2080)	2012.0	5.0
37375	http://sbfd1.org/	South Brunswick Fire District #1	2000.0	11.0
37376	http://www.bradleybeachnj.gov/	Bradley Beach	2013.0	327.0
37377	http://www.co.cumberland.nj.us/content/173/211/809.aspx	Shiloh Borough	2008.0	9.0
37378	http://www.seasideparknj.org/	Seaside Park	1999.0	437.0
37379	http://www.folsomschool.org/	Folsom Borough School District (1540)	2002.0	968.0
37380	http://www.cityofgloucester.org/	Gloucester	2005.0	49.0
37381	http://www.vtsd.com	Vernon Township School District (5360)	2002.0	1061.0
37382	http://lmxac.org/mata/main.php	Matawan-Aberdeen Public Library	2013.0	2.0
37384	http://www.holmdeltownship-nj.com/	Holmdel	2006.0	526.0
37385	http://www.woodburyhtselem.com	Woodbury Heights Public School District (5870)	2001.0	43.0
37386	http://www.hanoverpark.org	Hanover Park High School	0.0	936.0
37387	http://www.sterling.k12.nj.us	Sterling School District (5035)	1998.0	176.0
37388	http://www.salemcountynj.gov/	Salem County	2004.0	810.0
37389	http://www.pthsd.k12.nj.us/sch/phhs/home.html	Parsippany Hills High School	2000.0	103.0
37390	http://www.co.hunterdon.nj.us/mun/lebnboro.htm	Lebanon Borough	1998.0	31.0
37391	http://www.hamiltonschools.org	HAMILTON TOWNSHIP SCHOOL DISTRICT (1940)	2001.0	110.0
37392	http://www.ridgefieldschools.com	Ridgefield Public Schools (4370)	2004.0	7.0
37393	http://www.ridgefieldpark.org/	Ridgefield Park	1999.0	498.0
37394	http://alj.clarkschools.org	Arthur L. Johnson High School	2002.0	372.0
37395	http://www.co.cape-may.nj.us/	Cape May County	1998.0	283.0
37397	http://wanaqueps.org	Wanaque Public Schools (5440)	2013.0	355.0
37398	http://www.pps-nj.us/pps/schools/high	Pleasantville High School	0.0	2.0
37399	http://www.bernardsvilleboro.org/	Bernardsville	2001.0	106.0
37401	http://www.magnolia-nj.org/contentSpecific/currentResidents.htm	Magnolia	2007.0	2.0
37402	http://www.btschools.org/site/default.aspx?PageID=1	Bethlehem Township Schools (0370)	2012.0	40.0
37403	http://alexandria-nj.us/	Alexandria Township	2003.0	39.0
37404	http://www.academycharterhs.org	Academy Charter High School (6010 - 910)	2006.0	133.0
37406	http://www.frelinghuysenschool.org	FRELINGHUYSEN TOWNSHIP SCHOOL DISTRICT (1670)	2011.0	50.0
37407	http://www.jpstevens.org	J P Stevens High School	1999.0	1.0
37408	http://www.milfordpublicschool.com	Milford Boro (3180)	2007.0	525.0
37409	http://www.springfieldschools.com	Springfield Public Schools (5000)	2001.0	8.0
37410	http://internationalcs.org	International Charter School of Trenton (6810 - 940)	2010.0	21.0
37411	http://www.eastamwell.org	EAST AMWELL TOWNSHIP (1160)	2000.0	435.0
