NodeId	NodeURL	NodeName	Year	pages
39273	http://www.sos.state.nm.us/	Secretary of State	1997.0	35.0
39274	http://planet.cnm.edu/library/	Central New Mexico Community College - Libraries	2006.0	0.0
39276	http://www.bosquefarmspubliclibrary.com	Bosque Farms Public Library	2010.0	9.0
39277	http://www.osi.state.nm.us/	Insurance Division, Office of Superintendent of Insurance	2013.0	9.0
39278	http://www.nmfilm.com/	Film Office, New Mexico	2000.0	168.0
39279	http://sde.state.nm.us/	Department of Education	1996.0	31.0
39280	http://www.unm.edu/~maxwell/	Maxwell Museum of Anthropology	1997.0	60.0
39282	http://www.emnrd.state.nm.us/nmparks/	State Parks	1997.0	1.0
39283	http://vtsv.org/	Taos Ski Valley	1999.0	1019.0
39284	http://nmdaweb.nmsu.edu/	Agriculture, New Mexico Department of	1998.0	25.0
39285	http://www.villageofhatch.org	Hatch	2002.0	35.0
39286	http://www.rooseveltcounty.com/	Roosevelt County	2001.0	140.0
39288	http://www.abqboychoir.org/	Albuquerque Boy's Choir	2004.0	430.0
39289	http://manzano.cabq.gov/cmaqpublic	Albuquerque - Daily pollen count	0.0	125.0
39290	http://www.fortsumner.net/content.asp?custcomkey=87568&categorykey=87571&pn=page	Fort Sumner Public Library	0.0	7.0
39291	http://www.sandovalcounty.com/	Sandoval County, New Mexico	2000.0	793.0
39292	http://www.catroncounty.us/	Catron	2013.0	113.0
39293	http://rgis.unm.edu/	RGIS - New Mexico Resource Geographic Information System Program	1998.0	9.0
39294	http://www.loslunasnm.gov/	Los Lunas, Village of	2004.0	563.0
39295	http://www.dulceschools.com	Dulce School District	2001.0	0.0
39296	http://www.laschools.net/site/default.aspx?PageID=1	Los Alamos School District	2012.0	3.0
39297	http://www.rld.state.nm.us/pharmacy/	Pharmacy, New Mexico Board of	2007.0	12.0
39298	http://www.smcounty.net	San Miguel	2001.0	40.0
39299	http://www.dvs.state.nm.us/	Veterans' Services, New Mexico Department of	2006.0	146.0
39300	http://www.nmmb.state.nm.us/	Medical Board, New Mexico	2004.0	29.0
39301	http://www.torcnm.org/	Truth Or Consequences	2008.0	12.0
39302	http://www.nmcpr.state.nm.us/nmac/	Administrative Code, New Mexico (NMAC)	2001.0	3.0
39303	http://www.nmlbonline.com/	Livestock Board, New Mexico	2008.0	90.0
39304	http://geoinfo.nmt.edu/	Geology and Mineral Resources, New Mexico Bureau of	1996.0	1348.0
39306	http://taos.unm.edu/index.html	University of New Mexico - Taos	2009.0	9.0
39307	http://www.clovis.edu/	Clovis Community College	2002.0	510.0
39308	http://www.corrections.state.nm.us/	Corrections Department, State of New Mexico	2002.0	48.0
39309	http://www.reserve.k12.nm.us/	Reserve School District	2001.0	24.0
39310	http://www.silverschools.org/	Silver School District	2008.0	285.0
39312	http://www.pecos.k12.nm.us/	Pecos School District	2000.0	33.0
39313	http://www.tomudall.senate.gov/	Tom Udall, U.S. Senator from New Mexico	2009.0	333.0
39314	http://www.cdhh.state.nm.us/	Deaf and Hard of Hearing Persons, New Mexico Commission for	2006.0	64.0
39315	http://www.indianartsandculture.org/	Museum of Indian Arts and Culture	2006.0	218.0
39316	http://www.generalservices.state.nm.us/stateprinting/	Printing and Graphic Services	2011.0	21.0
39317	http://sheriffalerts.com/cap_office_disclaimer.php?office=55290&fwd=aHR0cDovL2NvbW11bml0eW5vdGlmaWNhdGlvbi5jb20vY2FwX21haW4ucGhwP29mZmljZT01NTI5MA==	Sex Offender Information, Department of Public Safety	2013.0	4.0
39318	http://seconddistrictcourt.nmcourts.gov/	District Court, 2nd Judicial	2012.0	3.0
39319	http://www.santafelibrary.org/	Oliver La Farge Library	2003.0	26.0
39321	http://www.palaceofthegovernors.org/index.php	Palace of the Governors	2007.0	39.0
39322	http://www.nmjustice.net/website/controller.php	Justice Network, New Mexico	2006.0	1.0
39323	http://www.townofsilvercity.org/	Silver City, Town of	2001.0	377.0
39324	http://www.portalesnm.gov/	Portales	2013.0	644.0
39326	http://www.internationalfolkart.org/	Museum of International Folk Art	2006.0	27.0
39327	http://www.nnmt.net/	Mora High School	1999.0	12.0
39328	http://www.hsd.state.nm.us/mad/index.html	Medicaid, Medical Assistance Division, HSD, New Mexico	2006.0	1.0
39329	http://www.newmexico.gov/veterans/	Veterans' Service Commission	0.0	2.0
39330	http://alamo.nmsu.edu/	New Mexico State University at Alamogordo	0.0	271.0
39331	http://rah.gmcs.k12.nm.us/	Ramah High School	2003.0	19.0
39332	http://www.nmrhca.state.nm.us/	Retiree Healthcare Authority, New Mexico	1999.0	9.0
39334	http://www.tularosa.k12.nm.us/	Tularosa School District	2003.0	326.0
39335	http://pearce.house.gov/	Steve Pearce, U.S. Representative from New Mexico's 2nd District	2004.0	519.0
39336	http://exponm.com/	Expo New Mexico	2004.0	180.0
39337	http://riometro.org/	RailRunner Express	2008.0	1169.0
39338	http://www.artesianmlibrary.org	Artesia Public Library	2009.0	2.0
39339	http://www.nmlegis.gov/lcs/	Legislature, New Mexico	2008.0	789.0
39341	http://www.generalservices.state.nm.us/	General Services Department, New Mexico	2007.0	208.0
39342	http://www.claytonnewmexico.net/	Clayton, City of	2004.0	78.0
39343	http://www.generalservices.state.nm.us/riskmanagement/	Risk Management Division	2011.0	52.0
39344	http://www.nmjsc.org/	Judicial Standards Commission	2009.0	17.0
39345	http://www.cnm.edu/depts/taxhelp	Tax Help NM	2012.0	1072.0
39346	http://www.taoscounty.org	Taos	2003.0	1285.0
39349	http://www.sipi.edu/	Southwestern Indian Polytechnic Institute	2008.0	125.0
39350	http://www.cabq.gov/onlinesvcs/crimestats/	Albuquerque Crime Statistics	2003.0	2.0
39351	http://www.12thdistrict.net/	District Court, 12th Judicial	2004.0	31.0
39352	http://www.lincolncountynm.net	Lincoln	2003.0	52.0
39353	http://www.jvps.org/	Jemez Valley School District	2002.0	316.0
39354	http://www.hatch.k12.nm.us/	Hatch Valley School District	2002.0	80.0
39355	http://www.workerscomp.state.nm.us/	Workers' Compensation Administration, State of New Mexico	2006.0	73.0
39356	http://www.socorronm.gov	Socorro	2004.0	204.0
39358	http://www.nmborder.com/	Border Authority, New Mexico	2004.0	77.0
39359	http://www.cyfd.org/	Children, Youth and Families Department, New Mexico	2001.0	327.0
39360	http://www.portalesschools.com/	Portales School District	2000.0	7.0
39362	http://www.unm.edu/libraries/	Libraries at UNM	2008.0	2.0
39364	http://www.nmstatelands.org/default.aspx	State Land Office, New Mexico	2005.0	260.0
39365	http://placitaslibrary.com	Placitas Community Library	2004.0	24.0
39366	http://columbusvillage.lib.nm.us/	Columbus Village Library	2005.0	10.0
39367	http://www.cms.k12.nm.us	Clovis School District	1998.0	35.0
39369	http://toh.gmcs.k12.nm.us/	Tohatchi High School	2003.0	79.0
39370	http://www.santafecountynm.gov/	Santa Fe County	2012.0	1002.0
39371	http://www.phonebook.state.nm.us/	Government Telephone Directory, State of New Mexico	2003.0	1.0
39372	http://grants.nmsu.edu/	New Mexico State University at Grants	1996.0	659.0
39373	http://talpacc.bravehost.com	Talpa Community Center Library	2014.0	2.0
39374	http://attorneys.statelocalgov.net/all/new-mexico	New Mexico Attorney Database	2014.0	10266.0
39375	http://www.rrps.net/	Rio Rancho School District	2001.0	1441.0
39376	https://mylocalgov.com/Unavailable/NoLongerAvailable.htm	Catron County	2012.0	1.0
39377	http://www.nmaging.state.nm.us/	Aging and Long-Term Services Department, New Mexico	2000.0	57.0
39380	http://www.delnorteknights.com/	Del Norte High School	2001.0	686.0
39381	http://lcps.k12.nm.us/	Las Cruces School District	1998.0	5556.0
39382	http://www.newmexico.gov/advsearch.php	Search New Mexico State Government	2005.0	88.0
39384	http://www.co.eddy.nm.us/	Eddy County	2003.0	85.0
39385	http://fhs.fms.k12.nm.us/	Farmington High School	2001.0	92.0
39386	http://www.abqarts.org/	Albuquerque Arts Alliance	1998.0	34.0
39387	http://www.bsin.k12.nm.us	Bloomfield School District	2000.0	353.0
39391	http://www.sfps.info/	Santa Fe School District	2008.0	709.0
39392	http://lascruces.lcps.k12.nm.us/	Las Cruces High School	2004.0	56.0
39395	http://www.cvrc.state.nm.us/	Crime Victims Reparation Commission, New Mexico	2006.0	53.0
39398	http://library.losalamosnm.us	Los Alamos County Library System	0.0	785.0
39399	http://www.cybercardinal.com/	Las Vegas City School District	2001.0	95.0
39400	http://www.cmsbears.org/	Cloudcroft School District	2002.0	178.0
39401	http://www.la-panthers.org/	Lake Arthur School District	2001.0	0.0
39402	http://www.hed.state.nm.us/	Education Department, Higher	2005.0	342.0
