NodeId	NodeURL	NodeName	Year	pages
36065	http://bclibrary.org/	Boulder City Library District	2002.0	2489.0
36066	http://www.tmcc.edu/highschool/	Tmcc Magnet High School	2007.0	1.0
36067	http://funeral.nv.gov/	Funeral Board, Nevada State	0.0	16.0
36068	http://www.nevadaddcouncil.org/	Developmental Disabilities Council, Nevada	2007.0	1443.0
36069	https://por.shr.nevada.edu/psp/spporprd/?cmd=login&errorPg=ckreq&languageCd=ENG	Class Schedules	0.0	26.0
36071	http://podiatry.state.nv.us/	Podiatry State Board	2001.0	20.0
36072	http://www.csn.edu/pages/660.asp	Catalog / Schedule / Calendar	2007.0	568.0
36073	http://defcomp.nv.gov/	Deferred Compensation Program, Nevada Public Employees	2013.0	40.0
36074	http://tmrpa.org/	Truckee Meadows Regional Planning Agency	2001.0	200.0
36075	http://nvsos.gov/index.aspx?page=415	Start a Business	2010.0	2277.0
36077	http://leg.state.nv.us/division/legal/	Legal Division	2010.0	1.0
36078	http://it.nv.gov/	Information Technology, (Enterprise IT Services, Dept. of Administration)	2012.0	107.0
36080	http://www.lyon-county.org/index.aspx?nid=238	Dayton Valley Branch Library	2009.0	693.0
36081	http://motorpool.nv.gov	Fleet Services Division	2013.0	51.0
36082	http://www.nevadajudiciary.us/index.php/judicialselection	Judicial Selection, Commission on	2010.0	1033.0
36083	https://nevadatreasurer.gov/index.htm	Treasurer, Office of the State	2007.0	122.0
36085	http://www.doe.nv.gov/boards_commissions_councils/commissions_and_councils/commission_on_professional_standards/commission_on_professional_standards/	Professional Standards, Commission on	2013.0	20.0
36086	http://www.doe.nv.gov/apac_main_page/	Assessment, Program Accountability & Curriculum	2013.0	3.0
36087	http://nv.gov/	State Government	2002.0	2188.0
36088	http://lawlibrary.nevadajudiciary.us/selfhelp/nvprose.php	Self Help Resources	2010.0	2.0
36089	http://purchasing.state.nv.us/	Purchasing	2001.0	137.0
36090	http://www.dmvnv.com/nvdl.htm	Driver Licensing, Nevada	2002.0	120.0
36091	http://www.climate.unr.edu	Climate Office, Nevada State	2005.0	11.0
36093	http://www.nevadadot.com/about_ndot/ndot_divisions/planning/planning.aspx	Planning	2013.0	149.0
36095	http://www.co.nye.nv.us	Nye County Website	2001.0	988.0
36096	http://www.tmcc.edu/schedule/	Class Schedules	2009.0	12.0
36097	http://www.wnc.edu/	Western Nevada College	2007.0	6203.0
36098	http://nsbaidrd.state.nv.us/?page=1	Architecture, Interior Design and Residential Design; Nevada State Board of	2009.0	67.0
36099	http://admin.nv.gov/	Administration, Department of	2012.0	41.0
36100	http://landercountynv.org/communities-profiles/austin	Austin	2011.0	8.0
36101	http://www.cityoffallon.com	City of Fallon	2001.0	235.0
36102	http://www.washoe.k12.nv.us/hug/	Procter R. Hug High School	2001.0	16.0
36103	http://supreme.nvcourts.gov/Find_a_Court/Municipal_Courts/	Municipal Courts	2014.0	12.0
36104	http://hr.nv.gov/	Human Resource Management	2013.0	161.0
36106	http://lands.nv.gov/	State Lands, Division of	2002.0	3.0
36109	http://www.washoe.k12.nv.us/northvalleyshs/	North Valleys High School	2002.0	18.0
36110	http://explorecarlinnv.com/	City of Carlin	2001.0	121.0
36111	http://www.ivgid.org	Incline Village (GID)	1999.0	338.0
36112	http://nvsos.gov/	Secretary of State, Office of the	2007.0	1833.0
36113	http://www.nevadadot.com/About_NDOT/NDOT_Divisions/Planning/bikeped/bicycle.aspx	Bicycle Advisory Board, Nevada	2013.0	4.0
36114	http://controller.nv.gov/	Controller, Office of the State	2002.0	2.0
36115	http://schools.ccsd.net/sierravista/	Sierra Vista High School	0.0	3.0
36116	http://www.red.state.nv.us/	Real Estate	2001.0	16.0
36117	https://nevadatreasurer.gov/boardoffinance.htm	Finance, Board of	2007.0	0.0
36120	http://serc.nv.gov/	Emergency Response Commission, Nevada State	2004.0	16.0
36121	http://www.clarkcountynv.gov/	Clark County Website	2009.0	2538.0
36122	http://www.co.eureka.nv.us/crescent/crescent.htm	Crescent Valley	2001.0	4.0
36124	http://leg.state.nv.us/division/audit/	Audit Division	2010.0	9.0
36125	http://www.nbmg.unr.edu/	Mines and Geology, Bureau of	1996.0	34.0
36126	http://www.nvbar.org/	Bar Examiners of Nevada	1998.0	542.0
36127	http://dhhs.nv.gov/autism_main.htm	Autism Spectrum Disorders, Nevada Commission on	2010.0	0.0
36128	http://www.laborcommissioner.com/	Labor Commissioner	2002.0	74.0
36129	http://license.k3systems.com/LicensingPublic/app?page=main&service=page	Osteopathic Medicine Board	0.0	85.0
36130	http://www.wnc.edu/studentservices/admissions/	Admissions	2007.0	20.0
36131	http://www.cityofnorthlasvegas.com/Departments/Library/Library.shtm	North Las Vegas Library District	2007.0	10.0
36132	http://emrb.state.nv.us/	Employee Management Relations Board	2001.0	41.0
36133	http://www.dmvnv.com/mchome.html	Motor Carrier Division	2002.0	119.0
36134	http://www.nvrepository.state.nv.us/index.shtml	General Services Division	2007.0	37.0
36135	http://www.yerington.net/	City of Yerington	2001.0	255.0
36136	http://nevadaculture.org/	Tourism and Cultural Affairs, Department of	2001.0	2260.0
36138	http://detr.state.nv.us/worforce_investment_pages/gov_wib.htm	Governor's Workforce Investment Board	2007.0	13.0
36139	http://oriental_medicine.state.nv.us	Oriental Medicine State Board	2001.0	0.0
36140	http://www.nsc.nevada.edu/	Nevada State College	2000.0	766.0
36141	http://veterans.nv.gov/	Veteran's Services, Nevada Office of	2005.0	482.0
36142	http://jic.nv.gov/	Joint Information Committee, JIC	2012.0	20.0
36143	http://www.bandg.state.nv.us/	Buildings and Grounds	2001.0	1.0
36144	http://dental.nv.gov/	Dental Examiners of Nevada, Board of	2014.0	39.0
36145	http://nvbhme.org	Homeopathic Medical Examiners Board	2013.0	76.0
36146	http://nevadaathletictrainers.nv.gov/	Athletic Trainers, Nevada State Board of	2005.0	20.0
