NodeId	NodeURL	NodeName	Year	pages
39837	http://publicprep.org/	GIRLS PREPARATORY CHARTER SCHOOL OF NEW YORK	2009.0	712.0
39838	http://www.edline.net/pages/lyncourt_school	Lyncourt  Union Free School District	2010.0	129.0
39839	http://www2.erie.gov/	Erie, County of	1998.0	964.0
39841	http://www.northbellmorelibrary.org	North Bellmore Public Library	2006.0	24.0
39842	http://www.plattsburghlib.org	Plattsburgh Public Library	2004.0	17.0
39843	http://www.tburg.k12.ny.us/	Trumansburg Central School District	1999.0	1640.0
39844	http://www.townofsaratoga.com	Saratoga, Town of	2002.0	276.0
39845	http://www.bryantlibrary.org/	Bryant Library	2008.0	652.0
39846	http://pearlriver.org/education/district/district.php?sectionid=1	PEARL RIVER HIGH SCHOOL	2009.0	3.0
39847	http://trivalleycsd.org	TRI-VALLEY ELEMENTARY SCHOOL	0.0	561.0
39848	http://www.mtplcsd.org/	HAWTHORNE ELEMENTARY SCHOOL	2003.0	480.0
39849	http://wynantskillufsd.org	GARDNER-DICKINSON SCHOOL	2001.0	83.0
39850	http://salemcsd.org	SALEM ELEMENTARY SCHOOL	2008.0	27.0
39851	http://esmonline.org	EASTPORT-SOUTH MANOR JUNIOR SENIOR HIGH SCHOOL	0.0	863.0
39852	http://www.nypl.org/locations/seward-park	Seward Park Library	2010.0	1.0
39853	http://www.wyandanch.k12.ny.us/	Wyandanch Union Free School District	2004.0	82.0
39854	http://henhudschools.org	FRANK G LINDSEY ELEMENTARY SCHOOL	0.0	1296.0
39855	http://www.wilmingtoncooperlibrary.org/	Wilmington E.M. Cooper Memorial Public Library	2008.0	85.0
39857	http://www.newburghlibrary.org	Newburgh Free Library	1998.0	118.0
39858	http://lbeach.org	LINDELL BOULEVARD SCHOOL	2000.0	442.0
39859	http://www.onlib.org/web/locations_hours/branches/soule.htm	Soule Branch Library	2010.0	2.0
39861	http://www.townoflewiston.us	Lewiston, Town of	2004.0	65.0
39862	http://www.roejanlibrary.org/	Roeliff Jansen Community Library Association	2004.0	43.0
39863	http://www.shandaken.us	Shandaken, Town of	2004.0	145.0
39864	http://www.northsalemny.org	North Salem, Town of	2001.0	211.0
39865	http://www.lymefreelibrary.org	Lyme Free Library	2004.0	1.0
39866	http://www.mahopaclibrary.org	Mahopac Public Library	1998.0	147.0
39868	http://www.canandaiguanewyork.gov/	Canandaigua, City of	2006.0	191.0
39869	http://www.communitylibrary.org	Mastics-Moriches-Shirley Community Lib	1998.0	346.0
39870	http://www.albanypubliclibrary.org	Albany Public Library - Main Library	1998.0	262.0
39871	http://www.erie.gov/akron/	Akron, Village of	2001.0	113.0
39873	http://www.greenecsd.org/	Greene Central School District	2002.0	156.0
39874	http://villagemedina.org/content	Medina, Village of	2006.0	466.0
39875	http://mechanicville.org	MECHANICVILLE ELEMENTARY SCHOOL	0.0	515.0
39876	http://www.schenectady.k12.ny.us/	Schenectady City School District	1999.0	499.0
39877	http://www.waterfordny.org	Waterford, Village of	2003.0	223.0
39878	http://www.ig.ny.gov/	Inspector General, Office of the	2012.0	12.0
39879	http://www.cornwallny.com/webpages/home/index.asp	Cornwall, Town of	2007.0	0.0
39880	http://www.townofnewpaltz.org/	New Paltz, Town of	2002.0	1991.0
39881	http://bayshoreschools.org	BROOK AVENUE ELEMENTARY SCHOOL	0.0	0.0
39882	http://www.nysca.org/	Arts, Council on	0.0	13.0
39883	http://www.weedsport.org/	Weedsport Central School District	2008.0	1070.0
