NodeId	NodeURL	NodeName	Year	pages
45215	http://www.serveohio.org/	Commission on Service and Volunteerism	0.0	59.0
45217	http://watchdog.ohio.gov/	Inspector General	0.0	29.0
45218	http://elc.ohio.gov/	Elections Commission	2004.0	28.0
45219	http://www.ci.moraine.oh.us/	Moraine (City)	2000.0	858.0
45220	http://www.ohioturnpike.org/	Turnpike Commission	1998.0	128.0
45221	http://www.cityofwarrensville.com/home	Warrensville Heights (City)	2013.0	129.0
45222	http://www.com.ohio.gov/	Commerce	2005.0	60.0
45223	http://www.granvillelibrary.org	Granville Public Library	2001.0	425.0
45224	http://statenews.org/	Statehouse News Bureau	1998.0	14699.0
45225	http://www.libertycenterlibrary.org	Liberty Center Public Library	2004.0	48.0
45226	http://www.43420.org/	Fremont (City)	2011.0	58.0
45227	http://www.avonlake.org/	Avon Lake (City)	2000.0	387.0
45228	http://ci.xenia.oh.us/	Xenia (City)	1998.0	543.0
45229	http://www.jacksonmilton.k12.oh.us/school_home.aspx?schoolid=1	Jackson Milton High School	2007.0	3584.0
45230	http://www.co.miami.oh.us/	Miami County	2000.0	594.0
45231	http://homelandsecurity.ohio.gov/	Homeland Security	2004.0	4.0
45232	http://cardingtonlibrary.org	Cardington-Lincoln Public Library	2011.0	176.0
45234	http://www.southbulldogs.com/	South Urban Academy	2006.0	248.0
45236	http://www.villageofbutler.com/	Butler (Village)	2004.0	10.0
45238	http://www.cityofavon.com/	Avon (City)	2000.0	413.0
45239	http://www.ohioschoolforthedeaf.org/	School for the Deaf	2000.0	528.0
45240	http://www.hanoverohio.net/	Hanover (Village)	2007.0	28.0
45242	http://www.collegeadvantage.com/	Tuition Trust Authority	2000.0	95.0
45243	http://www.belmontcountyohio.org/	Belmont County	2001.0	14.0
45244	http://www.orgsites.com/oh/fowlertwp/index.html	Fowler Township (Trumbull County)	2013.0	10.0
45245	http://www.rrcity.com/	Rocky River (City)	1998.0	170.0
45246	http://www.vanwert.org/	Van Wert (Village)	1998.0	66.0
45247	http://www.miamitrace.k12.oh.us/protected/GeneralError.aspx?aspxerrorpath=/school_home.aspx	Miami Trace High School	0.0	3.0
45248	http://www.trumbull.kent.edu	Kent State University-Trumbull	1996.0	3965.0
45250	http://www.warsawohio.us/	Warsaw (Village)	2003.0	16.0
45251	http://www.mt-gilead.lib.oh.us	Mt Gilead Public Library	2001.0	152.0
45252	http://www.ci.pickerington.oh.us/	Pickerington (City)	1998.0	172.0
45253	http://www.canalfultonlibrary.org	Canal Fulton Public Library	2003.0	1268.0
45254	http://www.upper-sandusky.lib.oh.us	Upper Sandusky Community Library	2002.0	15.0
45255	http://www.massillonohio.com/	Massillon (City)	1998.0	42.0
45256	http://www.co.ottawa.oh.us/	Ottawa County	2001.0	19.0
45257	http://www.circlevillecityschools.org/	Circleville High School	2002.0	1951.0
45258	http://www.athenshigh.org/	Athens High School	2002.0	45.0
45260	http://www.uc.edu	University of Cincinnati	1998.0	1456.0
45261	http://ochla.ohio.gov/	Hispanic/Latino Affairs Commission	2004.0	456.0
45262	http://www.washingtontwp.org/	Washington Township (Montgomery County)	1998.0	6571.0
45263	http://www.berea.k12.oh.us/site/default.aspx?domainid=169	Berea High School	2011.0	34.0
45264	http://www.richlandcountyoh.us/	Richland County	2003.0	6.0
45268	http://www.clydeohio.org/	Clyde (City)	1998.0	19.0
45269	http://www.highlandschools.org/high-school	Highland High School	2009.0	1663.0
45270	http://www.bradfordpubliclibrary.org/	Bradford Public Library	2007.0	80.0
45271	http://www.newlexington.org/	New Lexington (City)	2001.0	23.0
45272	http://www.orangevillage.com/	Orange (Village)	1998.0	116.0
45276	http://columbus.gov/	Columbus (City)	2001.0	1995.0
45278	http://www.trurotwp.org/	Truro Township (Franklin County)	2001.0	100.0
45279	http://www.huntingvalley.net/	Hunting Valley (Village)	2001.0	73.0
45280	http://www.cityofwillowick.com/	Willowick (City)	2005.0	100.0
45281	http://www.edon-ohio.com/	Edon (Village)	2006.0	11.0
45283	http://www.southlebanonohio.org/	South Lebanon (City)	2001.0	27.0
45286	http://www.villageofholgate.com/	Holgate (Village)	2008.0	10.0
45288	http://www.newlondonohio.com/	New London (Village)	1998.0	31.0
45289	http://www.villageoffayette.com/	Fayette (Village)	2001.0	2.0
45290	http://www.marion.lib.oh.us	Marion Public Library	2003.0	400.0
45292	http://www.clayton.oh.us/	Clayton (City)	1998.0	479.0
45293	http://www.fcf.ohio.gov/	Family and Children First	2009.0	143.0
