NodeId	NodeURL	NodeName	Year	pages
46688	http://www.eagletownisd.org/	Eagletown Public Schools	2011.0	338.0
46689	http://www.ok.gov/oesc_web/	Employment Security Commission (0290)	2008.0	161.0
46691	http://www.binger-oney.k12.ok.us/	Binger-Oney Public Schools	2001.0	371.0
46692	http://www.nwosu.edu	Northwestern Oklahoma St. University (0505)	1999.0	2418.0
46693	http://www.westville.k12.ok.us/	Westville Public School	2001.0	6239.0
46694	http://www.ocisales.com/	Oklahoma Correctional Industries	2005.0	104.0
46695	https://www.redlandscc.edu/	Redlands Community College (0241)	2002.0	641.0
46696	http://src.k12.ok.us/	South Rock Creek Public School	2009.0	18.0
46697	http://www.crescentok.com/	Crescent Public Schools	2002.0	20.0
46698	http://www.checotah.k12.ok.us/	Checotah Public Schools	2001.0	645.0
46699	http://www.ci.edmond.ok.us/	Edmond	2000.0	6.0
46700	http://www.bartlesville.k12.ok.us/	Bartlesville Public School District	2000.0	16.0
46701	http://www.okhouse.gov	House of Representatives (0422)	2004.0	9.0
46702	http://www.haworth.k12.ok.us/	Haworth Public Schools	1999.0	974.0
46705	http://www.laverne.k12.ok.us/	Laverne Public Schools	2000.0	452.0
46706	http://www.law.ou.edu/	University of Oklahoma Law Center (0761)	1997.0	1299.0
46708	http://ok.gov/dcs/	Capital Assets Managment, Division- DCAM (0580)	2006.0	1248.0
46709	http://www.haywood.k12.ok.us/	Haywood Public School	2008.0	207.0
46711	http://www.chandler.k12.ok.us/	Chandler Public Schools	2002.0	430.0
46712	http://www.newkirkpl.okpls.org	Newkirk Public Library	2006.0	2.0
46713	http://www.jenksps.org/	Jenks Public Schools	2003.0	3226.0
46714	http://www.tonkawa.k12.ok.us/	Tonkawa Schools	0.0	355.0
46715	http://www.omhof.com/	Music Hall of Fame	2007.0	72.0
46716	http://www.poncacityok.com/	Ponca City	2000.0	1.0
46717	http://www.sweetwater.k12.ok.us/	Sweetwater Public School	2008.0	59.0
46718	http://www.davisokla.com/	Davis	2000.0	2.0
46719	http://www.prague.k12.ok.us/	Prague Public Schools	2006.0	957.0
46720	http://www.buffalo.k12.ok.us/	Buffalo Public Schools	2001.0	4.0
46721	http://www.grandfield.k12.ok.us/	Grandfield Public Schools	2001.0	10.0
46722	http://www.ok.gov/odol/	Department of Labor	2008.0	101.0
46723	http://www.carney.k12.ok.us/	Carney Public Schools	2001.0	264.0
46724	http://www.adacougars.net/custom/index.php	Ada City Schools	2012.0	116.0
46725	http://www.collinsville.k12.ok.us/	Collinsville Public Schools	1999.0	19.0
46726	http://www.lg.k12.ok.us/	Locust Grove Public Schools	2002.0	127.0
46727	http://www.swosu.edu/sayre/	Southwestern Oklahoma State University	1997.0	2.0
46728	http://www.uco.edu/	UCO - University of Central Oklahoma (0120)	1997.0	120.0
46729	http://www.kiowa.k12.ok.us/	Kiowa Public School	2001.0	24.0
46730	http://www.madillok.com/	Madill Public Schools	1998.0	123.0
46731	http://www.oklegislature.gov/	Legislative Service Bureau (0423)	2010.0	1252.0
46733	http://www.blued.org/	Walters Public Schools	2001.0	1042.0
46734	http://www.tulsalibrary.org/	South Broken Arrow Library	1998.0	1304.0
46735	http://www.reydonps.k12.ok.us/	Reydon Public Schools	2009.0	1.0
46736	http://www.owcc.state.ok.us/	Workers' Compensation Court (0369)	2002.0	54.0
46737	http://www.oklahomacentennial.com/	Centennial Commission	2001.0	1.0
46739	http://midway.k12.ok.us/	Midway Public Schools	2010.0	2.0
46741	http://www.courthouse.kay.ok.us/home.html	Kay	1999.0	1035.0
46742	http://www.thevillageok.org/	The Village	2002.0	51.0
46743	http://www.opers.ok.gov/	Public Employees Retirement System (0515)	2008.0	159.0
46744	http://www.glover.lib.ok.us	Rush Springs-Glover Spencer Memorial Library	2003.0	12.0
46745	http://www.ardmoreschools.org/	Ardmore City Schools	2009.0	341.0
46746	http://www.ok.gov/treasurer/	State Treasurer (0740)	2007.0	103.0
46747	http://www.nicholshills.net/	Nichols Hills	2001.0	1638.0
46748	http://wplibs.com/branches/cheyenne/	Minnie R Slief Library	2010.0	0.0
46749	http://www.ok.gov/oubcc/	Uniform Building Code Commission (0753)	2010.0	73.0
46750	http://www.vinitahornets.com/	Vinita Public Schools	2002.0	938.0
46751	http://www.dustin.k12.ok.us/	Dustin Public Schools	2001.0	10.0
46752	http://www.wynnewood.k12.ok.us/	Wynnewood Public Schools	2001.0	37.0
46753	http://www.sallisawok.org/	Sallisaw	2002.0	345.0
46754	http://www.healthsciences.okstate.edu/college/index.cfm	Osteopathic Medicine, College - OSU (0773)	2007.0	66.0
46756	http://www.ok.gov/dentistry/	Dentistry Board (0215)	2013.0	12.0
46757	http://www.adaok.com/	Ada	1999.0	38.0
46758	http://www.ok.gov/tset/	Tobacco Settlement Endowment Trust (0092)	2007.0	138.0
46759	http://www.okcca.net/	Criminal Appeals Court (0199)	2001.0	22.0
46760	http://www.frontierok.com/	Frontier Public Schools	2001.0	13766.0
46762	http://www.springerschools.com/	Springer Public Schools	2009.0	536.0
46763	http://www.chatty.k12.ok.us/education/school/school.php?sectionid=3	Chattanooga Public School	2008.0	3.0
