NodeId	NodeURL	NodeName	Year	pages
47598	http://www.siuslawlibrary.org/home0.aspx	Mapleton Branch Library	2010.0	4.0
47599	http://bay.cooslibraries.org	Coos Bay Public Library	2004.0	106.0
47601	http://www.oregon.gov/OHLA/DEM/Pages/index.aspx	Midwifery, Board Of Direct Entry (OHLA)	2012.0	22.0
47602	http://NewportOregon.gov/dept/lib/	Newport Public Library	2009.0	1.0
47604	http://www.oregon.gov/ltco/Pages/index.aspx	Long Term Care Ombudsman	2012.0	26.0
47605	http://www.oregon.gov/osp/sme/pages/index.aspx	State Medical Examiner (OSP)	2012.0	13.0
47606	http://www.scottsmills.org	Scotts Mills	2009.0	28.0
47607	http://www.oregon.gov/deq/Pages/index.aspx	Environmental Quality Dept	2012.0	28.0
47608	http://www.ci.aurora.or.us	Aurora	2004.0	509.0
47609	http://www.enterpriseoregon.org	Enterprise City Library	2006.0	535.0
47610	http://www.sehs.lane.edu/	South Eugene High School	1998.0	2.0
47611	http://www.wlhs.wlwv.k12.or.us/site/default.aspx?PageID=3070	West Linn High School	2013.0	59.0
47612	http://www.ci.sweet-home.or.us	Sweet Home	2001.0	225.0
47613	http://www.gervais.k12.or.us/	Gervais High School	2001.0	325.0
47614	http://www.oregon.gov/oha/pharmacy/opdp/pages/index.aspx	Oregon Prescription Drug Program	2012.0	15.0
47617	http://www.cityofsalem.net/Pages/default.aspx	Salem	2012.0	1076.0
47618	http://www.ci.dayton.or.us	Mary Gilkey Public Library	2011.0	855.0
47619	http://www.oregon.gov/aviation/Pages/index.aspx	Aviation Department	2012.0	140.0
47621	http://www.oregon.gov/opds/Pages/index.aspx	Public Defense Services Commission	2012.0	39.0
47622	http://www.wheelercounty-oregon.com/	Wheeler County	2003.0	7.0
47623	http://www.wilsonvillelibrary.org	Wilsonville Public Library	2005.0	280.0
47624	http://city.jeffersonoregon.us	Jefferson	2013.0	12.0
47626	http://www.oregon.gov/oha/ophp/pages/index.aspx	Office of Private Health Partnerships	2012.0	10.0
47627	http://cityofdepoebay.org	Depoe Bay	2011.0	91.0
47628	http://www.tillamook.plinkit.org/	Pacific City Branch Library	0.0	1383.0
47629	http://www.cityofprineville.com	Prineville	2001.0	627.0
47630	http://www.kcsd.k12.or.us/SectionIndex.asp?SectionID=2	Henley High School	2009.0	1279.0
47631	http://www.westonpubliclibrary.com/	Weston Public Library	2006.0	14.0
47633	http://www.oregon.gov/bspa/pages/index.aspx	Speech-Language Pathology and Audiology	2013.0	37.0
47635	http://www.damascusoregon.gov	Damascus	2012.0	358.0
47638	http://www.beavertonlibrary.org	Beaverton City Library	2003.0	282.0
47639	http://sos.oregon.gov/Pages/404.aspx	Elections Division (SOS)	2013.0	199.0
47640	http://www.cityofstanfield.com	Stanfield	2005.0	315.0
47641	http://www.vernonia.k12.or.us/?id=2801&isa=category&op=show	Vernonia High School	0.0	1421.0
47644	http://www.historicsumpter.com	Sumpter	2003.0	25.0
47645	http://library.ci.albany.or.us/	Carnegie Library	2001.0	3.0
47646	http://www.oregon.gov/ohla/rtpt/pages/index.aspx	Respiratory Therapist Licensing Board (OHLA)	2012.0	23.0
47648	http://www.greshamoregon.gov	Gresham	2008.0	1206.0
47650	http://www.oregontrail.plinkit.org/	Heppner Branch Library	0.0	214.0
47651	http://www.keizer.org	Keizer	1999.0	2.0
47652	http://www.oregon.gov/obpe/pages/index.aspx	Psychologists Examiners Board	2012.0	26.0
47653	http://www.newurban.org/	New Urban High School	2000.0	10.0
47654	http://www.wasco.plinkit.org	The Dalles-Wasco County Library	0.0	1114.0
47659	http://www.lincc.org	Molalla Public Library	0.0	841.0
47660	http://www.ohsu.edu/xd/	Oregon Health & Science University	0.0	2020.0
