NodeId	NodeURL	NodeName	Year	pages
48297	http://www.chadphila.org	Charter High School for Architecture and Design	2001.0	117.0
48298	http://www.southerntioga.org	Southern Tioga SD	2001.0	421.0
48299	http://www.pa.gov/pages/default.aspx#.uvacjfgju1e	State Government	2014.0	154.0
48300	https://www.portal.state.pa.us/siteminderagent/forms/login.fcc?TYPE=33554433&REALMOID=06-5621a676-0624-4642-bc94-9f3366619130&GUID=&SMAUTHREASON=0&METHOD=GET&SMAGENTNAME=-SM-2DTVPq86EcZtGQiklLZ5r4Xps0PmRsdphn4CydYUzoPnaxAdVu%2f%2bZlFU%2bDJnWA7iRWJYrLHw%2bdrhNxoDhsYVEK2Y%2fJdaYBRM&TARGET=-SM-http%3a%2f%2fwww%2eportal%2estate%2epa%2eus%2fportal%2fsso%2fSSOLogin%2easpx	Governor's Advisory Commission on Asian American Affairs	0.0	115.0
48301	http://gjctc.org/	Greater Johnstown CTC	2010.0	122.0
48302	http://www.pbsd.k12.pa.us	Plum Borough SD	1999.0	404.0
48303	http://www.yorklibraries.org	Southern York County Library	2000.0	487.0
48305	http://www.berks.lib.pa.us/wernersvillepl/	Wernersville Public Library	2001.0	96.0
48306	http://www.berks.lib.pa.us/sinkingspringpl/	Sinking Spring Public Library	2001.0	101.0
48307	http://www.berks.lib.pa.us/bethelpl/	Bethel-Tulpehocken Public Library	2001.0	90.0
48309	http://www.collegeportraits.org/PA/cheyney	Cheyney University of Pennsylvania	2009.0	16.0
48312	http://www.indians.k12.pa.us/site/default.aspx?PageID=1	Shamokin Area SD	2011.0	4.0
48314	http://libwww.freelibrary.org/branches/branch.cfm?loc=wpr	Free Library Of Philadelphia - Lucien E. Blackwell West Philadelphia Regional Library	2007.0	446.0
48315	http://www.nlsd.org	Northern Lehigh SD	2000.0	43.0
48316	http://www.vgsd.org	Valley Grove SD	2001.0	15.0
48317	http://www.rlasd.net	Red Lion Area SD	2012.0	26.0
48318	http://carnegielibrary.org/locations/beechview/	Carnegie Library Of Pittsburgh - Beechview	2002.0	5.0
48319	http://www.dos.state.pa.us/portal/server.pt/community/department_of_state/12405	Department of State	2010.0	2.0
