NodeId	NodeURL	NodeName	Year	pages
49818	http://www.fg.k12.ri.us	Ponaganset Middle School	0.0	9977.0
49819	http://www.northsmithfieldschools.com/schools	Dr. Harry L. Halliwell Memorial School	2010.0	404.0
49820	http://www.ccri.edu/	Community College of Rhode Island	2002.0	1755.0
49821	http://www.rihistoriccemeteries.org/	Historical Cemetery Commission	2013.0	24.0
49822	http://br.skschools.net/	Broad Rock Middle School	2009.0	213.0
49823	http://www.narragansettri.com	Narragansett RI, Town of	2000.0	30.0
49825	http://www.coventrylibrary.org	Coventry Public Library	2001.0	266.0
49826	http://smithfieldri.com/	Smithfield RI, Town of	2001.0	181.0
49827	http://www.northsmithfieldschools.com	North Smithfield Elementary School	2004.0	406.0
49828	http://www.preservation.ri.gov	Historical Preservation and Heritage Commission	2003.0	155.0
49829	http://www.mbe.ri.gov	Minority Business Enterprise	2004.0	459.0
49830	http://www.middletownri.com	Middletown RI, Town of	1998.0	433.0
49831	http://content.ersri.org/	Employees' Retirement System of RI	2014.0	42.0
49832	http://www.cityofnewport.com/	Newport	1997.0	1777.0
49833	http://www.warwickschools.org	Drum Rock Early Childhood Center	1999.0	19.0
49834	http://www.audits.ri.gov	Audits, Bureau of	2003.0	15.0
49836	http://ashfreelib.org	Ashaway Free Library	2001.0	5.0
49837	http://www.skpl.org	South Kingstown Public Library	2005.0	407.0
49838	http://www.egsd.net/eldredge.cfm?subpage=620387	James H. Eldredge El. School	0.0	453.0
49839	http://providenceschools.org/elementary-schools/king	Dr. Martin Luther King, Jr. Elementary School	2012.0	204.0
49841	http://www.dem.ri.gov	Environmental Management, Department of	2003.0	15.0
49842	http://www.burrillville.org/	Burrillville	2001.0	345.0
49843	http://www.goprovidence.com/	Providence Warwick Convention & Visitors Bureau	2001.0	3265.0
49845	http://www3.barringtonschools.org/default.aspx	Sowams Elementary School	2006.0	318.0
49847	http://www.ltgov.ri.gov	Lieutenant Governor Elizabeth Roberts	2003.0	3.0
49848	http://www.chariho.k12.ri.us	Chariho Regional Middle School	1998.0	1203.0
49849	http://www.centralfallsri.us	Central Falls RI, City of	2002.0	94.0
49850	http://www.ripta.com	Public Transit Authority	1998.0	236.0
