NodeId	NodeURL	NodeName	Year	pages
50232	http://leg.spartanburg6.k12.sc.us/	L. E. Gable Middle	2009.0	275.0
50233	http://taylor.richlandone.org/	E.E. Taylor Elementary	2011.0	25.0
50234	http://ces.beaufort.k12.sc.us/	Coosa Elementary	2013.0	30.0
50235	http://schools.mychesterfieldcountyschools.com/index.aspx?nid=77	Ruby Elementary	2009.0	0.0
50236	http://www.edgefieldcountyschools.org	Edgefield County School District	2012.0	39.0
50237	http://www.greenville.k12.sc.us/hillcrest/index.asp	Hillcrest High	2008.0	806.0
50239	http://lhs6.mybigcampus.net/	Latta High	2013.0	53.0
50240	http://www.lexrich5.org/chapinms.cfm	Chapin Middle	0.0	1796.0
50241	http://www.colletonlibrary.org	Colleton County Library System	2000.0	21.0
50242	http://pacolet.spartanburg3.org/	Pacolet Elementary	2009.0	377.0
50243	http://www.berkeley.k12.sc.us/sedgefieldmiddle.cfm	Sedgefield Middle	0.0	2391.0
50244	http://brockman.richlandone.org/	Brockman Elementary	2010.0	35.0
50245	http://www.greenvillecounty.org/	Greenville	1999.0	182.0
50246	http://cfh.horrycountyschools.net/	Carolina Forest High	2008.0	78.0
50247	http://www.llr.state.sc.us/pol/pyrotechnic/	Pyrotechnic Safety, Board of (LLR)	2001.0	37.0
50248	http://www.greenville.k12.sc.us/mitchell/	Mitchell Road Elementary	1999.0	850.0
50249	http://spartanburg4.publishpath.com/woodruff-elementary-school	Woodruff Elementary	0.0	50.0
50250	http://chester.inquiry.schooldesk.net/	Chester Park Elementary of Inquiry	2011.0	79.0
50251	http://ata.horrycountyschools.net/	Academy For Technolgy and Acad	2008.0	19.0
50252	http://jdleverel.acps.schoolfusion.us/	J. D. Lever Elementary	2012.0	987.0
50253	http://www.atc.edu/	Aiken Technical College	2002.0	835.0
50254	http://theapplecharter.ccsdschools.com/	Apple Charter School	2012.0	504.0
50255	http://www.scetv.org/	South Carolina Educational Television Commission	1997.0	322.0
50256	https://www.fsd1.org/schools/mclaurin/pages/default.aspx	McLaurin Elementary	0.0	15.0
50258	http://www.yorkcitysc.com/	York	2001.0	64.0
50259	http://cherokee1.k12.sc.us/mbes/	Mary Bramlett Elementary	2007.0	0.0
50260	http://www.anderson5.net/site/default.aspx?pageid=1	Anderson School District Five	2012.0	18.0
50261	http://bes.anderson2.org/	Belton Elementary	2007.0	44.0
50263	http://greenview.richlandone.org/	A. J. Lewis Greenview Elementary	2009.0	212.0
50264	http://mcsdblenheimmiddle.sharpschool.net/	Blenheim Elementary-Middle	2012.0	503.0
50265	http://leewle.sharpschool.net/	West Lee Elementary	2012.0	646.0
50266	https://www.richland2.org/we/pages/default.aspx	Windsor Elementary	0.0	30.0
50267	http://www.cctech.edu/	Central Carolina Technical College	2002.0	1846.0
50269	http://www.carolinaschoolforinquiry.com/	Carolina School for Inquiry	2006.0	47.0
50270	http://www.gcsd.k12.sc.us/	Georgetown High	1998.0	390.0
50271	http://stall.ccsdschools.com/	R. B. Stall High	2002.0	809.0
50272	http://cherokee1.k12.sc.us/bps/	Blacksburg Primary	2012.0	0.0
50273	http://rbe.spartanburg6.k12.sc.us/	Roebuck Elementary	2009.0	192.0
50274	http://warrenvilleel.acps.schoolfusion.us/	Warrenville Elementary	2012.0	1442.0
50275	http://www.anderson1.k12.sc.us/domain/488	Spearman Elementary	2014.0	774.0
50277	http://www.sccid.sc.gov/	Indigent Defense, Commission on	0.0	756.0
50278	http://scjeda.com/	Jobs - Economic Development Authority	2010.0	193.0
50279	http://bhs.beaufort.k12.sc.us/	Beaufort High	2010.0	9.0
50280	http://dme.kcsdschools.com/	Doby's Mill Elementary	2005.0	31.0
50281	http://ses.ocsd5.net/	Sheridan Elementary	2013.0	27.0
