NodeId	NodeURL	NodeName	Year	pages
51941	http://www.sf.k12.sd.us/	Sioux Falls School	1998.0	1695.0
51942	http://hand.sdcounties.org/	Hand County	2011.0	27.0
51943	http://pierre.k12.sd.us/	Pierre School	1997.0	21.0
51944	http://www.fortpierre.com/	Fort Pierre	1998.0	102.0
51945	http://tridel.k12.sd.us/	Tripp-Delmont School	2001.0	24.0
51946	http://www.scotland.k12.sd.us/SitePages/Home.aspx	Scotland School	2012.0	3.0
51947	http://www.lakecountysd.com	Lake County	2007.0	39.0
51948	http://dps.sd.gov/	Public Safety	2009.0	103.0
51949	http://sisseton.k12.sd.us/default.aspx	Sisseton School	2009.0	8.0
51950	http://www.aberdeen.sd.us/	Aberdeen	2000.0	1191.0
51951	http://www.gettysburgsd.net/	Gettysburg	2007.0	312.0
51952	http://www.winnersd.com/	Winner	2001.0	33.0
51953	http://sanborncentral.com/	Sanborn Central School	2004.0	34.0
51954	http://www.yanktonchristianschool.com/	Yankton Christian School	2003.0	11.0
51955	http://doc.sd.gov/	Corrections	2008.0	108.0
51956	http://viborg-hurley.k12.sd.us/	Viborg-Hurley School	2012.0	9.0
51957	http://www.castlewoodcity.com/	Castlewood	2002.0	124.0
51958	http://legis.sd.gov/	Legislative Research Council	2013.0	7.0
51959	http://southeastareacoop.org/	Southeast Area Coop School	2009.0	0.0
51960	http://www.bigstonecitysd.govoffice2.com/	Big Stone City	2007.0	65.0
51961	http://www.siouxlandlib.org/contactus/branches/brandon.aspx	Brandon Branch Library	2007.0	0.0
51962	http://www.woonsocketsd.com	Woonsocket Community Library	2000.0	2.0
51963	http://colome.k12.sd.us/	Colome School	2001.0	8.0
51964	http://www.bowdlesd.govoffice2.com/	Bowdle	2008.0	652.0
51965	http://sdic.sd.gov/	South Dakota Investment Council	2010.0	9.0
51966	http://www.salemsd.com/	Salem	2001.0	123.0
51967	http://www.herreidsd.com/	Herreid	2006.0	128.0
51968	http://philip.k12.sd.us/education/school/school.php?sectionid=4	Haakon School	2009.0	2.0
51970	http://sdsos.gov/elections/default.aspx	South Dakota Elections	2011.0	601.0
51971	http://www.gwtc.net/~tclib/	Tripp County Library - Grossenburg Memorial	2000.0	2.0
51972	http://www.arlingtonsd.com/	Arlington	2000.0	28.0
51973	http://www.colmansd.com/	Colman	2007.0	38.0
51974	http://zionmobridge.org/home/2182/zls.htm	Zion Lutheran (Mobridge, SD) School	2008.0	40.0
51975	http://dhs.sd.gov/	Human Services	2007.0	177.0
51976	http://www.cityofhoward.com/	Howard	2009.0	144.0
51977	http://www.faith.govoffice.com/	Faith	2006.0	55.0
51978	http://www.brandonsd.com/	Brandon	2000.0	237.0
51980	http://wagner.k12.sd.us/education/school/school.php?sectionid=3	Wagner School	2008.0	3.0
51981	http://www.bellefourche.com/	Belle Fourche	1997.0	8.0
51982	http://brulecounty.org/	Brule County	2006.0	29.0
51983	http://www.brookingslibrary.org	Brookings Public Library	2000.0	819.0
51984	http://www.trippsd.com/	Tripp	2003.0	13.0
51985	http://doe.sd.gov/	Education	2005.0	353.0
51986	http://www.cityofwagner.org/	Wagner	2008.0	157.0
51988	http://avon.k12.sd.us/	Avon School	1999.0	53.0
51990	http://www.lemmonsd.com/	Lemmon	1999.0	68.0
51991	http://wilmot.k12.sd.us/	Wilmot School	2000.0	8.0
51992	http://www.tlsd.us/	Timber Lake	2004.0	11.0
51993	http://flandreau.k12.sd.us/education/components/scrapbook/default.php?sectionid=3&url_redirect=1	Flandreau School	2010.0	8.0
51994	http://www.tcsdk12.org/	Todd County School	1998.0	545.0
51996	http://open.sd.gov/?loc=schools	Open Schools	0.0	2.0
51997	http://bellefourche.k12.sd.us/	Belle Fourche School	2001.0	35.0
51998	http://www.spinkcounty-sd.org/	Spink County	2008.0	33.0
51999	http://www.wessingtonsprings.com/	Wessington Springs	1998.0	45.0
52000	http://www.beresfordsd.com/	Beresford	2002.0	660.0
52002	http://iroquois.k12.sd.us/	Iroquois School	2001.0	30.0
52003	http://britton.k12.sd.us/site/default.aspx?PageID=1	Britton-Hecla School	2014.0	4.0
52004	http://volgachristianschool.org/	Volga Christian School	2007.0	57.0
52005	http://www.sunshinebible.org/	Sunshine Bible Academy School	2000.0	56.0
52007	http://doland.k12.sd.us/	Doland School	1999.0	19.0
52008	http://www.hurleysd.us/	Hurley	2007.0	9.0
52009	http://flandreau.k12.sd.us/education/components/scrapbook/default.php?sectionid=177	Moody County Resource Center	2011.0	8.0
52010	http://echs.k12.sd.us/	Edmunds Central School	2001.0	44.0
52011	http://www.cityofvalleysprings.com/	Valley Springs	2006.0	201.0
52012	http://sd.gov/governor/	Governor Dennis Daugaard	2010.0	71.0
52014	http://www.sddot.com/	Transportation	2001.0	202.0
52016	https://public.rcas.org/Pages/Default.aspx	Rapid City School	2008.0	149.0
52017	http://www.mitchelltech.edu/	Mitchell Technical Institute	2005.0	679.0
52018	http://baltic.k12.sd.us/	Baltic School	2000.0	6.0
52019	http://vermillionpubliclibrary.org/	Vermillion Public Library	2013.0	278.0
52020	http://www.vermillion.us/	Vermillion	2006.0	373.0
52021	http://abo.k12.sd.us/	Sully Area Library	2002.0	20.0
52022	http://selby.k12.sd.us/	Selby Area School	2002.0	16.0
52023	http://armour.k12.sd.us/	Armour School	2001.0	27.0
52024	http://beresford.k12.sd.us/site/default.aspx?PageID=1	Beresford School	2011.0	7.0
52025	http://www.mennosd.org/	Menno	2002.0	344.0
52026	http://www.delmontsd.org/	Delmont	2001.0	31.0
52028	http://www.siouxlandlib.org/contactus/branches/caille.aspx	Caille Branch Library	2007.0	0.0
52029	http://www.sturgis-sd.gov/	Sturgis	2006.0	643.0
52031	http://chamberlain.k12.sd.us/	Chamberlain School	2001.0	81.0
52032	http://www.pollocksouthdakota.com/	Pollock	2003.0	39.0
52033	http://www.beadlecounty.org/	Beadle County	2002.0	2581.0
52034	http://southcentral.k12.sd.us/	South Central School	2010.0	15.0
52035	http://ethan.k12.sd.us/	Ethan School	2000.0	60.0
52036	http://www.huronsd.com/	Huron	1998.0	6.0
52037	http://lemmon.k12.sd.us/	Lemmon School	2001.0	11.0
52038	http://langford.k12.sd.us/	Langford School	2002.0	48.0
52039	http://st-thomas.k12.sd.us/	St. Thomas School	1999.0	17.0
52040	http://www.watertownsd.us/	Watertown	2005.0	1185.0
52041	http://parker.k12.sd.us/site/default.aspx?PageID=1	Parker School	2014.0	3.0
52042	http://www.ipswich-sd.com/	Ipswich	2001.0	208.0
52043	http://roberts.sdcounties.org/	Roberts County	2011.0	22.0
52044	http://www.freemansd.com/	Freeman Public Library	1999.0	1751.0
52045	http://www.webstersd.com/	Webster	1998.0	483.0
52046	http://www.letchersd.com/	Letcher	2001.0	37.0
52047	http://oelrichs.k12.sd.us/	Oelrichs School	2001.0	14.0
52048	http://lakepreston.k12.sd.us/SitePages/home%20page.aspx	Lake Preston School	2014.0	23.0
52049	http://www.siouxfalls.org	Sioux Falls	1998.0	0.0
52050	http://www.moodycounty.net/	Moody County	2008.0	28.0
52051	http://www.johnson.senate.gov/public/	Senator Tim Johnson	2010.0	523.0
52052	http://huron.k12.sd.us/education/district/district.php?sectionid=1	Huron School	2008.0	2.0
52053	http://johnpaul2.org/	John Paul II School	2001.0	27.0
52054	http://www.harrisburg.govoffice.com/	Harrisburg	2006.0	1172.0
52055	http://bison.k12.sd.us/SitePages/Home%20Page.aspx	Bison School	2011.0	29.0
52056	http://montrose.k12.sd.us/default.aspx	Montrose School	2011.0	36.0
52057	http://hardingcounty.k12.sd.us/	Harding County School	2002.0	13.0
52058	http://rpllib.sdln.net	R E Rawlins Municipal Library	2000.0	6.0
52059	http://lyman.k12.sd.us/	Lyman School	2001.0	4.0
52060	http://wall.k12.sd.us/	Wall School	2003.0	44.0
52061	http://stanleycounty.org/	Stanley County	2008.0	424.0
52063	http://www.armoursd.com/	Armour	1999.0	20.0
52064	http://gregory.k12.sd.us/	Gregory School	2001.0	15.0
52065	http://ujs.sd.gov/error.aspx?aspxerrorpath=/sc/default.aspx	Supreme Court Justice Glen Severson	2013.0	289.0
52066	http://siouxfallslutheran.com	Sioux Falls Lutheran School	2002.0	43.0
52067	http://rosholt.k12.sd.us/	Rosholt School	2002.0	16.0
52068	http://www.redfield-sd.com/redfield	Redfield	2013.0	704.0
52069	http://www.lakepreston.com/	Lake Preston	1998.0	116.0
52070	http://www.huronsd.com/living-in-huron/huron-public-library	Huron Public Library	2011.0	4.0
52071	http://butte.sdcounties.org/	Butte County	2011.0	55.0
52072	http://hssd.k12.sd.us/education/school/school.php?sectionid=3	Hot Springs School	2010.0	1.0
52073	http://castlewood.k12.sd.us/education/components/layout/default.php?sectionid=3&url_redirect=1	Castlewood School	0.0	1.0
52074	http://dss.sd.gov/	Social Services	2006.0	759.0
52075	http://kimball.k12.sd.us/	Kimball School	2000.0	22.0
52076	http://lead-deadwood.k12.sd.us/	Lead-Deadwood School	1998.0	20.0
52077	http://grantcountylibrary.com	Grant County Public Library	2004.0	32.0
52078	http://www.fredericksd.com/	Frederick	2007.0	18798.0
52079	http://www.brookingscountysd.gov/	Brookings County	2004.0	555.0
52080	http://www.cityofspearfish.com/	Spearfish	2006.0	81.0
52081	http://bowdle.k12.sd.us/	Bowdle School	2001.0	10.0
52082	http://irene-wakonda.k12.sd.us/	Irene-Wakonda School	2007.0	22.0
52083	http://timberlakeschool.org/	Timber Lake School	2012.0	1.0
52084	http://www.southeasttech.edu/	Southeast Technical Institute	2002.0	325.0
52085	http://www.pennco.org/	Pennington County	2001.0	626.0
52086	http://www.mobridge.org/	Mobridge	1998.0	375.0
52087	http://coltonsd.com/	Colton	2009.0	37.0
52088	http://unioncountysd.org/	Union County	2008.0	81.0
52089	http://webster.k12.sd.us/	Webster School	0.0	183.0
52090	http://www.chamberlainsd.org/	Chamberlain	1998.0	610.0
52091	http://www.claycountysd.org/	Clay County	2004.0	28.0
52092	http://howard.k12.sd.us/	Howard School	2000.0	15.0
52093	http://cantonsd.org/	Canton	2013.0	0.0
52094	http://teaschools.k12.sd.us/site/default.aspx?PageID=1	Tea Area Schools	2012.0	32.0
52095	http://sdda.sd.gov/	Agriculture	2010.0	533.0
52096	http://www.sisseton.com/	Sisseton	1999.0	30.0
