NodeId	NodeURL	NodeName	Year	pages
52393	http://www2.gcschools.net/	C Hal Henard Elementary	1998.0	1482.0
52394	http://www.washingtoncountytn.org/	Washington County	2011.0	152.0
52395	http://www.bristol-library.org/	Bristol Public Library	2001.0	122.0
52396	http://www.robertsoncountytn.org/	Robertson County	2005.0	112.0
52399	http://www.colliervillelibrary.org	Lucius E. And Elsie C. Burch, Jr. Library	2011.0	212.0
52401	http://www.hickmancountylibrary.net	Hickman County Public Library	2008.0	359.0
52402	http://web.bledsoe.net/~bcpl/	Bledsoe County Library	2006.0	9.0
52404	http://www.eastendprep.org/	East End Preparatory School	2011.0	41.0
52405	http://www.etowahlibrary.com	Etowah Carnegie Library	2001.0	18.0
52406	http://www.cityofmilantn.com	Mildred G. Fields Memorial Library	2000.0	177.0
52407	http://www.knoxcounty.org/health/index.php	Knox* County Health Department	2004.0	112.0
52408	http://tnstateparks.com/	Parks, State	1998.0	578.0
52409	http://carrollcounty-tn-chamber.com/	Carroll County	2001.0	70.0
52410	http://ws.edu/home/	Walters State Community College	2012.0	2055.0
52411	http://www.alcoaschools.net/	Alcoa Middle School	2003.0	275.0
52412	http://www.ctas.tennessee.edu/public/web/ctas.nsf/countyofficialsinfo?readform	Campbell County	2013.0	165.0
52413	http://www.tn.gov/generalserv/	General Services, Dept. of	2005.0	11.0
52414	http://www.mscc.edu/	Motlow State Community College	2002.0	977.0
52415	http://www.utk.edu/	University of TN, Knoxville	1996.0	1011.0
52416	http://www.tn.gov/arts/	Arts Commission, Tennessee	2011.0	111.0
52417	http://www.monroegovernment.org/	Monroe County	2001.0	3.0
52419	http://www.fisherlibrary.org	E. G. Fisher Public Library	2006.0	1139.0
52420	http://www.tn.gov/tccy/index.shtml	Commission on Children and Youth	2009.0	113.0
52421	http://www.eastridgetn.org	East Ridge City Library	2002.0	85.0
52423	http://treasury.tn.gov/unclaim/	Unclaimed Property Division	2009.0	18.0
52425	http://rickmanelementary.com	Rickman Elementary	2007.0	10.0
52426	http://www.unicoicountytn.gov/	Unicoi County	2007.0	154.0
52427	http://www.eccpl.org	Elizabethton Carter County Public Library	2000.0	8.0
52428	http://www.mdpl.blogspot.com	Meigs-Decatur Public Library	2013.0	3.0
52429	http://www.uthsc.edu	University of TN Health Science Center	2009.0	2054.0
52430	http://blountk12.org	Union Grove Elementary School	2000.0	147.0
52431	http://www.ortn.edu/	Robertsville Middle School	2002.0	2067.0
52434	http://www.meigscounty.net/artman/publish/	Meigs County High School	2007.0	257.0
52436	http://marshallcountytn.com/	Marshall County	2004.0	893.0
52437	http://www.sumnertn.org/	Sumner County	1997.0	104.0
52438	http://www.gilescounty-tn.us/	Giles County	2003.0	8.0
52439	http://www.kingsportlibrary.org/	Kingsport Public Library	2000.0	699.0
52440	http://www.moorecolibrary.com	Moore County Public Library	2011.0	17.0
52442	http://auroracollegiate.org	Aurora Collegiate Academy	2011.0	14.0
52444	http://www.clevelandschools.org/	Arnold Memorial Elementary School	1998.0	98.0
52446	http://www.tn.gov/maint/tngov/notfound.shtml	Health Care Finance and Administration	2013.0	2.0
52447	http://www.tn.gov/sos/election/	Elections, Division of	2007.0	57.0
52448	http://discovermase.org	Memphis Academy Of Science  Engineering Middle/High	0.0	245.0
52449	http://www.claibornecounty.com/	Claiborne County	1999.0	235.0
52452	http://www.pclibrary.org/	Monterey Branch Library	2001.0	17.0
52454	http://mcminncountytn.gov/	McMinn County	2010.0	3.0
52455	http://www.etsu.edu/etsuhome/	University School	2011.0	18.0
52456	http://www.shelbycountytn.gov/	Shelby County	2004.0	3075.0
52457	http://www.fcsboe.org/	Fayetteville Middle School	2002.0	210.0
52459	http://www.edline.net/pages/Tullahoma_City_SD	Jack T Farrar Elementary	2009.0	2.0
52461	http://meigscountytnchamber.org/	Meigs County	2003.0	1.0
52462	http://www.nashville.gov/	Davidson County	2001.0	3439.0
52463	http://www.jacksonco.com/index.php	Jackson County	2009.0	1.0
52464	http://www.mcnairycountytn.com/	McNairy County	2001.0	21.0
52465	http://www.hickmanco.com/departments_health.htm	Hickman County Health Department	2002.0	1.0
52466	http://sumnerschools.org	Knox Doss Middle School at Drakes Creek	2001.0	1065.0
52467	http://lcss.us	Lawrence Adult High School	2002.0	1413.0
52468	http://www.fentresscountylibrary.com	Fentress County Library	2002.0	0.0
52469	http://ww2.cheathamlibrary.com/	Cheatham County Public Library	0.0	686.0
52470	http://sememphis.org	Memphis School of Excellence	2010.0	6.0
52471	http://lib.williamson-tn.org/	Williamson County Genealogy Library	1998.0	3.0
52472	http://www.treasury.state.tn.us/	Treasury, Dept. of (State Treasurer)	1998.0	22.0
52473	http://www.bradleyco.net/	Bradley County	1999.0	82.0
52474	http://www.capitol.tn.gov/joint/	Legislative Joint Committees	2009.0	33.0
52476	http://www.brentwood-tn.org/index.aspx?page=91	The Brentwood Library	2009.0	1921.0
52478	http://www.everetthornlibrary.org	Everett Horn Public Library	2008.0	1.0
52479	http://www2.youseemore.com/gallatinPL/	Gallatin Public Library Of Sumner County	2009.0	34.0
52481	http://rheacountytn.com/	Rhea County	2011.0	165.0
52482	http://www.hcde.org/	Apison Elementary School	1998.0	1193.0
52483	http://www.volstate.edu/	Volunteer State Community College	2002.0	8.0
52484	http://www.fayettetn.us/	Fayette County	2004.0	48.0
52486	http://www.blounttn.org/	Blount County	2002.0	4.0
52487	http://www.memphislibrary.org/mplic-home	Memphis Public Library And Information Center	2011.0	0.0
52488	http://www.tnmuseum.org/	Tennessee State Museum	2000.0	126.0
52489	http://www.tn.gov/tenncare/	TennCare, Bureau of	2008.0	166.0
52490	http://www.hartsvilletrousdale.com/	Trousdale County	2002.0	786.0
52491	http://www.monroe.k12.tn.us/	Madisonville Intermediate School	2000.0	81.0
52492	http://www.cheathamcountytn.gov/	Cheatham County	2005.0	88.0
52493	http://www.tn.gov/humanserv/	Human Services, Dept. of	2004.0	688.0
52494	http://www.library.nashville.org	Nashville Public Library	2000.0	101.0
52495	http://www.thda.org/	Housing Development Agency	2002.0	236.0
52496	http://www.utc.edu/	University of TN, Chattanooga	1997.0	1689.0
52497	http://www.tn.gov/finance/	Finance and Administration, Dept. of	2009.0	51.0
52499	http://www.utm.edu/	University of TN, Martin	1996.0	1327.0
52501	http://www.achealthdept.org./	Anderson County Health Department	2007.0	19.0
52502	http://staracademycharter.org	Star Academy	2009.0	3.0
52504	http://www.andersontn.org/	Anderson County	2006.0	26.0
52505	http://jasperpubliclibrary.org	Jasper Public Library	2006.0	0.0
52506	http://www.tn.gov/youth/	Children's Services, Dept. of	2004.0	20.0
52508	http://veritascollegeprep.org	Veritas College Preparatory	2010.0	27.0
52509	http://www.tn.gov/tdfi/	Financial Institutions, Dept. of	2009.0	10.0
52512	http://www.houstoncochamber.com	Houston County Public Library	2004.0	707.0
52513	http://www.williamsoncounty-tn.gov/	Williamson County	2008.0	843.0
52515	http://www.LaVergneTN.gov/	La Vergne Public Library	0.0	1535.0
52518	http://chattanoogacharter.com	Chattanooga Charter School of Excellence	2011.0	10.0
52519	http://www.chattanoogastate.edu/	Chattanooga State  Community College	2002.0	827.0
52520	http://portal.tds.net/	Central High School	2002.0	1581.0
52521	http://nashvilleprep.org	Nashville Prep	2011.0	52.0
52522	http://www.northeaststate.edu/	Northeast State Community College	2002.0	924.0
52523	http://mcsed.net/site/default.aspx?PageID=1	Morgan County Vocational Center	2013.0	7.0
52525	http://www.oneidaschools.org/	Oneida Middle School	2001.0	819.0
52528	http://k12th.net	Park View Elementary	2006.0	1571.0
52529	http://www.mcgtn.org	Montgomery County	2011.0	599.0
52531	http://www.blounttn.org/health.asp	Blount County Health Department	2007.0	2.0
52532	http://www.humboldtpublic.org	Humboldt Public Library	2009.0	12.0
52533	http://alamoschool.org	Alamo Elementary	2001.0	200.0
52534	http://www.tncourts.gov	Administrative Office of the Courts	2006.0	2921.0
52535	http://www.jcpl.net	Johnson City Public Library	1999.0	218.0
52536	http://www.roaneschools.com/	Midtown Educational Center	2001.0	644.0
52538	http://www.hck12.net/	Church Hill Intermediate School	2003.0	260.0
52540	http://www.memphis.edu/	University of Memphis	1997.0	4301.0
52542	http://www.pathwaysed.org/	Pathways in Education - TN	2013.0	15.0
52544	http://sevierlibrary.org	Sevier County Public Library System	2000.0	34.0
52545	http://www.springhilltn.org/index.aspx?NID=281	Spring Hill Public Library	2013.0	845.0
52546	http://www.henryco.com/	Henry County	1999.0	12.0
52547	http://www.mtsu.edu/	Middle TN State University	1997.0	3018.0
52548	http://www.btcs.org/	Tennessee Online Public School	2000.0	1545.0
52549	http://franklincountylibrary.org	Franklin County Public Library	2006.0	11.0
52550	http://www.tn.gov/veteran/	Veterans Affairs, Dept. of	2009.0	69.0
52551	http://www.mcgtn.org/library	Clarksville Montgomery County Public Library	2012.0	873.0
52552	http://www.tnstate.edu/	TN State University	1998.0	1272.0
52553	http://www.ceweldonlibrary.org	C. E. Weldon Public Library	2000.0	135.0
52554	http://sequatchie.com/	Sequatchie County	1999.0	27.0
52555	http://www.tn.gov/commerce/	Commerce and Insurance, Dept. of	2008.0	129.0
52556	http://www.hawkinscountytn.gov/	Hawkins County	2007.0	408.0
52557	http://www.jeffersoncountytn.gov/	Jefferson County	2006.0	176.0
52558	http://www.tnmilitary.org/	National Guard, Tennessee	2002.0	45.0
52559	http://www.tn.gov/ehealth/	e-Health Initiatives, Office of	2011.0	37.0
52561	http://www.lincolncountytngov.com/	Lincoln County	2008.0	20.0
52563	http://cornerstoneprepmemphis.org	Cornerstone Prep - Lester Campus	2010.0	120.0
52564	http://kippnashville.org/	K I P P Nashville Collegiate High School	2012.0	12.0
