NodeId	NodeURL	NodeName	Year	pages
56293	http://www.fauquiercounty.gov/government/departments/library/	Fauquier County Public Library	2002.0	108.0
56294	http://www.courts.state.va.us/courts/gd/home.html	General District Court	2009.0	91.0
56299	http://www.pwcgov.org/Pages/default.aspx	Independent Hill Neighborhood Library	2012.0	1612.0
56300	http://www.tcc.edu/	Tidewater Community College	2002.0	933.0
56301	http://www.roanokeva.gov/85256a8d0062af37/currentbaselink/n28bfkcf242jbeden	Roanoke City Public Library - Raleigh Court Branch	2011.0	490.0
56302	http://luraypage.com/	Luray-Page County	0.0	65.0
56303	http://www.fairfaxcounty.gov/library/branches/rb/	Richard Byrd Library	2002.0	5.0
56304	http://www.williamsburg.com	Williamsburg Online	1996.0	1113.0
56305	http://hcps2.hanover.k12.va.us	Hanover County Public Schools	1999.0	93.0
56306	http://www.blackwaterlib.org/bookmobile/	Blackwater Regional Library - Outreach Bookmobile	2009.0	2.0
56307	http://frco.k12.va.us/	Franklin County Public Schools	0.0	161.0
56308	http://www.vbgov.com/site-info/pages/404.aspx?from=/vgn.aspx	Bayside Special Service Library	2012.0	24.0
56310	http://www.salem.k12.va.us	Salem Public Schools	1998.0	113.0
56311	http://www.arlingtonva.us	Arlington	2004.0	12.0
56312	http://www.fairfaxcounty.gov/library/branches/ww/	Woodrow Wilson Library	2002.0	4.0
56313	http://stafford.schoolfusion.us/	Stafford County Public Schools	2007.0	10493.0
56314	http://www.dmbe.virginia.gov/	Minority Business Enterprise, Department of	2004.0	25.0
56315	http://www.mrc.virginia.gov/	Marine Resources Commission	2004.0	903.0
56316	http://www.arls.org/locations/rohoic-library/	Rohoic Library	2011.0	2.0
56317	http://www.floyd.k12.va.us	Floyd County Public Schools	1998.0	105.0
56318	http://www.fairfaxcounty.gov/library/branches/tj/	Thomas Jefferson Library	2002.0	5.0
56320	http://www.roanokecountyva.gov/facilities.aspx?page=detail&rid=46	Roanoke County Public Library - Glenvar Branch	0.0	1624.0
56321	http://www.roanokecountyva.gov/facilities.aspx?page=detail&rid=47	Roanoke County Public Library - Bent Mountain Branch	0.0	1711.0
56322	http://www.roanokecountyva.gov/facilities.aspx?page=detail&rid=44	Roanoke County Public Library - Hollins Branch	0.0	1631.0
56323	http://www.roanokecountyva.gov/facilities.aspx?page=detail&rid=45	Roanoke County Public Library - Vinton Branch	0.0	1719.0
56324	http://www.pcva.us	Pulaski County Public Schools	2003.0	69.0
56326	http://www.roanokecountyva.gov/facilities.aspx?page=detail&rid=48	Roanoke County Public Library - Mt. Pleasant Branch	0.0	1716.0
56327	http://www.jmrl.org/br-louisa.htm	Louisa County Library	2004.0	4414.0
56328	http://www.schev.edu/	State Council of Higher Education for Virginia	1997.0	483.0
