NodeId	NodeURL	NodeName	Year	pages
55708	http://www.hartfordschools.net/Schools/WRS/tabid/282/Default.aspx	White River School (White River Junction)	2007.0	4.0
55709	http://www.sburlcomlib.com/	South Burlington, South Burlington Community Library	2013.0	2.0
55710	http://www.hartfordschools.net/Schools/OQS/tabid/59/Default.aspx	Ottauquechee School (Quechee)	2007.0	4.0
55711	http://www.plattlib.org	Shoreham, Platt Memorial Library	2005.0	16.0
55712	http://www.springfieldtownlibrary.org	Springfield, Springfield Town Library	2004.0	26.0
55713	http://www.vtc.edu/	Vermont Technical College	2001.0	1340.0
55715	http://accd.vermont.gov	Housing and Community Development, Dept. of	2012.0	961.0
55716	http://bixbylibrary.org/WPBixby/	Vergennes, Bixby Memorial Library	2011.0	52.0
55717	http://www.vtlottery.com/	Lottery Commission	1998.0	145.0
55718	http://brookslibraryvt.org	Brattleboro, Brooks Memorial Library	2013.0	1259.0
55719	http://roxburyfreelibrary.com	Roxbury, Roxbury Free Library	2013.0	26.0
55720	http://whitinglibrary.wordpress.com	Chester, Whiting Library	2013.0	17.0
55721	http://www.brownpubliclibrary.org	Northfield, Brown Public Library	2005.0	16.0
55722	http://charlottepubliclibrary.org	Charlotte, Charlotte Library	2004.0	27.0
55723	http://www.mesk8.net/	Montgomery Elementary School	2013.0	17.0
55724	http://www.veda.org/	Economic Development Authority (VEDA)	1999.0	198.0
55725	http://www.arlingtonmemorialhs.org/?f	Fisher Elementary School (Arlington)	2013.0	1.0
55726	http://www.windhamsw.k12.vt.us/	Windham Southwest Supervisory Union	2003.0	151.0
55727	http://www.addisoncentralsu.org/maryhogan/index/index.htm	Mary Hogan School (Middlebury)	0.0	0.0
55728	http://stafford.rutlandcitypublicschools.org/	Stafford Technical Center (Rutland)	2010.0	1195.0
55730	http://haskellopera.com	Derby Line, Haskell Free Library	2012.0	55.0
55731	http://www.jerichotownlibrary.org/	Jericho Center, Jericho Town Library	2010.0	8.0
55732	http://grandislefreelibraryvt.wordpress.com	Grand Isle, Grand Isle Free Library	2013.0	26.0
55733	http://www.leg.state.vt.us/	State Legislature	1997.0	2530.0
55734	http://salisburypubliclibrary.wordpress.com	Salisbury, Salisbury Free Public Library	2013.0	26.0
55736	http://www.stjsd.org/	St. Johnsbury School District	2001.0	227.0
55737	http://www.wrvschool.org/	Waits River Valley School	2008.0	39.0
55738	http://moorefreelibrary.org	Newfane, Moore Free Library	2011.0	1.0
55739	http://westfield.vt.gov/hitchcock-library/	Westfield, Hitchcock Museum and Library	0.0	5.0
55740	https://sites.google.com/a/bes.berkshirek8.net/besk8/	Berkshire Elementary School	2013.0	37.0
55742	http://www.weathersfieldproctorlibrary.org/	Ascutney, Weathersfield Proctor Library	2013.0	494.0
55743	http://rms.rutlandcitypublicschools.org/	Rutland Middle School	2010.0	17.0
55744	http://hartfordvtlibrary.org	Hartford, Hartford Library	2011.0	42.0
55745	http://www.vita-learn.org/	Cambridge Elementary School	1999.0	85.0
55747	http://www.csdvt.org	Colchester School District	2007.0	175.0
55748	http://highgatelibrary.wordpress.com/	Highgate, Highgate Public Library	2009.0	45.0
55749	http://www.wssu.k12.vt.us/schools/index.html	Windham Southeast Supervisory Union	2002.0	5.0
55750	http://www.windsorschools.net/whs/	Windsor Junior and Senior High School	2011.0	374.0
55751	http://www.tunbridgelibrary.org/	Tunbridge, Tunbridge Public Library	2008.0	67.0
55752	http://www.twinfield.net/	Twinfield Union School	1999.0	2.0
55753	http://liquorcontrol.vermont.gov/	Liquor Control, Dept. of  (DLC)	2006.0	74.0
55757	http://www.doverfreelibrary1913.org	Dover, Dover Free Library	2005.0	735.0
55758	http://www.orangecenterschool.org/	Orange Center School	2006.0	0.0
55759	http://www.benningtonfreelibrary.org	Bennington, Bennington Free Library	2005.0	2.0
55761	http://www.vermonttreasurer.gov/retirement/municipal-vmers	Retirement System for Municipal Employees (VMERS)	2010.0	92.0
55762	http://www.lanpherlibrary.org/	Hyde Park, Lanpher Memorial Library	2011.0	345.0
55765	http://sheldonlibrary.wordpress.com/	Sheldon, Sheldon Library	2014.0	24.0
55766	http://dcf.vermont.gov/fsd/	Family Services Division	2008.0	143.0
55767	http://www.joslinmemoriallibrary.com	Waitsfield, Joslin Memorial Library	2002.0	11.0
55768	http://www.royaltonlibrary.org/	South Royalton, Royalton Memorial Library	2010.0	6.0
55769	http://auditor.vermont.gov/	Auditor's Office (Vermont State Auditor Doug Hoffer)	2006.0	43.0
55771	http://www.ccsuvt.org/cte/	Center for Technology, Essex	2007.0	187.0
55773	https://sites.google.com/site/cabotpubliclibrary/	Cabot, Cabot Public Library	2011.0	51.0
55774	http://windhamlibrary.wordpress.com	Windham, Windham Town Library	0.0	17.0
55775	http://www.sec.state.vt.us	Secretary of State Jim Condos	1996.0	924.0
55776	http://westrutlandlibrary.wordpress.com	West Rutland, West Rutland Public Library	0.0	9.0
55777	http://www.oxbowhighschool.org/	Oxbow High School (Bradford)	2004.0	49.0
55778	http://dcf.vermont.gov/esd/	Economic Services Division	2008.0	49.0
55779	http://www.straffordlibrary.org/	Strafford, Morrill Memorial and Harris Library	2012.0	249.0
55780	http://townshendlibrary.org/	Townshend, Townshend Public Library	2011.0	7.0
55782	http://central.sf.sbschools.net/	Rick Marcotte Central School (South Burlington)	2013.0	190.0
55783	http://www.ccvs.state.vt.us/	Crime Victim Services, Center for	2000.0	290.0
55785	https://brsu.haikulearning.com/brsu/manchestermiddleelementaryschool/cms_page/view	Manchester Elementary and Middle School	2012.0	42.0
55786	http://www.rumney.org	Rumney Memorial School (Middlesex)	1999.0	1.0
55787	http://www.clarendonschool.org/	Clarendon Elementary School	2006.0	1.0
55788	http://millersrun.cnsuschools.org/	Miller's Run School (Sheffield)	2013.0	33.0
55789	http://marlboroschool.net/	Marlboro Elementary School	2007.0	79.0
55790	http://www.moretownvt.org/moretown-library/	Moretown, Moretown Memorial Library	2013.0	3.0
55791	http://www.richmond.k12.vt.us/	Richmond Elementary School	1999.0	185.0
55792	http://prosecutors.vermont.gov/	State's Attorneys and Sheriffs, Department of	2009.0	24.0
55793	http://www.maclurelibrary.org	Pittsford, Maclure Library	2007.0	30.0
55794	http://ahs.vermont.gov/services/	ServiceNet - Help for Vermonters from the Agency of Human Services	2014.0	1.0
55795	http://orangesouthwest.org/res	Randolph Elementary	2012.0	363.0
55796	http://www.hartfordschools.net/	Hartford School District	2007.0	483.0
55798	http://healthvermont.gov/	Health, Dept. of	2006.0	2015.0
55800	http://bradfordvtlibrary.org	Bradford, Bradford Public Library	2009.0	65.0
55801	http://marthacanfieldlibrary.org	Arlington, Martha Canfield Memorial Library	2006.0	479.0
55802	http://weathersfieldschools.org/	Weathersfield Elementary School	2007.0	388.0
55803	http://www.csdvt.org/pps/	Porters Point School (Colchester)	2008.0	11.0
55804	http://grotonlibraryvt.org	Groton, Groton Free Public Library	2013.0	13.0
55805	http://libraries.vermont.gov/	Libraries, Dept. of	2007.0	595.0
