NodeId	NodeURL	NodeName	Year	pages
57014	http://www.qsd.wednet.edu	Quincy School District	2002.0	1742.0
57015	http://www.tpl.lib.wa.us/Default.aspx	Dr. Martin Luther King, Jr. Branch Library	2005.0	261.0
57018	http://www.kcls.org/woodinville/	Woodinville Library	2007.0	781.0
57020	http://www.roslynlibrary.org	Roslyn Public Library	2008.0	12.0
57021	http://www.wellpinit.wednet.edu/	Wellpinit School District	1998.0	59.0
57022	http://www.doh.wa.gov/LicensesPermitsandCertificates/ProfessionsNewReneworUpdate/Pharmacist/CommissionInformation.aspx	Pharmacy, Board of	2013.0	12.0
57023	http://www.cityofgoldbar.us	Gold Bar	2007.0	125.0
57024	http://www.townofconconully.com	Conconully	2006.0	6.0
57025	http://www.southbend-wa.gov	South Bend	2010.0	51.0
57026	http://www.lwsd.wednet.edu/site/default.aspx?domainid=133	Cougar Creek Elementary	0.0	25.0
57027	http://www.langleywa.org	Langley	2001.0	77.0
57030	http://www.upperskagit.lib.wa.us	Upper Skagit Library District	2005.0	14.0
57031	http://www.rosalia.wednet.edu/site/default.aspx?PageID=1	Rosalia School District	2013.0	7.0
57032	http://www.columbiaco.com	Columbia County	1999.0	433.0
57034	http://www.kcls.org/kingsgate/	Kingsgate Library	2007.0	783.0
57035	http://www.bellevuecollege.edu/	Bellevue College	2005.0	2232.0
57036	http://www.pwb.wa.gov/pages/default.aspx	Public Works Board	2013.0	30.0
57037	http://www.leg.wa.gov/legislature/Pages/visitingthelegislature.aspx	Legislature, State	2009.0	344.0
57038	http://www.rainier.wednet.edu/site/default.aspx?PageID=1	Rainier School District	2013.0	11.0
57039	http://okanogancity.com/	Okanogan	2011.0	27.0
57040	https://www.sheltonschools.org/choice/sitepages/homepage.aspx	CHOICE Alternative Schools	0.0	3.0
57041	http://www.columbiaco.com/index.aspx?nid=25	Columbia County Court	2011.0	437.0
57042	http://www.kcls.org/auburn/	Auburn Public Library	2005.0	787.0
57044	http://www.naselle.wednet.edu/site/default.aspx?PageID=1	Naselle-Grays River Valley School District	2013.0	8.0
57045	http://www.cowlitzsuperiorcourt.us	Cowlitz County Court	2013.0	605.0
57046	http://www.co.jefferson.wa.us	Jefferson County	1999.0	200.0
57047	http://www.parks.wa.gov	Parks and Recreation Commission, State	1996.0	1486.0
57049	http://www.kcls.org/renton/	Renton Library	2010.0	772.0
57050	http://www.sw.riverview.wednet.edu/	Stillwater Elementary School	1998.0	33.0
57051	http://www.index.k12.wa.us/	Index School District	2011.0	31.0
57052	http://www.dpsd.org	Deer Park School District	2001.0	70.0
57053	http://www.harrsd.k12.wa.us/	Harrington School District	2001.0	828.0
57054	http://www.ci.bainbridge-isl.wa.us	Bainbridge Island	1998.0	605.0
57055	http://www.kcls.org/greenbridge/	Greenbridge Library	2008.0	773.0
57056	http://www.cvsd.org/	Central Valley School District	1998.0	121.0
57057	http://www.royalcitywa.org	Royal City	2007.0	8.0
57058	http://www.battlegroundps.org/	Battle Ground School District	2010.0	213.0
57059	http://www.spokanecounty.org/SuperiorCourt/content.aspx?c=1064	Spokane County Court	2007.0	149.0
57060	http://www.cashmere.wednet.edu	Cashmere School District	2000.0	5.0
57061	http://www.ksd403.org/	Kittitas School District	2009.0	672.0
57063	http://www.bisd303.org/site/default.aspx?PageID=1	Bainbridge High School	2012.0	30.0
57064	http://www.nwrain.net/~lochburn/	Lochburn Middle School	1998.0	72.0
57065	http://www.lwsd.org/pages/default.aspx	Lake Washington School District	2007.0	2844.0
57066	http://www.townoflaconner.org	La Conner	2001.0	6.0
57067	http://www.cityofroywa.us	Roy	2008.0	27.0
57069	http://www.evsd90.org/site/default.aspx?PageID=1	East Valley School District (Yakima)	2012.0	6.0
57070	http://www.seattle.gov	Seattle	2001.0	2560.0
57071	http://www.co.adams.wa.us	Adams County	2000.0	91.0
57072	http://www.cityofbrewsterwashington.org	Brewster	2013.0	27.0
57073	http://www.capeflattery.wednet.edu	Cape Flattery School District	1999.0	53.0
57074	http://www.gfalls.wednet.edu	Granite Falls School District	1996.0	169.0
57075	https://students.nthurston.k12.wa.us/norththurston/	North Thurston High School	0.0	12.0
57076	http://wedfa.org/	Economic Development Finance Authority	2009.0	22.0
57077	http://www.griffin.k12.wa.us/	Griffin School District	2002.0	2361.0
57078	http://www.cityofpuyallup.org	Puyallup	2001.0	1091.0
57079	http://www.cusick.wednet.edu/site/default.aspx?PageID=1	Cusick School District	2011.0	5.0
57080	http://www.wwu.edu/	Western Washington University	1997.0	2016.0
57081	http://www.sao.wa.gov/Pages/default.aspx	Auditor, Washington State	2010.0	174.0
