NodeId	NodeURL	NodeName	Year	pages
58248	http://boe.jeff.k12.wv.us/res	Ranson Elementary School	2013.0	2613.0
58249	http://pleasants.lib.wv.us/	Pleasants County Public Library	2003.0	2.0
58250	http://www.logancounty.wv.gov/Pages/default.aspx	Logan County	2012.0	19.0
58251	http://www.berkeleycountycomm.org/	Berkeley County	2001.0	273.0
58252	http://www.wvdhhr.org/phs/bors/index.asp	Sanitarians, Board of Registration for	2003.0	3.0
58253	http://cabell.lib.wv.us/	Gallaher Village Branch Library	1998.0	87.0
58255	http://www.wvdjs.state.wv.us	Juvenile Services, Division of	2000.0	68.0
58256	http://www.lumberportmiddleschool.com	Lumberport Middle School	2001.0	23.0
58257	http://www.co.monongalia.wv.us/index.html	Monongalia County	2001.0	14.0
58259	http://www.wveda.org	Economic Development Authority	2006.0	18.0
58260	https://www.edline.net/pages/robert_l__bland_middle_school	Robert L. Bland Middle School	2008.0	242.0
58261	http://www.local.wv.gov/bethlehem/Pages/default.aspx	Bethlehem	0.0	11.0
58262	http://www.woodcountywv.com/	Wood County	2000.0	84.0
58263	http://www.wvdhhr.org/bcf/	Children and Families, Bureau for	2000.0	22.0
58264	http://ripleyhs.jack.k12.wv.us	Ripley High School	2000.0	52.0
58265	http://www.wvdhhr.org/mcfh/	Maternal, Child, and Family Health, Office Of	2002.0	16.0
58266	http://www.easternwv.edu/home.aspx	Eastern CTC	2013.0	294.0
58268	http://www.webstercounty.wv.gov/Pages/default.aspx	Webster County	2011.0	19.0
58269	http://www.cityofkenova.com	Kenova	2009.0	1.0
58270	http://boe.jeff.k12.wv.us/pjes	Page Jackson Elementary	0.0	2556.0
58272	http://creedcollins.com/	Creed Collins Elementary	2007.0	1.0
58273	http://mbc.wv.gov/	Municipal Bond Commission	2010.0	83.0
58274	http://wvde.state.wv.us	Education, State Department of	1998.0	881.0
58277	http://www.wvwda.org	Water Development Authority	2000.0	22.0
58278	http://www.wvlabor.org	Labor, Division of	2007.0	189.0
58279	http://www.wvsp.gov/Pages/default.aspx	State Police, WV	2013.0	61.0
58281	http://www.tylercountywv.com/	Tyler County	2010.0	2.0
58282	http://boe.mars.k12.wv.us/washingtonlands/index.htm	Washington Lands Elementary School	2000.0	7.0
58283	http://www.pendletoncountyschools.com/bes/index.htm	Brandywine Elementary School	2003.0	2.0
58284	http://jeffersoncounty.schoolwires.net/Domain/17	Wright Denny Intermediate School	2012.0	502.0
58285	http://www.braxtoncounty.wv.gov/Pages/default.aspx	Braxton County	2011.0	18.0
58286	http://www.pendletoncountyschools.com/nfes/index.htm	North Fork Elementary School	2003.0	7.0
58287	http://www.citynet.net/boonecountyschools/brookview/	Brookview Elementary	1998.0	2.0
58288	http://www.blueridgectc.edu/	BlueRidge CTC	2006.0	286.0
58290	http://www.shermanhigh.com	Sherman High School	2003.0	9.0
58291	http://www.edline.net/pages/glendale	Glen Dale Elementary School	2013.0	27.0
58292	http://www.wvhepc.com/	Higher Education Policy Commission	2014.0	1173.0
58293	http://elkgarden.mine.k12.wv.us	Elk Garden School	2001.0	6.0
58294	http://www.cad.state.wv.us/	Consumer Advocate Division of the Public Service Commission	2001.0	58.0
58295	http://www.barbourcounty.wv.gov/Pages/default.aspx	Barbour County	2011.0	19.0
58296	http://kanawhalibrary.org/branches/	Nitro Public Library	2008.0	14.0
58298	http://www.fairmontstate.edu/	Fairmont State University	2004.0	2680.0
58299	http://whitesulphursprings.lib.wv.us	White Sulphur Springs Public Library	2002.0	9.0
58300	http://www.workforcewv.org	West Virginia Workforce Investment Council	2003.0	38.0
58303	http://pineville.wyom.k12.wv.us/	Pineville Elementary School	2007.0	23.0
58304	http://burnsville.lib.wv.us/	Burnsville Public Library	2006.0	8.0
58305	http://www.wvbti.com	Treasury Investments, Board of	2006.0	103.0
58308	http://www.wvochs.org	Community and Rural Health Services, Office of	2005.0	55.0
58312	http://www.grantcounty.wv.gov/	Grant County	2013.0	24.0
58313	http://www.personnel.wv.gov/ohrd/pages/default.aspx	Organization and Human Resource Development	2010.0	4.0
58314	http://www.cityofhuntington.com/	Huntington	1999.0	388.0
58315	http://www.transportation.wv.gov/ports/Pages/default.aspx	Public Port Authority	2009.0	7.0
58316	http://www.edline.net/pages/claycountyschools	Clay Middle School	2011.0	2.0
58317	http://www.edline.net/pages/oak_glen_high_school	Oak Glen High School	2011.0	1.0
58318	http://greenbriercounty.net/	Greenbrier County	2008.0	84.0
58319	http://www.wvdhhr.org/communications/	Communications and Legislative Affairs, Office of	2003.0	3.0
58320	http://www.angelfire.com/wv2/vanelementary/	Van Elementary	2002.0	20.0
58322	http://craftmemorial.lib.wv.us	Craft Memorial Library	2001.0	33.0
58323	http://www.harcoboe.com/westmilfordelementaryschool/index.cfm	West Milford Elementary School	2008.0	48.0
58324	http://www.legis.state.wv.us/joint/court/main.cfm	Claims, Court of	2005.0	17.0
58325	http://fhs.mine.k12.wv.us/	Frankfort High School	2001.0	5.0
58328	http://boe.jeff.k12.wv.us/whs	Washington High School	2013.0	2795.0
58329	http://www.wvlicensingboards.com	WV Association of Licensing Boards	2004.0	10.0
58330	http://www.dmaps.wv.gov/Pages/default.aspx	Military Affairs and Public Safety, Department of	2011.0	19.0
58331	http://www.cityofbluefield.com	Bluefield	2003.0	347.0
58332	http://www.wvseniorservices.gov	Senior Services, Bureau of	2007.0	66.0
58333	http://www.edline.net/pages/allison_elementary_school	A. T. Allison Elementary School	2008.0	6.0
58334	https://sites.google.com/site/ruffnerelementary/	Ruffner Elementary School	0.0	90.0
58336	http://www.boa.wv.gov/Pages/default.aspx	Accountancy, Board of	2010.0	85.0
58337	http://www.pai.wv.gov/Pages/default.aspx	Prosecuting Attorneys Institute	2011.0	95.0
58338	http://www.edline.net/pages/Jane_Lew_Elementary_School	Jane Lew Elementary School	2011.0	51.0
58341	http://bluefieldstate.edu/	Bluefield State College	2002.0	4034.0
58342	http://www.pendletoncounty.wv.gov/Pages/default.aspx	Pendleton County	2013.0	19.0
58343	http://www.wvschools.com/bms/	Belington Middle School	2002.0	0.0
58344	http://roanecountylibrary.org/	James Curry Public Library	2000.0	42.0
58348	http://www.upshurcounty.org/	Upshur County	2003.0	35.0
58349	http://www.appraiserboard.wv.gov/Pages/default.aspx	Real Estate Appraiser Licensing and Certification Board	2011.0	66.0
58350	http://jackson.park.lib.wv.us	Jackson County Public Library	2001.0	68.0
58351	http://www.harrisvilleelem.com	Harrisville Elementary	2008.0	2.0
58352	http://mcdowell.lib.wv.us	Mcdowell County Public Library	2001.0	11.0
58353	http://www.dep.wv.gov/legal-services/Pages/default.aspx	Legal Services Office	2010.0	4.0
58354	http://www.edline.net/pages/lakewood	Lakewood Elementary School	2012.0	12.0
58355	http://www.wirtcounty.wv.gov/Pages/default.aspx	Wirt County	2011.0	19.0
58356	http://www.hcawv.org	Health Care Authority	1998.0	90.0
58358	http://bfcc.kana.tec.wv.us	Ben Franklin Vocational Center	2001.0	0.0
58359	http://www.edline.net/pages/Peterson_Central_Elementary	Peterson-Central Elementary School	2011.0	16.0
58360	http://boe.mars.k12.wv.us/sandhill/index.htm	Sand Hill Elementary School	2000.0	9.0
58364	http://cottageville.tripod.com/	Cottageville Elementary School	2004.0	6.0
58365	http://www.sos.wv.gov/business-licensing/uniformcommercialcode/Pages/default.aspx	Uniform Commercial Code Division	2009.0	11.0
58366	http://www.ethics.wv.gov/Pages/default.aspx	Ethics Commission	2010.0	46.0
58367	http://www.harrisoncountywv.com/	Harrison County	2001.0	63.0
58368	http://wellsburg.lib.wv.us	Brooke County Public Library	2005.0	24.0
58369	http://kingwood.lib.wv.us	Kingwood Public Library	2006.0	5.0
58372	http://kcs.kana.k12.wv.us/sisselem/	Sissonville Elementary School	0.0	18.0
58374	http://www.wvcommerce.org/energy/default.aspx	Energy, Division of	2009.0	107.0
58376	http://www.putnamschools.com/hms/	Hurricane Middle	1999.0	0.0
58377	http://www.dep.wv.gov/environmental-advocate/Pages/default.aspx	Environmental Advocate, Office of	2010.0	4.0
58378	http://www.courtswv.gov/	Supreme Court of Appeals	2011.0	20.0
58379	https://sites.google.com/site/hillsboroelementaryschool/	Hillsboro Elementary School	2011.0	17.0
58380	http://www.dhhr.wv.gov/oeps/Pages/default.aspx	Epidemiology and Prevention Services, Office of	2011.0	14.0
58381	http://www.ada.wv.gov/Pages/default.aspx	Americans with Disabilities Act Office	2011.0	33.0
58382	http://www.fleet.wv.gov/Pages/default.aspx	Fleet Management, Division of	2012.0	17.0
58383	http://randolphcountycommissionwv.org/	Randolph County	2010.0	137.0
58384	http://www.hrc.wv.gov/Pages/default.aspx	Human Rights Commission	2012.0	77.0
58386	http://parkersburg.lib.wv.us	Parkersburg-Wood Co. Public Library	2001.0	24.0
58387	http://resa4.k12.wv.us/	Regional Education Service Agency 4	1998.0	315.0
58389	http://www.lib.shepherdstown.wv.us/	Shepherdstown Public Library	1998.0	10.0
58390	http://taylor.lib.wv.us	Taylor County Public Library	2011.0	33.0
58393	http://gassaway.lib.wv.us	Gassaway Public Library	2004.0	6.0
58394	http://www.jeffersoncountywv.org/	Jefferson County	2004.0	637.0
58396	http://www.edandarts.wv.gov/Pages/default.aspx	Education and the Arts, Department of	2011.0	107.0
58398	http://beaverelementaryschool.webs.com/	Beaver Elementary School	2011.0	0.0
58399	http://www.wvdhhr.org/bph/oehp/hsc/hschome.htm	Health Statistics Center	1999.0	312.0
58406	http://ww2.wvbep.org/scripts/bep/jobs	Job Training Programs Division, Employment Service	0.0	1.0
58408	http://www.wvhdf.com	Housing Development Fund	1998.0	241.0
58409	http://keyser.lib.wv.us/	Burlington Public Library	2003.0	35.0
58410	http://www.dhhr.wv.gov/healthprep/Pages/default.aspx	Center for Threat Preparedness	2013.0	7.0
58411	http://louisbennett.lib.wv.us	Louis Bennett Public Library	2002.0	12.0
58412	http://www.administration.wv.gov/Pages/default.aspx	Administration, Department of	2009.0	85.0
58414	http://kcs.kana.k12.wv.us/Schools/Default.aspx?alias=kcs.kana.k12.wv.us/schools/dunbar	Dunbar Middle School	0.0	0.0
58416	http://www.madisonwva.com/	Madison	2011.0	305.0
58420	http://www.kvctc.edu/index.php	Kanawha Valley CTC	2010.0	198.0
58421	http://www.transportation.wv.gov/turnpike/Pages/default.aspx	Parkways, Economic Development, and Tourism Authority	2009.0	6.0
58422	http://boe.rand.k12.wv.us/education/school/school.php?sectionid=37	North Elementary School	2006.0	0.0
58423	http://www.wvspeechandaudiology.com/	Speech-Language, Pathology and Audiology, Board of Examiners for	2006.0	38.0
58424	http://boe.jeff.k12.wv.us/njes	North Jefferson Elementary	0.0	2562.0
58425	http://www.dhhr.wv.gov/bph/Pages/default.aspx	Public Health, Bureau for	2012.0	7.0
58426	http://www.wvhumanities.org	Humanities Council	2001.0	60.0
58428	http://danese.faye.k12.wv.us/	Danese Elementary	0.0	1.0
58430	http://richwood.lib.wv.us	Richwood Public Library	2002.0	5.0
58431	http://boe.rand.k12.wv.us/education/school/school.php?sectionid=30	Elkins High School	2006.0	0.0
58432	http://www.edline.net/pages/union_es	Union Elementary School	0.0	2.0
58433	http://altizer.cabe.k12.wv.us/	Altizer Elementary School	2004.0	13.0
58437	http://boe.mars.k12.wv.us/sherrard/index.htm	Sherrard Middle School	2000.0	9.0
58438	http://www.edline.net/pages/weir_high_school	Weir High School	2011.0	17.0
58440	http://www.wvagriculture.org/division_webpages/animal_health.html	Animal Health Division	2007.0	3.0
58442	http://www.wvup.edu/	WVU Parkersburg	2002.0	2585.0
58443	http://www.dep.wv.gov/daq/Pages/default.aspx	Air Quality, Division of	2010.0	3.0
58444	http://www.edline.net/pages/Alum_Bridge_Elementary_School	Alum Bridge Elementary School	2008.0	59.0
58446	http://boe.jeff.k12.wv.us/jhs	Jefferson High School	2013.0	2724.0
58447	http://pbhs.barb.k12.wv.us	Philip Barbour High School Complex	2001.0	12.0
58448	http://www.minorityaffairs.wv.gov/Pages/default.aspx	Minority Affairs, Herbert Henderson Office of	2013.0	102.0
58450	http://boe.mars.k12.wv.us/centermcmechen/index.htm	Center Mcmechen Elementary School	2000.0	8.0
58454	http://ritchie.lib.wv.us	Ritchie County Public Library	2003.0	12.0
58456	http://www.upshurcounty.org/home.html	Upshur County	2010.0	139.0
58457	http://www.dep.wv.gov/administration/Pages/default.aspx	Administration, Office of	2010.0	85.0
58459	http://www.kanawhalibrary.org/	Cross Lanes Public Library	2008.0	1027.0
58460	https://secure.cfwv.com/	College Foundation of West Virginia	2011.0	349.0
58461	http://boe.mars.k12.wv.us/mcninch/index.htm	Mcninch Primary School	2000.0	11.0
58464	http://www.wvregion3.org/	Regional Intergovernmental Council	1999.0	28.0
58466	http://www.sos.wv.gov/business-licensing/notaries/Pages/default.aspx	Notary Public Division	2009.0	12.0
58467	http://www.mcpls.org/	Marion County Public Library	2011.0	635.0
58468	http://www.wvoasis.gov	Enterprise Resource Planning (ERP) Board	2012.0	16.0
58470	http://martinsburg.lib.wv.us/	Musselman-South Berkeley Community Library	2009.0	88.0
58471	http://www.trailsheaven.com/	Hatfield-McCoy Regional Recreation Authority	2000.0	193.0
58472	http://www.tuckercounty.wv.gov/Pages/default.aspx	Tucker County	2011.0	19.0
58473	http://kcs.kana.k12.wv.us/herberthoover/	Herbert Hoover High School	0.0	176.0
58474	http://www.revenue.wv.gov/Pages/default.aspx	Revenue, Department of	2011.0	24.0
58475	http://www.wvsocialworkboard.org	Social Work Examiners, Board of	2003.0	128.0
58476	http://wvcip.com	Court Improvement Program	2009.0	73.0
58477	http://www.putnamcounty.org/government/	Putnam County	2002.0	2.0
58478	http://boone.lib.wv.us/	Barrett-Wharton Public Library	2001.0	21.0
58480	http://newriver.edu/	New River CTC	2007.0	5877.0
58484	http://www.wvdnr.gov	Natural Resources, Division of	2003.0	1111.0
58485	http://www.dhhr.wv.gov/bms/Pages/default.aspx	Medical Services, Bureau for	2011.0	2.0
58487	http://kcs.kana.k12.wv.us/flinn/	Flinn Elementary School	0.0	49.0
58490	http://www.pocahontascounty.wv.gov/Pages/default.aspx	Pocahontas County	2009.0	28.0
