catch_terms,recode_column,organization,domain_name,domain_type,agency,city,state,country
administrative conference of the united states,administrative conference of the united states,ADMINISTRATIVE CONFERENCE OF THE UNITED STATES,acus.gov,Federal Agency - Executive,Administrative Conference of the United States,Washington,DC,United States
achp,achp,ACHP,achp.gov|preserveamerica.gov,Federal Agency - Executive,Advisory Council on Historic Preservation,Washington,DC,United States
american battle monuments commission,american battle monuments commission,American Battle Monuments Commission,abmc.gov|abmcscholar.gov|nationalmall.gov,Federal Agency - Executive,American Battle Monuments Commission,Arlington,VA,United States
amtrak office of inspector general,amtrak office of inspector general,Amtrak Office of Inspector General,amtrakoig.gov,Federal Agency - Executive,AMTRAK,Washington,DC,United States
arc,arc,ARC,arc.gov,Federal Agency - Executive,Appalachian Regional Commission,Washington,DC,United States
appraisal subcommittee,appraisal subcommittee,Appraisal Subcommittee,asc.gov,Federal Agency - Executive,Appraisal Subcommittee,Washington,DC,United States
armed forces retirement home,armed forces retirement home,Armed Forces Retirement Home,afrh.gov,Federal Agency - Executive,Armed Forces Retirement Home,Washington,DC,United States
barry goldwater scholarship and excellence in education foundation,barry goldwater scholarship and excellence in education foundation,Barry Goldwater Scholarship and Excellence in Education Foundation,goldwaterscholarship.gov,Federal Agency - Executive,Barry Goldwater Scholarship and Excellence in Education Foundation,Alexandria,VA,United States
ibb/voa/bbg,ibb/voa/bbg,IBB/VOA/BBG,bbg.gov,Federal Agency - Executive,Broadcasting Board of Governors,Washington,DC,United States
bbg,bbg,BBG,ibb.gov,Federal Agency - Executive,Broadcasting Board of Governors,Washington,DC,United States
broadcasting board of governors,broadcasting board of governors,Broadcasting Board of Governors,usagm.gov,Federal Agency - Executive,Broadcasting Board of Governors,Washington,DC,United States
voa,voa,VOA,voa.gov,Federal Agency - Executive,Broadcasting Board of Governors,Washington,DC,United States
central intelligence agency,central intelligence agency,Central Intelligence Agency,cia.gov|df.gov|ic.gov|istac.gov|odci.gov|ucia.gov,Federal Agency - Executive,Central Intelligence Agency,Washington,DC,United States
national counterterrorism center,national counterterrorism center,National Counterterrorism Center,nctc.gov|ttic.gov,Federal Agency - Executive,Central Intelligence Agency,Washington,DC,United States
dni open source center,dni open source center,DNI Open Source Center,opensource.gov,Federal Agency - Executive,Central Intelligence Agency,Washington,DC,United States
cia\gcs oseg,cia\gcs oseg,CIA\GCS OSEG,osde.gov,Federal Agency - Executive,Central Intelligence Agency,Reston,VA,United States
u.s. chemical safety and hazard investigation board,u.s. chemical safety and hazard investigation board,U.S. Chemical Safety and Hazard Investigation Board,csb.gov|safetyvideos.gov,Federal Agency - Executive,Chemical Safety Board,Washington,DC,United States
"civil air patrol, usaf aux.","civil air patrol, usaf aux.","CIVIL AIR PATROL, USAF AUX.",cap.gov,Federal Agency - Executive,Civil Air Patrol,Maxwell AFB,AL,United States
civil air patrol,civil air patrol,Civil Air Patrol,capnhq.gov,Federal Agency - Executive,Civil Air Patrol,Maxwell AFB,AL,United States
u.s. commodity futures trading commission,u.s. commodity futures trading commission,U.S. Commodity Futures Trading Commission,cftc.gov|whistleblower.gov,Federal Agency - Executive,Commodity Futures Trading Commission,Washington,DC,United States
commodity futures trading commission,commodity futures trading commission,Commodity Futures Trading Commission,smartcheck.gov,Federal Agency - Executive,Commodity Futures Trading Commission,Washington,DC,United States
consumer financial protection bureau,consumer financial protection bureau,Consumer Financial Protection Bureau,bcfp.gov|cfpa.gov|cfpb.gov|consumerbureau.gov|consumerfinance.gov|consumerfinancial.gov|consumerfinancialbureau.gov|consumerfinancialprotectionbureau.gov|consumerprotection.gov|consumerprotectionbureau.gov,Federal Agency - Executive,Consumer Financial Protection Bureau,Washington,DC,United States
cfpb,cfpb,CFPB,mimm.gov,Federal Agency - Executive,Consumer Financial Protection Bureau,Washington,DC,United States
consumer product safety commission,consumer product safety commission,Consumer Product Safety Commission,anchorit.gov|atvsafety.gov|cpsc.gov|recalls.gov,Federal Agency - Executive,Consumer Product Safety Commission,Bethesda,MD,United States
us consumer product safety commission,us consumer product safety commission,US Consumer Product Safety Commission,drywallresponse.gov|poolsafely.gov|poolsafety.gov,Federal Agency - Executive,Consumer Product Safety Commission,Bethesda,MD,United States
u.s. consumer product safety commission,u.s. consumer product safety commission,U.S. Consumer Product Safety Commission,saferproduct.gov|saferproducts.gov|seguridadconsumidor.gov,Federal Agency - Executive,Consumer Product Safety Commission,Bethesda,MD,United States
corporation for national & community service,corporation for national & community service,Corporation for National & Community Service,americorps.gov|cns.gov|mentor.gov|nationalservice.gov|presidentialserviceawards.gov|vistacampus.gov,Federal Agency - Executive,Corporation for National & Community Service,Washington,DC,United States
corporation for national and community service,corporation for national and community service,Corporation for National and Community Service,cncs.gov|joinamericorps.gov|mlkday.gov|seniorcorps.gov|serve.gov|volunteeringinamerica.gov,Federal Agency - Executive,Corporation for National & Community Service,Washington,DC,United States
"corporation for national and community service, office of inspector general,","corporation for national and community service, office of inspector general,","Corporation for National and Community Service, Office Of Inspector General,",cncsoig.gov,Federal Agency - Executive,"Corporation for National and Community Service, Office Of Inspector General",Washington,DC,United States
