catch_terms,recode_column,organization_name,domains,country,to_edit,dataset,parent_org,org_type
gates foundation,gates foundation,Bill & Melinda Gates Foundation,gatesfoundation.com,United States of America,,Common,,
cern,cern,CERN,cern.org|cern.ch,Switzerland,,Common,,
inria,inria,INRIA,inria.fr,France,,Common,,
khan academy,khan academy,Khan Academy,khanacademy.com,,,Common,,
trilogy education services,trilogy education services,Trilogy Education Services,,,,Common,,
max planck,max planck,Max Planck Society for the Advancement of Science,,,,Common,,
university corporation for atmospheric research,university corporation for atmospheric research,University Corporation for Atmospheric Research,ucar.edu,,,Common,,
free software foundation,free software foundation,Free Software Foundation,member.fsf.org,,,Common,,
chan zuckerberg,chan zuckerberg,Chan-Zuckerberg Initiative,chanzuckerberg.com,,,Common,,
fred hutchinson|fred hutch,fred hutchinson|fred hutch,Fred Hutchinson Cancer Research Center,,,,Common,,
universities and colleges admissions service,universities and colleges admissions service,Universities and Colleges Admissions Service,,,,Common,,
wikimedia|wikipedia,wikimedia|wikipedia,Wikimedia Foundation,,,,Common,,
broad institute|broadinstitute,broad institute|broadinstitute,Broad Institute,,,,Common,,
european organization for nuclear research,european organization for nuclear research,European Organization for Nuclear Research,,,,Common,,
urban institute,urban institute,Urban Institute,,,,Common,,
wellcome trust|wellcome trust sanger institute|wellcome,wellcome trust|wellcome trust sanger institute|wellcome,Wellcome Trust,,,,Common,,
data & society|data and society,data & society|data and society,Data & Society,,,,Common,,
goody labs,goody labs,Goody Labs,,,,Common,,
mitre,mitre,MITRE Corporation,,,,Common,,
brookings institute,brookings institute,Brookings Institute,,,,Common,,
prosperity now,prosperity now,Prosperity Now,,,,Common,,
pew,pew,Pew Research,,,,Common,,
rand,rand,RAND Corporation,,,,Gov Admins,,
institute for defense analyses,institute for defense analyses,Institute for Defense Analyses,,,,Gov Admins,,
associated universities inc,associated universities inc,"Associated Universities, Inc.",,,,Gov Admins,,
battelle memorial institute,battelle memorial institute,Battelle Memorial Institute,,,,Gov Admins,,
brookhaven science associates,brookhaven science associates,Brookhaven Science Associates,,,,Gov Admins,,
fermi research alliance,fermi research alliance,Fermi Research Alliance,,,,Gov Admins,,
jefferson science associates,jefferson science associates,Jefferson Science Associates,,,,Gov Admins,,
lawrence livermore national security,lawrence livermore national security,Lawrence Livermore National Security,,,,Gov Admins,,
leidos biomedical research inc|leidos,leidos biomedical research inc|leidos,"Leidos Biomedical Research, Inc.",,,,Gov Admins,,
national technology and engineering solutions of sandia,national technology and engineering solutions of sandia,National Technology and Engineering Solutions of Sandia,,,,Gov Admins,,
savannah river nuclear solutions,savannah river nuclear solutions,Savannah River Nuclear Solutions,,,,Gov Admins,,
southwest research institute,southwest research institute,Southwest Research Institute,,,,Gov Admins,,
the aerospace corporation,the aerospace corporation,The Aerospace Corporation,,,,Gov Admins,,
the cna corporation,the cna corporation,The CNA Corporation,,,,Gov Admins,,
triad national security,triad national security,Triad National Security,,,,Gov Admins,,
uchicago argonne,uchicago argonne,UChicago Argonne,,,,Gov Admins,,
university corporation for atmospheric research,university corporation for atmospheric research,University Corporation for Atmospheric Research,,,,Gov Admins,,
electric power research institute,electric power research institute,Electric Power Research Institute,,,,Gov Admins,,
midwest research institute,midwest research institute,Midwest Research Institute,,,,Gov Admins,,
