sector_group,terms,w_regex
academic,academic,academic
academic,alumna,alumna
academic,alumni,alumni
academic,alumno,alumno
academic,colegio,colegio
academic,college,college
academic,colleges,colleges
academic,demonstrator,demonstrator
academic,doctorant,doctorant
academic,doctorate,doctorate
academic,estudiante,estudiante
academic,facultad,facultad
academic,faculty,faculty
academic,fellow,fellow
academic,freshman,freshman
academic,graduate,graduate
academic,instructor,instructor
academic,lecturer,lecturer
academic,posdoctoral,posdoctoral
academic,postdoc,postdoc
academic,postdoctorant,postdoctorant
academic,privatdozent,privatdozent
academic,prof,prof
academic,profesor,profesor
academic,profesora,profesora
academic,professeur,professeur
academic,professor,professor
academic,professorship,professorship
academic,reader,reader
academic,scholar,scholar
academic,school,school
academic,sophomore,sophomore
academic,student,student
academic,studentische,studentische
academic,teacher,teacher
academic,teaching,teaching
academic,undergraduate,undergraduate
academic,universidad,universidad
academic,universit,universit
academic,universitat,universitat
academic,universitätsprofessor,universitätsprofessor
academic,universities,universities
academic,universitt,universitt
academic,university,university
academic,学生,学生
academic,教授,教授
business,a. c.,(?i)A\\. C\\.
business,a.c.,(?i)A\\.C\\.
business,a/s,(?i)A/S
business,aa,(?i)AA
business,aam,(?i)AAM
business,ab,(?i)ab
business,abp,(?i)abp
business,abv,(?i)ABV
business,ac,(?i)A\\.C\\.
business,ad,(?i)AD
business,aeie,(?i)A\\.E\\.I\\.E\\.
business,af,(?i)AF
business,ag,(?i)AG
business,aie,(?i)A\\.I\\.E\\.
business,am,(?i)AM
business,anl,(?i)anl
business,ans,(?i)ANS
business,aps,(?i)ApS
business,arl,(?i)A\\.R\\.L
business,as,(?i)AS
business,asa,(?i)ASA
business,asc,(?i)ASC
business,assn,(?i)assn
business,assoc,(?i)Assoc
business,associates,(?i)associates
business,ba,(?i)BA
business,bbl,(?i)BBL
business,bc,(?i)B\\.C\\.
business,bc,(?i)BC
business,bezirk,(?i)Bezirk
business,bhd,(?i)Bhd
business,bi,(?i)BI
business,bn,(?i)BN
business,bo,(?i)BO
business,br,(?i)BR
business,brl,(?i)BRL
business,b.t.,(?i)B\\.T\\.
business,bt.,(?i)Bt|\.
business,bt,(?i)BT
business,bund,(?i)Bund
business,bv,(?i)B\\.V\\.
business,bv,(?i)BV
business,bvba,(?i)BVBA
business,ca,(?i)C\\.A\\.
business,canton,(?i)Canton
business,cb,(?i)CB
business,cc,(?i)CC
business,ccc,(?i)C\\.C\\.C\\.
business,ccc,(?i)CCC
business,cdc,(?i)C\\.D\\.C\\.
business,cer,(?i)C\\.E\\.R\\.
business,cga,(?i)cga
business,cic,(?i)C\\.I\\.C\\.
business,cic,(?i)CIC
business,clf,(?i)CLF
business,clg,(?i)CLG
business,cn,(?i)cn
business,co,(?i)co\\.
business,co,(?i)co
business,co-op,(?i)Co-op
business,co-operative,(?i)Co-operative
business,commv,(?i)Comm\\.V
business,company,(?i)Company
business,comune,(?i)Comune
business,consorzio,(?i)consorzio
business,coop,(?i)coop
business,coop,(?i)Coop
business,corp,(?i)Corp\\.
business,corp,(?i)Corp
business,corporation,(?i)Corporation
business,cp,(?i)c\\.p\\.
business,cpt,(?i)cpt
business,cra,(?i)C\\.R\\.A\\.
business,crc,(?i)CRC
business,csl,(?i)CSL
business,cti,(?i)cti
business,cv,(?i)C\\.V\\.
business,cv,(?i)CV
business,cvba,(?i)CVBA
business,cyf,(?i)cyf\\.
business,cyf,(?i)cyf
business,da,(?i)DA
business,dba,(?i)DBA
business,dd,(?i)d\\.d\\.
business,dno,(?i)d\\.n\\.o\\.
business,doo,(?i)d\\.o\\.o\\.
business,doo,(?i)DOO
business,dvz,(?i)d\\.v\\.z\\.
business,eb,(?i)EB
business,edo,(?i)Edo\\.
business,ee,(?i)EE
business,eeig,(?i)E\\.E\\.I\\.G
business,eg,(?i)e\\.G\\.
business,eg,(?i)eG
business,egen,(?i)e\\.Gen\\.
business,ei,(?i)EI
business,eireli,(?i)EIRELI
business,eirl,(?i)E\\.I\\.R\\.L
business,eirl,(?i)EIRL
business,ek,(?i)eK
business,ekb,(?i)EKB
business,emc,(?i)emc
business,enk,(?i)ENK
business,entrepreneur,(?i)entrepreneur
business,eog,(?i)EoG
business,ep,(?i)EP
business,epe,(?i)EPE
business,epp,(?i)EPP
business,erl,(?i)E\\.R\\.L\\.
business,esv,(?i)ESV
business,eu,(?i)E\\.U\\.
business,eu,(?i)E\\.U
business,eu,(?i)EU
business,ev,(?i)e\\.V\\.
business,ev,(?i)eV
business,fab,(?i)FAB
business,fi,(?i)F\\.I\\.
business,fie,(?i)FIE
business,fii,(?i)F\\.I\\.I\\.
business,fip,(?i)F\\.I\\.P\\.
business,fon,(?i)FON
business,fp,(?i)F\\.P\\.
business,gbr,(?i)GbR
business,gen\.,(?i)Gen\.
business,gesbr,(?i)GesbR
business,ggmbh,(?i)gGmbH
business,gie,(?i)GIE
business,giu,(?i)GIU
business,giz,(?i)GIZ
business,gmbh,(?i)GmbH
business,gns,(?i)gnS
business,gp,(?i)G\\.P\\.
business,gp,(?i)GP
business,hb,(?i)HB
business,hf,(?i)hf\\.
business,i/s,(?i)I/S
business,ibc,(?i)IBC
business,ii,(?i)II
business,iic,(?i)IIC
business,ik,(?i)IK
business,ike,(?i)IKE
business,iks,(?i)IKS
business,ilp,(?i)I\\.L\\.P
business,ilp,(?i)ILP
business,inc,(?i)Inc\\.
business,inc,(?i)Inc
business,incorporated,(?i)Incorporated
business,incorporation,(?i)Incorporation
business,ivs,(?i)IVS
business,jtd,(?i)JTD
business,jv,(?i)JV
business,k/s,(?i)K/S
business,kanton,(?i)Kanton
business,kb,(?i)kb
business,kd,(?i)k\\.d\\.
business,kd,(?i)KD
business,kda,(?i)KDA
business,keg,(?i)KEG
business,kf,(?i)KF
business,kg,(?i)KG
business,kht,(?i)Kht\\.
business,kkt,(?i)Kkt\\.
business,ko,(?i)KO
business,ks,(?i)KS
business,ky,(?i)ky
business,l3c,(?i)L3C
business,lc,(?i)L\\.C\\.
business,lc,(?i)LC
business,lca,(?i)L\\.C\\.A\\.
business,ldc,(?i)LDC
business,lf,(?i)LF
business,lg,(?i)LG
business,limited,(?i)Limited
business,llc,(?i)L\\.L\\.C
business,llc,(?i)LLC
business,llp,(?i)LLP
business,lp,(?i)L\\.P\\.
business,lp,(?i)LP\\.
business,lp,(?i)LP
business,ltd,(?i)Ltd\\.
business,ltd,(?i)Ltd
business,lv,(?i)LV
business,mb,(?i)MB
business,mmc,(?i)MMC
business,mps,(?i)M\\.P\\.S\\.
business,mrl,(?i)M\\.R\\.L\\.
business,ms,(?i)MS
business,nbs,(?i)NBS
business,nl,(?i)NL
business,np,(?i)NP
business,npc,(?i)NPC
business,nv,(?i)N\\.V\\.
business,nv,(?i)NV
business,oe,(?i)OE
business,oeg,(?i)OEG
business,ofb,(?i)OFB
business,og,(?i)OG
business,ohg,(?i)OHG
business,oi,(?i)OI
business,ok,(?i)OK
business,ong,(?i)ONG
business,op,(?i)OP
business,oth,(?i)OTH
business,oy,(?i)oy
business,oyj,(?i)oyj
business,p/s,(?i)P/S
business,pa,(?i)P\\.A\\.
business,pa,(?i)PA
business,pac,(?i)PAC
business,partg,(?i)PartG
business,pbc,(?i)PBC
business,pc,(?i)P\\.C\\.
business,pc,(?i)P\\.C
business,pc,(?i)PC
business,pdb,(?i)PDB
business,per,(?i)PER
business,pfa,(?i)PFA
business,pl,(?i)PL
business,plc,(?i)p\\.l\\.c\\.
business,plc,(?i)PLC
business,pll,(?i)P\\.L\\.L\\.
business,pllc,(?i)PLLC
business,pp,(?i)PP
business,procura,(?i)Procura
business,proprietary,(?i)Proprietary
business,ps,(?i)PS
business,psc,(?i)PSC
business,pt,(?i)PT
business,ptc,(?i)PTC
business,pty,(?i)PTY
business,pty.,(?i)PTY\\.
business,pvt,(?i)pvt
business,pvt,(?i)pvt\\.
business,qsc,(?i)QSC
business,ra,(?i)RA
business,rb,(?i)RB
business,reit,(?i)REIT
business,rllp,(?i)RLLP
business,rt,(?i)Rt\\.
business,s c,(?i)S\\. C\\.
business,s/a,(?i)S/A
business,sa,(?i)S\\.A\\.
business,sa,(?i)SA
business,saa,(?i)SAA
